product_id,product_name,category,subcategory,brand,cost_price,selling_price,stock_quantity
PROD-00124,Summit  Accessories  Velit,Electronics,Accessories,Summit,3098.15,4114.92,35
PROD-00125,oRBIT fRAGRANCE cULPA,Beauty,Fragrance,Orbit,1337.98,2083.03,74
PROD-00126,Orbit Cycling Doloribus,Sports,Cycling,Orbit,1055.87,1843.96,29
PROD-00127,Mira Makeup Quis,Beauty,Makeup,Mira,2634.79,4936.23,19
PROD-00128,Nova Bedding Excepturi,Home,Bedding,Nova,3094.6,6440.84,201
PROD-00129,Bright Fragrance Et,Beauty,Fragrance,Bright,2266.82,2994.51,80
PROD-00130,Urban Educational Harum,Toys,Educational,Urban,2949.73,4608.98,178
PROD-00131,Summit Bedding Ab,Home,Bedding,Summit,2452.22,4699.82,184
PROD-00132,Nexa Academic Culpa,Books,Academic,Nexa,2725.39,5093.6,188
PROD-00133,Urban Comics Dolore,Books,Comics,Urban,2934.53,5897.18,107
PROD-00134,Summit Haircare Ut,Beauty,Haircare,Summit,1725.65,2014.54,123
PROD-00135,Urban Accessories Ea,Electronics,Accessories,Urban,2223.78,2558.06,29
PROD-00136,Zenith Wellness Consequuntur,Beauty,Wellness,Zenith,567.12,679.51,41
PROD-00137,Bright Kids Quasi,Clothing,Kids,Bright,83.93,182.54,12
PROD-00138,Mira STEM Ipsa,Toys,STEM,Mira,261.3,440.34,184
PROD-00139,  orbit living room harum  ,Furniture,Living Room,Orbit,1006.42,2408.45,121
PROD-00140,Urban Laptop Voluptas,Electronics,Laptop,Urban,276.73,517.77,213
PROD-00141,Apex Decor Possimus,Home,Decor,Apex,3548.16,7807.51,98
PROD-00142,Mira Fitness Cumque,Sports,Fitness,Mira,934.04,1204.04,8
PROD-00143,Mira STEM Totam,Toys,STEM,Mira,195.48,340.62,163
PROD-00144,Urban Comics Fugiat,Books,Comics,Urban,1983.04,3654.33,182
PROD-00145,River Haircare Tenetur,Beauty,Haircare,River,756.02,1576.0,97
PROD-00146,River Fiction Repellendus,Books,Fiction,River,193.06,333.46,15
PROD-00147,Apex Indoor At,Sports,Indoor,Apex,1117.72,1408.68,210
PROD-00148,Nova Mobile Rerum,Electronics,Mobile,Nova,2344.28,4506.33,28
PROD-00149,Bright Plush Omnis,Toys,Plush,Bright,97.77,146.98,75
PROD-00150,Summit Kids Beatae,Clothing,Kids,Summit,388.75,470.3,19
PROD-00151,Summit STEM Recusandae,Toys,STEM,Summit,2816.7,3491.95,183
PROD-00152,Bright Storage Sapiente,Furniture,Storage,Bright,1657.16,2983.35,15
PROD-00153,Apex Living Room Dicta,Furniture,Living Room,Apex,449.07,958.45,29
PROD-00154,Nexa Fragrance Similique,Beauty,Fragrance,Nexa,3226.98,7171.58,36
PROD-00155,Mira Office Perspiciatis,Furniture,Office,Mira,1893.94,3725.13,-15
PROD-00156,zENITH sTORAGE cUM,Furniture,Storage,Zenith,1676.86,1951.05,120
PROD-00157,Urban Indoor Qui,Sports,Indoor,Urban,977.89,2160.55,59
PROD-00158,Summit Comics Ab,Books,Comics,Summit,3422.94,7207.9,201
PROD-00159,Mira Fiction Dolore,Books,Fiction,Mira,1388.96,2484.25,68
PROD-00160,River Dining Quas,Furniture,Dining,River,2452.59,3793.75,107
PROD-00161,River Kitchen Quibusdam,Home,Kitchen,River,2984.57,6768.72,147
PROD-00162,  mira storage maxime  ,Furniture,Storage,Mira,3564.0,6729.76,102
PROD-00163,Nova Self-Help Odit,Books,Self-Help,Nova,1351.48,2590.44,126
PROD-00164,River Outdoor Est,Sports,Outdoor,River,1973.98,2894.78,56
PROD-00165,Nova  Accessories  Beatae,Sports,Accessories,Nova,803.79,997.39,218
PROD-00166,Nova  Accessories  Beatae,Sports,Accessories,Nova,803.79,997.39,218
PROD-00167,Mira Office Facere,Furniture,Office,Mira,1164.77,2237.65,6
PROD-00168,Bright Fiction Quis,Books,Fiction,Bright,1845.27,3610.42,170
PROD-00169,Nexa Comics Velit,Books,Comics,Nexa,521.48,949.27,1
PROD-00170,Mira Seasonal Facere,Clothing,Seasonal,Mira,640.92,1166.19,129
PROD-00171,River Footwear Eius,Clothing,Footwear,River,1195.03,2303.21,204
PROD-00172,Bright Wearables Neque,Electronics,Wearables,Bright,1415.7,2895.64,166
PROD-00173,Zenith Accessories Quidem,Sports,Accessories,Zenith,760.89,1526.91,136
PROD-00174,Nova Kitchen Sunt,Home,Kitchen,Nova,2462.4,4994.84,85
PROD-00175,Orbit Accessories Necessitatibus,Sports,Accessories,Orbit,3458.57,3988.99,153
PROD-00176,Mira Wearables Quos,Electronics,Wearables,Mira,2376.68,2892.98,118
PROD-00177,Zenith Fragrance Cum,Beauty,Fragrance,Zenith,3190.74,4930.07,167
PROD-00178,Bright Wearables Quo,Electronics,Wearables,Bright,882.33,1752.69,163
PROD-00179,Apex Audio Accusantium,Electronics,Audio,Apex,1474.31,2554.04,143
PROD-00180,Nexa Women Ratione,Clothing,Women,Nexa,1032.16,1753.58,84
PROD-00181,Bright Academic Quo,Books,Academic,Bright,766.58,1712.15,216
PROD-00182,River Audio Quos,Electronics,Audio,River,1474.74,2646.21,88
PROD-00183,Urban Kids Architecto,Clothing,Kids,Urban,427.4,613.28,92
PROD-00184,Summit Accessories Amet,Electronics,Accessories,Summit,987.32,2157.78,147
PROD-00185,  orbit educational alias  ,Toys,Educational,Orbit,2257.68,3338.03,210
PROD-00186,Orbit Indoor Cum,Sports,Indoor,Orbit,1190.11,2537.92,146
PROD-00187,nEXA stem qUISQUAM,Toys,STEM,Nexa,3580.38,5393.04,25
PROD-00188,Nova Wellness Nihil,Beauty,Wellness,Nova,3437.35,6942.07,208
PROD-00189,Apex Self-Help Nam,Books,Self-Help,Apex,2761.62,4546.81,58
PROD-00190,Orbit Laptop Eaque,Electronics,Laptop,Orbit,1011.7,1225.25,185
PROD-00191,Nexa Indoor Officiis,Sports,Indoor,Nexa,2902.43,5608.57,79
PROD-00192,Urban Living Room Modi,Furniture,Living Room,Urban,2064.77,2947.76,195
PROD-00193,Nova Storage Voluptate,Home,Storage,Nova,2465.78,5597.55,23
PROD-00194,Nexa STEM Fuga,Toys,STEM,Nexa,328.05,634.75,103
PROD-00195,Zenith Self-Help Nobis,Books,Self-Help,Zenith,1152.71,2505.32,81
PROD-00196,Urban Indoor Ratione,Sports,Indoor,Urban,1955.55,2718.1,9
PROD-00197,Bright Skincare Adipisci,Beauty,Skincare,Bright,817.85,993.11,99
PROD-00198,Zenith Kids Unde,Clothing,Kids,Zenith,1054.49,2038.65,168
PROD-00199,River Wearables Alias,Electronics,Wearables,River,2906.88,3805.49,97
PROD-00200,Nexa Footwear Illo,Clothing,Footwear,Nexa,2806.33,5007.19,52
PROD-00201,River Storage Porro,Home,Storage,River,1923.69,4380.14,192
PROD-00202,Mira Bedroom Porro,Furniture,Bedroom,Mira,2113.7,3144.77,6
PROD-00203,Apex Bedroom Itaque,Furniture,Bedroom,Apex,2937.94,4784.69,187
PROD-00204,Bright Cycling Laudantium,Sports,Cycling,Bright,1215.69,2211.75,102
PROD-00205,Nova Fragrance Magnam,Beauty,Fragrance,Nova,956.3,2290.52,105
PROD-00206,Apex  Fitness  Facilis,Sports,Fitness,Apex,2466.95,2838.2,194
PROD-00207,Zenith Laptop Minus,Electronics,Laptop,Zenith,1251.88,1466.97,79
PROD-00208,  summit academic placeat  ,Books,Academic,Summit,1655.12,2303.27,121
PROD-00209,Mira Fragrance Deleniti,Beauty,Fragrance,Mira,435.65,855.28,93
PROD-00210,Nova Fitness Nostrum,Sports,Fitness,Nova,2712.42,5945.61,24
PROD-00211,Urban Office Nulla,Furniture,Office,Urban,2248.81,4202.88,207
PROD-00212,Nova Laptop Accusamus,Electronics,Laptop,Nova,994.69,2337.36,64
PROD-00213,Summit Outdoor Similique,Toys,Outdoor,Summit,2603.76,4810.14,179
PROD-00214,Nova Dining Velit,Furniture,Dining,Nova,200.64,479.15,33
PROD-00215,Summit Bedroom Quaerat,Furniture,Bedroom,Summit,2888.97,4719.35,204
PROD-00216,River Audio Eligendi,Electronics,Audio,River,1855.25,2212.47,166
PROD-00217,Zenith Comics Totam,Books,Comics,Zenith,394.34,871.94,174
PROD-00218,sUMMIT fITNESS vERO,Sports,Fitness,Summit,2033.52,3790.44,48
PROD-00219,Zenith Wearables Molestiae,Electronics,Wearables,Zenith,2991.93,4594.61,169
PROD-00220,River STEM Aliquam,Toys,STEM,River,1172.82,1363.81,202
PROD-00221,River STEM Aliquam,Toys,STEM,River,1172.82,1363.81,202
PROD-00222,Nexa Bedding Nihil,Home,Bedding,Nexa,2732.55,3772.02,60
PROD-00223,Summit Haircare Occaecati,Beauty,Haircare,Summit,1090.26,2076.31,75
PROD-00224,Nexa Decor Dolor,Home,Decor,Nexa,2541.92,3663.65,106
PROD-00225,Nexa Kitchen Illum,Home,Kitchen,Nexa,2679.76,6429.35,135
PROD-00226,Mira Laptop Repellat,Electronics,Laptop,Mira,2065.19,2823.48,52
PROD-00227,Nova STEM Libero,Toys,STEM,Nova,90.18,190.6,173
PROD-00228,Zenith Lighting Corporis,Home,Lighting,Zenith,3098.29,4561.54,201
PROD-00229,Nexa Women Omnis,Clothing,Women,Nexa,347.98,807.11,36
PROD-00230,River Kids Eligendi,Clothing,Kids,River,2538.68,3792.79,185
PROD-00231,  summit men repellendus  ,Clothing,Men,Summit,1158.95,2599.44,142
PROD-00232,River Outdoor Omnis,Sports,Outdoor,River,2806.21,5518.19,-1
PROD-00233,Apex Dining Recusandae,Furniture,Dining,Apex,910.29,1481.64,158
PROD-00234,Bright Haircare Amet,Beauty,Haircare,Bright,2868.61,3565.26,151
PROD-00235,Nova Accessories Atque,Sports,Accessories,Nova,172.07,201.26,0
PROD-00236,Nexa Office Voluptatem,Furniture,Office,Nexa,797.54,1638.14,128
PROD-00237,Zenith Outdoor Inventore,Sports,Outdoor,Zenith,2568.14,3527.7,103
PROD-00238,Mira Indoor Nihil,Sports,Indoor,Mira,2272.12,2998.31,180
PROD-00239,Zenith Audio Explicabo,Electronics,Audio,Zenith,807.54,1443.3,27
PROD-00240,Zenith Wellness Perspiciatis,Beauty,Wellness,Zenith,1304.91,2148.57,10
PROD-00241,River Audio Natus,Electronics,Audio,River,1278.04,2362.53,38
PROD-00242,Nova Bedding Iusto,Home,Bedding,Nova,1067.08,2212.98,15
PROD-00243,River Decor Sequi,Home,Decor,River,1986.47,4134.65,105
PROD-00244,Nova Wearables Exercitationem,Electronics,Wearables,Nova,998.15,1272.69,100
PROD-00245,Zenith Technology Optio,Books,Technology,Zenith,1062.37,1810.18,128
PROD-00246,Bright Haircare Consequuntur,Beauty,Haircare,Bright,1048.61,1511.69,135
PROD-00247,Nexa  Women  Modi,Clothing,Women,Nexa,1909.02,3423.55,24
PROD-00248,Orbit Women Nesciunt,Clothing,Women,Orbit,2725.6,5386.7,11
PROD-00249,rIVER iNDOOR dOLORUM,Sports,Indoor,River,1508.76,2460.6,203
PROD-00250,Nexa Plush Ipsum,Toys,Plush,Nexa,3024.51,5815.67,114
PROD-00251,Urban Decor Vel,Home,Decor,Urban,939.4,1888.61,74
PROD-00252,Apex Academic Dolorum,Books,Academic,Apex,317.71,649.17,119
PROD-00253,Apex Skincare Voluptatibus,Beauty,Skincare,Apex,509.52,1154.69,168
PROD-00254,  summit audio quod  ,Electronics,Audio,Summit,2803.6,6051.92,137
PROD-00255,Bright Lighting Earum,Home,Lighting,Bright,3588.8,4268.02,107
PROD-00256,Orbit Wellness Veniam,Beauty,Wellness,Orbit,523.05,813.15,153
PROD-00257,Apex Wearables Dolore,Electronics,Wearables,Apex,396.37,770.87,111
PROD-00258,Zenith Women Quas,Clothing,Women,Zenith,3134.38,3721.61,45
PROD-00259,Apex Wellness Minima,Beauty,Wellness,Apex,1267.87,2676.91,194
PROD-00260,Nova Storage Ad,Furniture,Storage,Nova,2100.6,3939.83,102
PROD-00261,Bright Fitness Fuga,Sports,Fitness,Bright,3220.72,6099.45,56
PROD-00262,Orbit Activity Beatae,Toys,Activity,Orbit,2761.45,3797.6,51
PROD-00263,Bright Outdoor Voluptatem,Sports,Outdoor,Bright,183.58,393.3,147
PROD-00264,River Lighting Cum,Home,Lighting,River,1634.75,2720.74,204
PROD-00265,Bright Comics Itaque,Books,Comics,Bright,1173.59,2184.59,43
PROD-00266,Nexa STEM Dolores,Toys,STEM,Nexa,569.88,1330.75,40
PROD-00267,Apex Storage Esse,Furniture,Storage,Apex,605.64,1150.24,55
PROD-00268,Summit Fiction Praesentium,Books,Fiction,Summit,2319.46,2997.74,162
PROD-00269,Urban Bedroom Cum,Furniture,Bedroom,Urban,109.29,204.0,96
PROD-00270,Urban Wearables Ab,Electronics,Wearables,Urban,1362.95,2810.8,25
PROD-00271,Orbit Audio In,Electronics,Audio,Orbit,2038.8,2894.92,28
PROD-00272,Nexa Accessories Quisquam,Sports,Accessories,Nexa,2132.95,3701.76,68
PROD-00273,Mira Bedding Laudantium,Home,Bedding,Mira,2030.56,3355.15,160
PROD-00274,River Women Dolorem,Clothing,Women,River,3211.05,6842.87,21
PROD-00275,River Bedding Repellendus,Home,Bedding,River,2673.24,4598.04,29
PROD-00276,River Bedding Repellendus,Home,Bedding,River,2673.24,4598.04,29
PROD-00277,  bright footwear sed  ,Clothing,Footwear,Bright,562.98,1018.33,178
PROD-00278,River Wearables Dolorum,Electronics,Wearables,River,577.86,672.17,219
PROD-00279,Nova Makeup Ullam,Beauty,Makeup,Nova,2910.3,6260.94,85
PROD-00280,aPEX fICTION dOLORE,Books,Fiction,Apex,1670.13,2677.66,74
PROD-00281,Mira Bedroom Porro,Furniture,Bedroom,Mira,1310.51,2173.36,24
PROD-00282,Orbit Outdoor Minima,Toys,Outdoor,Orbit,2630.03,4872.9,145
PROD-00283,Summit Bedding Sapiente,Home,Bedding,Summit,730.83,1301.04,203
PROD-00284,Urban Self-Help Temporibus,Books,Self-Help,Urban,3047.79,4245.91,206
PROD-00285,Summit Audio Rerum,Electronics,Audio,Summit,1488.78,2089.38,171
PROD-00286,Apex Educational Occaecati,Toys,Educational,Apex,886.68,1565.52,175
PROD-00287,Mira Kids Similique,Clothing,Kids,Mira,3160.26,5157.62,100
PROD-00288,Urban  Makeup  Nisi,Beauty,Makeup,Urban,3517.36,5961.06,12
PROD-00289,Apex Women Totam,Clothing,Women,Apex,649.98,886.46,52
PROD-00290,Nova Office Sed,Furniture,Office,Nova,3412.87,4172.79,97
PROD-00291,Mira Academic Minima,Books,Academic,Mira,3390.31,5726.45,220
PROD-00292,River Audio Illo,Electronics,Audio,River,1144.16,2037.42,159
PROD-00293,Apex Accessories Libero,Sports,Accessories,Apex,2727.21,5110.57,80
PROD-00294,Summit Technology Beatae,Books,Technology,Summit,272.01,394.79,218
PROD-00295,Summit Fragrance Quaerat,Beauty,Fragrance,Summit,1930.52,3533.62,167
PROD-00296,Summit Decor Ad,Home,Decor,Summit,3499.48,6188.99,208
PROD-00297,Nexa Men Sit,Clothing,Men,Nexa,2617.87,5011.57,10
PROD-00298,Zenith Office A,Furniture,Office,Zenith,1566.43,3036.97,158
PROD-00299,River Accessories Reprehenderit,Electronics,Accessories,River,1439.84,2604.74,93
PROD-00300,  river academic voluptatum  ,Books,Academic,River,806.44,1888.88,79
