category,sales_date,daily_revenue,running_category_revenue
Beauty,2021-05-19,550.12,386420.3
Beauty,2021-05-29,15243.53,401663.83
Beauty,2021-06-06,8227.78,409891.61
Beauty,2021-06-27,1491.72,411383.34
Beauty,2021-06-29,3804.23,415187.57
Beauty,2021-07-07,933.67,416121.24
Beauty,2021-07-12,549.18,416670.42
Beauty,2021-07-13,2406.02,419076.44
Beauty,2021-07-15,6489.75,425566.19
Beauty,2021-07-21,1054.82,426621.02
Beauty,2021-07-23,2286.83,428907.85
Beauty,2021-07-30,312.29,429220.14
Beauty,2021-08-09,8130.84,437350.98
Beauty,2021-08-12,34.42,437385.4
Beauty,2021-08-24,12537.55,449922.95
Beauty,2021-08-26,2257.61,452180.56
Beauty,2021-09-09,6189.99,458370.56
Beauty,2021-09-14,8477.18,466847.74
Beauty,2021-09-25,8756.96,475604.7
Beauty,2021-10-03,439.32,476044.03
Beauty,2021-10-21,5707.15,481751.17
Beauty,2021-10-29,6319.27,488070.45
Beauty,2021-11-01,1465.05,489535.5
Beauty,2021-11-14,457.47,489992.97
Beauty,2021-11-18,10571.08,500564.05
Beauty,2021-11-22,1025.94,501589.99
Beauty,2021-12-13,4671.95,506261.95
Beauty,2021-12-14,2758.75,509020.7
Beauty,2021-12-15,11139.79,520160.49
Beauty,2021-12-21,1819.4,521979.89
Beauty,2021-12-24,6281.06,528260.95
Beauty,2021-12-25,9478.78,537739.73
Beauty,2022-01-09,563.31,538303.05
Beauty,2022-01-13,2148.13,540451.18
Beauty,2022-01-24,1516.07,541967.25
Beauty,2022-02-02,1033.05,543000.3
Beauty,2022-02-05,1953.38,544953.68
Beauty,2022-03-01,249.61,545203.29
Beauty,2022-03-03,4798.13,550001.42
Beauty,2022-03-10,1312.29,551313.71
Beauty,2022-03-11,5700.75,557014.46
Beauty,2022-03-19,11255.0,568269.45
Beauty,2022-03-29,1012.42,569281.87
Beauty,2022-03-31,10582.88,579864.75
Beauty,2022-04-01,742.12,580606.87
Beauty,2022-04-12,2608.81,583215.68
Beauty,2022-04-23,12714.11,595929.79
Beauty,2022-04-27,1666.86,597596.65
Beauty,2022-05-06,8225.05,605821.69
Beauty,2022-05-11,14917.43,620739.12
Beauty,2022-05-12,863.64,621602.76
Beauty,2022-05-19,3614.91,625217.67
Beauty,2022-05-21,105.1,625322.77
Beauty,2022-05-23,647.29,625970.06
Beauty,2022-06-02,5552.87,631522.93
Beauty,2022-06-10,10359.89,641882.82
Beauty,2022-06-21,1386.4,643269.23
Beauty,2022-07-10,1195.6,644464.82
Beauty,2022-07-12,1400.17,645864.99
Beauty,2022-07-19,2959.62,648824.61
Beauty,2022-07-24,5333.67,654158.28
Beauty,2022-07-29,1754.39,655912.68
Beauty,2022-08-07,2248.41,658161.09
Beauty,2022-08-13,4844.6,663005.69
Beauty,2022-08-19,4898.73,667904.42
Beauty,2022-08-20,2246.09,670150.5
Beauty,2022-08-24,1153.7,671304.21
Beauty,2022-09-04,306.34,671610.54
Beauty,2022-09-16,1504.19,673114.74
Beauty,2022-09-18,10284.72,683399.45
Beauty,2022-09-30,14393.18,697792.63
Beauty,2022-10-06,3995.65,701788.28
Beauty,2022-10-07,869.84,702658.12
Beauty,2022-10-10,2006.73,704664.85
Beauty,2022-10-17,1834.93,706499.78
Beauty,2022-10-21,3122.31,709622.09
Beauty,2022-11-06,7112.59,716734.68
Beauty,2022-11-07,4674.84,721409.52
Beauty,2022-11-13,7114.92,728524.44
Beauty,2022-11-17,16875.07,745399.51
Beauty,2022-11-18,220.76,745620.27
Beauty,2022-11-27,771.98,746392.25
Beauty,2022-12-02,978.87,747371.12
Beauty,2022-12-08,10047.9,757419.02
Beauty,2022-12-10,8437.47,765856.49
Beauty,2022-12-14,5511.01,771367.49
Beauty,2022-12-15,9107.32,780474.82
Beauty,2022-12-18,4334.02,784808.83
Beauty,2022-12-19,3310.78,788119.61
Beauty,2023-01-06,15199.97,803319.58
Beauty,2023-01-13,5795.48,809115.06
Beauty,2023-01-14,10154.54,819269.6
Beauty,2023-01-21,3866.34,823135.94
Beauty,2023-01-28,4084.21,827220.15
Beauty,2023-02-14,3435.9,830656.04
Beauty,2023-02-16,14996.31,845652.35
Beauty,2023-02-17,3662.04,849314.4
Beauty,2023-02-19,4044.72,853359.12
Beauty,2023-02-23,2457.38,855816.5
Beauty,2023-02-24,11936.95,867753.45
Beauty,2023-03-08,715.56,868469.02
Beauty,2023-03-09,1417.63,869886.65
Beauty,2023-03-12,658.34,870544.99
Beauty,2023-03-15,1713.32,872258.31
Beauty,2023-04-02,9991.35,882249.66
Beauty,2023-04-07,2822.41,885072.07
Beauty,2023-04-18,7230.1,892302.17
Beauty,2023-04-19,249.35,892551.53
Beauty,2023-04-28,5965.8,898517.33
Beauty,2023-05-01,662.81,899180.14
Beauty,2023-05-10,1197.45,900377.59
Beauty,2023-05-12,5732.81,906110.4
Beauty,2023-05-22,1808.01,907918.41
Beauty,2023-06-03,10753.09,918671.5
Beauty,2023-06-08,17774.73,936446.23
Beauty,2023-06-09,6014.22,942460.45
Beauty,2023-06-19,28.26,942488.71
Beauty,2023-07-03,4747.3,947236.01
Beauty,2023-07-04,7218.18,954454.18
Beauty,2023-07-05,7569.52,962023.7
Beauty,2023-07-09,1789.13,963812.83
Beauty,2023-07-14,4124.32,967937.15
Beauty,2023-07-18,4327.77,972264.92
Beauty,2023-07-28,7233.55,979498.47
Beauty,2023-08-01,12474.44,991972.92
Beauty,2023-08-02,906.64,992879.55
Beauty,2023-08-05,2312.75,995192.3
Beauty,2023-08-06,1933.24,997125.54
Beauty,2023-08-16,1932.39,999057.93
Beauty,2023-08-24,1673.11,1000731.04
Beauty,2023-09-08,4945.72,1005676.76
Beauty,2023-09-15,11576.7,1017253.46
Beauty,2023-09-26,4042.6,1021296.06
Beauty,2023-10-02,1592.64,1022888.7
Beauty,2023-10-04,5893.83,1028782.53
Beauty,2023-10-05,3098.19,1031880.73
Beauty,2023-10-07,12857.43,1044738.15
Beauty,2023-10-13,8741.92,1053480.07
Beauty,2023-10-19,1060.4,1054540.47
Beauty,2023-10-25,4815.57,1059356.04
Beauty,2023-10-31,1827.72,1061183.76
Beauty,2023-11-02,2579.6,1063763.36
Beauty,2023-11-05,1599.23,1065362.58
Beauty,2023-11-12,8516.2,1073878.78
Beauty,2023-11-28,1152.94,1075031.71
Beauty,2023-12-06,3184.28,1078216.0
Beauty,2023-12-11,554.38,1078770.38
Beauty,2023-12-22,3484.01,1082254.39
Beauty,2023-12-29,8643.54,1090897.93
Beauty,2023-12-30,4304.3,1095202.23
Beauty,2024-01-05,13660.67,1108862.9
Beauty,2024-01-18,14776.65,1123639.55
Beauty,2024-02-02,4113.59,1127753.14
Beauty,2024-02-04,1348.16,1129101.3
Beauty,2024-02-05,223.72,1129325.03
Beauty,2024-02-06,1542.66,1130867.68
Beauty,2024-02-13,1701.74,1132569.43
Beauty,2024-02-14,15143.23,1147712.66
Beauty,2024-02-21,291.9,1148004.55
Beauty,2024-02-22,711.47,1148716.03
Beauty,2024-03-09,817.15,1149533.18
Beauty,2024-03-11,7667.83,1157201.01
Beauty,2024-03-13,6423.46,1163624.47
Beauty,2024-03-14,273.93,1163898.4
Beauty,2024-03-16,4105.99,1168004.39
Beauty,2024-03-18,4833.39,1172837.78
Beauty,2024-03-22,8132.59,1180970.37
Beauty,2024-03-27,6154.38,1187124.75
Beauty,2024-03-28,11919.71,1199044.46
Beauty,2024-04-05,729.8,1199774.26
Beauty,2024-04-08,10361.35,1210135.6
Beauty,2024-04-10,9084.54,1219220.14
Beauty,2024-04-13,4437.1,1223657.24
Beauty,2024-04-14,5342.45,1228999.69
Beauty,2024-04-15,7749.13,1236748.82
Beauty,2024-04-25,2481.29,1239230.11
Beauty,2024-05-10,5644.93,1244875.04
Beauty,2024-05-20,7757.11,1252632.15
Beauty,2024-05-24,4672.24,1257304.39
Beauty,2024-05-31,9937.16,1267241.55
Beauty,2024-06-02,956.72,1268198.28
Beauty,2024-06-04,3133.02,1271331.29
Beauty,2024-06-12,122.72,1271454.01
Beauty,2024-06-18,5554.06,1277008.07
Beauty,2024-06-27,4564.56,1281572.63
Beauty,2024-07-02,16944.83,1298517.47
Beauty,2024-07-04,5980.14,1304497.6
Beauty,2024-07-05,1256.53,1305754.13
Beauty,2024-07-29,3679.03,1309433.16
Beauty,2024-07-31,2519.59,1311952.74
Beauty,2024-08-13,7326.72,1319279.46
Beauty,2024-08-19,5848.58,1325128.04
Beauty,2024-08-23,6645.29,1331773.33
Beauty,2024-09-05,1382.06,1333155.39
Beauty,2024-09-07,18485.01,1351640.4
Beauty,2024-09-10,2959.56,1354599.95
Beauty,2024-09-17,12304.09,1366904.04
Beauty,2024-09-19,4362.33,1371266.38
Beauty,2024-09-27,2484.53,1373750.91
Beauty,2024-09-28,561.8,1374312.71
Beauty,2024-10-08,14022.49,1388335.2
Beauty,2024-10-12,1616.7,1389951.9
Beauty,2024-10-15,7286.41,1397238.32
Beauty,2024-10-21,5172.59,1402410.9
Beauty,2024-10-23,2083.87,1404494.77
Beauty,2024-10-26,3087.65,1407582.43
Beauty,2024-11-12,5065.99,1412648.42
Beauty,2024-11-15,11885.29,1424533.7
Beauty,2024-11-24,1484.54,1426018.24
Beauty,2024-11-27,5067.51,1431085.76
Beauty,2024-12-06,7423.9,1438509.65
Beauty,2024-12-09,2273.88,1440783.53
Beauty,2024-12-13,13751.8,1454535.33
Beauty,2024-12-14,6265.04,1460800.37
Beauty,2024-12-20,5974.83,1466775.2
Beauty,2024-12-21,6184.86,1472960.06
Beauty,2024-12-23,686.87,1473646.93
Beauty,2024-12-26,3230.89,1476877.82
Beauty,2025-01-19,4312.63,1481190.44
Beauty,2025-01-24,1531.59,1482722.04
Beauty,2025-01-29,1175.54,1483897.57
Beauty,2025-02-04,2716.44,1486614.01
Beauty,2025-02-05,605.08,1487219.09
Beauty,2025-02-06,8833.35,1496052.45
Beauty,2025-02-10,787.68,1496840.13
Beauty,2025-02-16,11153.32,1507993.44
Beauty,2025-03-05,4286.8,1512280.24
Beauty,2025-03-06,2094.42,1514374.66
Beauty,2025-03-09,523.34,1514898.01
Beauty,2025-03-10,448.03,1515346.04
Beauty,2025-03-14,17439.02,1532785.05
Beauty,2025-04-01,4014.42,1536799.48
Beauty,2025-04-03,1180.13,1537979.61
Beauty,2025-04-07,2062.37,1540041.99
Beauty,2025-04-12,8610.41,1548652.39
Beauty,2025-04-18,354.74,1549007.13
Beauty,2025-04-19,7861.85,1556868.98
Beauty,2025-04-22,13628.65,1570497.64
Beauty,2025-04-30,10872.02,1581369.65
Beauty,2025-05-04,800.48,1582170.13
Beauty,2025-05-06,663.86,1582833.99
Beauty,2025-05-11,266.9,1583100.89
Beauty,2025-05-17,4259.18,1587360.07
Beauty,2025-06-02,2304.77,1589664.84
Beauty,2025-06-06,2066.66,1591731.5
Beauty,2025-06-20,567.81,1592299.31
Beauty,2025-06-24,1038.32,1593337.63
Beauty,2025-06-28,845.02,1594182.65
Beauty,2025-07-01,2490.78,1596673.43
Beauty,2025-07-02,7514.07,1604187.5
Beauty,2025-07-05,11582.36,1615769.86
Beauty,2025-07-14,10938.55,1626708.41
Beauty,2025-07-18,128.22,1626836.63
Beauty,2025-07-21,1094.18,1627930.81
Beauty,2025-07-22,19872.28,1647803.09
Beauty,2025-07-29,9599.37,1657402.46
Beauty,2025-08-09,1251.34,1658653.81
Beauty,2025-08-14,1348.08,1660001.88
Beauty,2025-08-21,8673.7,1668675.58
Beauty,2025-08-27,3996.77,1672672.35
Beauty,2025-08-28,7618.5,1680290.85
Beauty,2025-08-31,8440.78,1688731.63
Beauty,2025-09-01,819.68,1689551.31
Beauty,2025-09-08,4316.48,1693867.8
Beauty,2025-09-12,360.63,1694228.42
Beauty,2025-09-13,12193.38,1706421.81
Beauty,2025-10-12,3909.67,1710331.47
Beauty,2025-10-27,3236.16,1713567.64
Beauty,2025-10-29,469.73,1714037.37
Beauty,2025-11-04,2440.61,1716477.97
Beauty,2025-11-07,587.37,1717065.34
Beauty,2025-11-10,13964.24,1731029.58
Beauty,2025-11-26,7822.77,1738852.36
Beauty,2025-12-01,7937.87,1746790.23
Beauty,2025-12-03,11032.41,1757822.64
Beauty,2025-12-14,1081.29,1758903.93
Beauty,2025-12-16,787.24,1759691.16
Beauty,2025-12-20,6259.8,1765950.96
Beauty,2025-12-22,2549.48,1768500.44
Beauty,2025-12-25,1637.66,1770138.1
Beauty,2025-12-30,15629.06,1785767.16
Beauty,2026-01-07,3368.91,1789136.07
Beauty,2026-01-12,2875.28,1792011.35
Beauty,2026-01-14,4841.88,1796853.23
Beauty,2026-01-16,717.67,1797570.9
Beauty,2026-01-21,4229.95,1801800.85
Beauty,2026-01-28,1882.49,1803683.34
Beauty,2026-02-04,1945.19,1805628.53
Beauty,2026-02-10,2328.7,1807957.23
Beauty,2026-02-11,937.3,1808894.53
Beauty,2026-02-14,1195.47,1810090.0
Beauty,2026-02-21,10027.61,1820117.6
Beauty,2026-03-01,4023.63,1824141.24
Beauty,2026-03-12,377.27,1824518.51
Beauty,2026-03-19,292.64,1824811.15
Beauty,2026-03-22,3602.69,1828413.84
Beauty,2026-03-29,1155.43,1829569.27
Beauty,2026-04-01,3558.99,1833128.26
Beauty,2026-04-02,4084.82,1837213.08
Beauty,2026-04-17,8648.8,1845861.88
Beauty,2026-04-24,4299.16,1850161.04
Beauty,2026-04-26,5052.72,1855213.76
Beauty,2026-05-04,4613.91,1859827.67
Beauty,2026-05-11,1145.33,1860973.0
Beauty,2026-05-12,1523.16,1862496.16
Beauty,2026-05-14,17067.14,1879563.3
Beauty,2026-05-28,2901.37,1882464.67
Beauty,2026-06-05,538.42,1883003.1
Beauty,2026-06-10,16087.29,1899090.39
Beauty,2026-06-12,1409.64,1900500.03
Beauty,2026-06-16,4554.06,1905054.09
Beauty,2026-06-20,5217.98,1910272.07
Beauty,2026-07-03,6768.04,1917040.11
Beauty,2026-07-08,8135.88,1925175.99
Beauty,2026-07-25,4185.0,1929361.0
Beauty,2026-07-26,1789.62,1931150.62
Beauty,2026-08-10,192025.85,2123176.46
Books,2020-01-03,7603.3,7603.3
Books,2020-01-10,12671.28,20274.58
Books,2020-01-11,479.39,20753.96
Books,2020-01-13,1110.72,21864.68
Books,2020-01-14,1762.81,23627.49
Books,2020-01-17,6525.1,30152.59
Books,2020-01-20,6012.89,36165.48
Books,2020-02-02,5213.72,41379.2
Books,2020-02-14,4086.35,45465.55
Books,2020-02-19,12426.66,57892.21
Books,2020-02-26,13427.4,71319.61
Books,2020-03-19,2092.26,73411.87
Books,2020-04-01,1517.95,74929.81
Books,2020-04-08,3662.45,78592.27
Books,2020-04-09,2513.37,81105.64
Books,2020-04-15,14454.99,95560.64
Books,2020-04-22,3574.1,99134.73
Books,2020-05-20,4577.61,103712.34
Books,2020-05-21,5770.87,109483.21
Books,2020-05-28,9331.19,118814.4
Books,2020-05-29,7979.79,126794.19
Books,2020-05-30,990.51,127784.7
Books,2020-06-01,7258.09,135042.78
Books,2020-06-21,9074.67,144117.45
Books,2020-06-23,6045.44,150162.89
Books,2020-06-27,4435.25,154598.13
Books,2020-07-03,0.0,154598.13
Books,2020-07-04,7489.06,162087.19
Books,2020-07-17,1106.31,163193.5
Books,2020-07-24,431.72,163625.22
Books,2020-07-31,1273.18,164898.39
Books,2020-08-14,2848.27,167746.67
Books,2020-08-21,944.37,168691.03
Books,2020-09-03,2576.45,171267.48
Books,2020-09-11,2131.08,173398.56
Books,2020-09-12,5730.25,179128.81
Books,2020-09-13,12224.63,191353.44
Books,2020-09-25,7153.42,198506.86
Books,2020-10-02,4669.1,203175.96
Books,2020-10-08,1376.95,204552.91
Books,2020-10-13,18890.85,223443.76
Books,2020-11-13,13975.03,237418.79
Books,2020-11-17,6462.31,243881.1
Books,2020-11-30,5036.73,248917.83
Books,2020-12-08,3379.68,252297.51
Books,2020-12-16,6871.36,259168.87
Books,2020-12-21,11856.43,271025.3
Books,2020-12-25,5909.59,276934.88
Books,2020-12-30,1652.79,278587.67
Books,2021-01-03,4220.52,282808.19
Books,2021-01-06,5090.47,287898.67
Books,2021-01-07,3335.9,291234.57
Books,2021-01-09,5174.08,296408.64
Books,2021-01-10,8954.21,305362.86
Books,2021-01-13,833.22,306196.08
Books,2021-01-16,11705.9,317901.98
Books,2021-02-10,2814.34,320716.32
Books,2021-02-21,11005.51,331721.83
Books,2021-03-03,3651.68,335373.51
Books,2021-03-05,1547.26,336920.76
Books,2021-03-06,1345.78,338266.54
Books,2021-03-09,3759.01,342025.56
Books,2021-03-21,1253.49,343279.04
Books,2021-03-28,1689.14,344968.18
Books,2021-05-01,9708.79,354676.97
Books,2021-05-06,5366.69,360043.65
Books,2021-05-19,936.59,360980.24
Books,2021-05-26,4810.6,365790.84
Books,2021-06-02,5599.16,371390.0
Books,2021-06-04,5782.15,377172.15
Books,2021-06-18,4273.35,381445.49
Books,2021-06-23,826.38,382271.87
Books,2021-06-24,6505.23,388777.1
Books,2021-06-25,1641.96,390419.06
Books,2021-07-08,2591.15,393010.21
Books,2021-07-12,7775.76,400785.97
Books,2021-07-24,11466.26,412252.23
Books,2021-07-29,829.12,413081.35
Books,2021-08-12,10384.68,423466.02
Books,2021-08-13,2887.27,426353.29
Books,2021-08-18,1062.78,427416.08
Books,2021-08-24,2781.31,430197.39
Books,2021-08-25,1572.41,431769.8
Books,2021-08-30,4286.67,436056.47
Books,2021-09-09,684.57,436741.04
Books,2021-09-14,9688.47,446429.51
Books,2021-09-16,870.05,447299.56
Books,2021-09-24,5309.0,452608.57
Books,2021-10-07,16302.8,468911.37
Books,2021-10-14,5620.82,474532.19
Books,2021-10-16,793.35,475325.54
Books,2021-11-06,4022.08,479347.62
Books,2021-11-09,5064.6,484412.22
Books,2021-11-14,1401.96,485814.18
Books,2021-11-17,1662.94,487477.12
Books,2021-11-18,654.21,488131.32
Books,2021-11-25,1638.64,489769.96
Books,2021-12-12,1849.8,491619.77
Books,2021-12-14,4069.73,495689.49
Books,2021-12-23,5733.29,501422.78
Books,2022-01-06,256.57,501679.34
Books,2022-01-09,1139.87,502819.21
Books,2022-01-12,7451.03,510270.24
Books,2022-01-19,3348.03,513618.27
Books,2022-01-24,3544.54,517162.81
Books,2022-02-06,7971.87,525134.67
Books,2022-02-22,9178.67,534313.35
Books,2022-03-11,19212.39,553525.73
Books,2022-03-19,49.68,553575.41
Books,2022-03-22,4847.94,558423.36
Books,2022-04-23,1063.56,559486.92
Books,2022-05-08,5908.64,565395.55
Books,2022-05-09,1680.7,567076.26
Books,2022-05-11,3152.04,570228.3
Books,2022-05-12,7344.06,577572.36
Books,2022-05-19,3621.07,581193.43
Books,2022-05-21,8274.26,589467.69
Books,2022-05-22,11489.52,600957.21
Books,2022-05-25,1614.66,602571.87
Books,2022-05-29,407.59,602979.46
Books,2022-06-15,659.5,603638.96
Books,2022-06-21,4615.12,608254.08
Books,2022-06-22,1498.76,609752.83
Books,2022-06-26,2931.78,612684.61
Books,2022-07-05,17529.46,630214.07
Books,2022-07-12,8712.93,638927.0
Books,2022-07-18,3364.92,642291.92
Books,2022-07-25,1457.35,643749.27
Books,2022-07-27,1497.3,645246.57
Books,2022-07-28,1019.35,646265.93
Books,2022-08-04,1535.35,647801.28
Books,2022-08-14,1009.26,648810.54
Books,2022-08-19,1546.14,650356.68
Books,2022-08-28,3073.54,653430.22
Books,2022-08-30,531.56,653961.79
Books,2022-09-04,1532.36,655494.15
Books,2022-09-08,18295.12,673789.26
Books,2022-09-16,7361.59,681150.85
Books,2022-09-18,1597.53,682748.38
Books,2022-09-30,314.7,683063.08
Books,2022-10-12,2619.18,685682.26
Books,2022-11-07,4558.05,690240.3
Books,2022-12-05,6342.37,696582.68
Books,2022-12-09,8708.15,705290.83
Books,2022-12-14,21103.53,726394.36
Books,2022-12-15,6689.52,733083.88
Books,2022-12-19,2625.5,735709.38
Books,2023-01-13,4928.96,740638.34
Books,2023-01-16,891.85,741530.19
Books,2023-01-24,8434.11,749964.3
Books,2023-01-30,647.41,750611.7
Books,2023-02-07,703.18,751314.88
Books,2023-02-08,2799.24,754114.13
Books,2023-02-19,167.46,754281.59
Books,2023-02-23,9936.34,764217.93
Books,2023-03-01,20711.27,784929.2
Books,2023-03-08,2274.19,787203.4
Books,2023-03-11,9849.72,797053.12
Books,2023-03-15,1190.79,798243.9
Books,2023-03-19,7132.91,805376.81
Books,2023-03-21,7132.64,812509.46
Books,2023-03-27,2758.97,815268.43
Books,2023-04-02,12502.75,827771.18
Books,2023-04-05,5826.92,833598.1
Books,2023-04-14,2103.78,835701.88
Books,2023-04-18,4472.7,840174.57
Books,2023-04-19,3399.22,843573.79
Books,2023-04-28,244.63,843818.42
Books,2023-04-29,11057.09,854875.52
Books,2023-05-01,624.84,855500.36
Books,2023-05-10,3112.11,858612.47
Books,2023-05-12,10979.96,869592.43
Books,2023-06-08,9625.61,879218.04
Books,2023-06-09,1059.99,880278.03
Books,2023-06-18,5942.11,886220.13
Books,2023-07-04,5534.88,891755.01
Books,2023-07-05,12116.12,903871.14
Books,2023-07-17,7006.56,910877.7
Books,2023-07-18,7251.82,918129.51
Books,2023-07-19,5236.17,923365.68
Books,2023-07-23,3202.52,926568.2
Books,2023-07-24,2812.24,929380.44
Books,2023-07-28,5505.61,934886.05
Books,2023-08-06,2592.79,937478.85
Books,2023-08-11,7236.27,944715.11
Books,2023-08-14,5684.62,950399.74
Books,2023-08-18,3586.79,953986.53
Books,2023-09-07,1618.41,955604.94
Books,2023-09-08,13275.53,968880.47
Books,2023-09-27,2620.82,971501.29
Books,2023-10-02,4889.87,976391.15
Books,2023-10-04,7380.05,983771.2
Books,2023-10-05,2644.87,986416.07
Books,2023-10-07,3344.03,989760.1
Books,2023-10-16,6678.46,996438.56
Books,2023-10-17,12019.38,1008457.95
Books,2023-10-25,3051.31,1011509.25
Books,2023-11-02,2309.63,1013818.88
Books,2023-11-05,1956.79,1015775.66
Books,2023-11-24,8356.28,1024131.95
Books,2023-11-25,3613.79,1027745.74
Books,2023-11-29,2581.25,1030326.99
Books,2023-12-01,3771.5,1034098.48
Books,2023-12-13,5064.1,1039162.59
Books,2023-12-18,6321.41,1045484.0
Books,2023-12-21,2866.73,1048350.73
Books,2023-12-22,8552.72,1056903.45
Books,2024-01-12,2375.84,1059279.3
Books,2024-01-19,1164.52,1060443.82
Books,2024-01-20,10730.4,1071174.22
Books,2024-01-24,874.7,1072048.92
Books,2024-02-04,4587.78,1076636.7
Books,2024-02-05,5613.64,1082250.34
Books,2024-02-08,1179.25,1083429.59
Books,2024-02-13,3039.26,1086468.85
Books,2024-02-28,11360.62,1097829.48
Books,2024-03-18,10097.27,1107926.74
Books,2024-03-25,10771.7,1118698.45
Books,2024-03-26,2824.69,1121523.14
Books,2024-04-07,2166.61,1123689.75
Books,2024-04-09,6634.37,1130324.12
Books,2024-04-24,8081.16,1138405.28
Books,2024-05-07,1487.55,1139892.83
Books,2024-05-18,4900.84,1144793.67
Books,2024-05-20,8712.83,1153506.51
Books,2024-06-09,10160.46,1163666.97
Books,2024-07-02,263.24,1163930.21
Books,2024-07-04,916.18,1164846.38
Books,2024-07-10,9746.44,1174592.82
Books,2024-08-19,3360.69,1177953.51
Books,2024-08-24,329.5,1178283.01
Books,2024-09-08,3251.09,1181534.1
Books,2024-09-17,1782.45,1183316.55
Books,2024-09-19,5890.1,1189206.65
Books,2024-09-21,1576.33,1190782.98
Books,2024-10-02,6704.94,1197487.92
Books,2024-10-14,401.35,1197889.27
Books,2024-10-20,4691.73,1202581.0
Books,2024-10-26,1012.82,1203593.82
Books,2024-11-15,2979.78,1206573.6
Books,2024-11-16,2031.18,1208604.78
Books,2024-11-21,1914.07,1210518.85
Books,2024-11-27,19816.05,1230334.9
Books,2024-12-17,2299.2,1232634.09
Books,2024-12-20,1108.35,1233742.44
Books,2024-12-27,854.31,1234596.74
Books,2025-01-01,1693.16,1236289.91
Books,2025-01-03,2209.14,1238499.04
Books,2025-01-31,14331.33,1252830.37
Books,2025-02-06,4296.47,1257126.84
Books,2025-02-16,3678.87,1260805.71
Books,2025-02-17,6239.71,1267045.42
Books,2025-02-21,379.54,1267424.96
Books,2025-02-24,9008.18,1276433.13
Books,2025-02-27,1818.49,1278251.62
Books,2025-03-04,9181.41,1287433.03
