sales_date,cumulative_revenue
2023-02-06,5563336.63
2023-02-07,5564039.81
2023-02-08,5571287.64
2023-02-12,5589788.29
2023-02-14,5594618.91
2023-02-16,5622200.5
2023-02-17,5632938.77
2023-02-19,5641535.94
2023-02-20,5648519.54
2023-02-22,5667575.64
2023-02-23,5698655.54
2023-02-24,5711457.81
2023-03-01,5746540.69
2023-03-03,5767358.8
2023-03-08,5781244.55
2023-03-09,5783899.99
2023-03-11,5809510.89
2023-03-12,5817966.43
2023-03-15,5831753.72
2023-03-19,5857650.21
2023-03-20,5874654.66
2023-03-21,5888810.93
2023-03-22,5890260.75
2023-03-24,5897251.61
2023-03-25,5900595.71
2023-03-27,5904718.16
2023-03-29,5904964.98
2023-03-30,5938921.67
2023-04-02,6003505.87
2023-04-04,6027885.34
2023-04-05,6044195.65
2023-04-06,6072469.81
2023-04-07,6082158.76
2023-04-14,6096994.79
2023-04-18,6121114.6
2023-04-19,6135687.02
2023-04-27,6146510.31
2023-04-28,6159071.77
2023-04-29,6177311.86
2023-04-30,6192080.89
2023-05-01,6193368.54
2023-05-10,6231110.22
2023-05-12,6266141.95
2023-05-13,6273838.11
2023-05-17,6279795.03
2023-05-18,6283200.23
2023-05-22,6286117.37
2023-06-02,6297343.44
2023-06-03,6310221.12
2023-06-06,6321822.93
2023-06-08,6353826.02
2023-06-09,6375858.9
2023-06-12,6375944.73
2023-06-13,6379042.27
2023-06-16,6386059.28
2023-06-17,6397278.78
2023-06-18,6410078.79
2023-06-19,6420126.07
2023-06-25,6434959.39
2023-07-03,6446251.94
2023-07-04,6468115.64
2023-07-05,6510509.46
2023-07-09,6533678.82
2023-07-14,6546000.91
2023-07-16,6547323.47
2023-07-17,6581940.06
2023-07-18,6627947.0
2023-07-19,6641949.31
2023-07-23,6645151.83
2023-07-24,6662060.04
2023-07-28,6721570.63
2023-08-01,6751318.42
2023-08-02,6759812.64
2023-08-05,6769200.07
2023-08-06,6778731.21
2023-08-07,6788240.46
2023-08-11,6813686.82
2023-08-14,6823281.83
2023-08-16,6834211.58
2023-08-18,6860917.79
2023-08-23,6868225.07
2023-08-24,6881255.67
2023-08-30,6894140.51
2023-09-06,6894300.72
2023-09-07,6914872.48
2023-09-08,6936000.44
2023-09-11,6936800.56
2023-09-15,6959324.96
2023-09-22,6966560.56
2023-09-24,6966777.51
2023-09-26,6975094.38
2023-09-27,6988987.71
2023-09-28,7000768.43
2023-10-02,7016013.2
2023-10-04,7047649.38
2023-10-05,7094995.21
2023-10-06,7100482.59
2023-10-07,7125657.47
2023-10-08,7129725.24
2023-10-10,7141277.29
2023-10-13,7155222.57
2023-10-14,7158450.62
2023-10-16,7166644.33
2023-10-17,7200538.19
2023-10-19,7215277.23
2023-10-25,7238391.99
2023-10-26,7251789.17
2023-10-31,7268757.57
2023-11-02,7280520.72
2023-11-05,7289583.01
2023-11-12,7299706.12
2023-11-24,7318099.96
2023-11-25,7330386.32
2023-11-28,7334310.19
2023-11-29,7339459.79
2023-11-30,7363625.44
2023-12-01,7369394.79
2023-12-03,7373291.55
2023-12-04,7391955.91
2023-12-06,7401939.64
2023-12-08,7413586.01
2023-12-10,7422436.95
2023-12-11,7427013.07
2023-12-13,7436749.22
2023-12-18,7454279.67
2023-12-20,7458167.0
2023-12-21,7465205.88
2023-12-22,7503450.42
2023-12-25,7524855.97
2023-12-29,7551750.4
2023-12-30,7565213.27
2024-01-05,7592241.05
2024-01-10,7600322.49
2024-01-12,7613772.1
2024-01-18,7632755.01
2024-01-19,7653563.28
2024-01-20,7670200.95
2024-01-21,7678980.1
2024-01-24,7682956.71
2024-01-27,7690159.2
2024-02-02,7709450.1
2024-02-04,7736910.41
2024-02-05,7745448.67
2024-02-06,7761800.28
2024-02-07,7768582.97
2024-02-08,7791485.86
2024-02-13,7829483.91
2024-02-14,7863818.33
2024-02-15,7870576.93
2024-02-17,7874043.58
2024-02-21,7888438.15
2024-02-22,7923011.13
2024-02-24,7929987.98
2024-02-25,7946864.34
2024-02-28,7997184.02
2024-03-09,7998001.17
2024-03-10,8016248.19
2024-03-11,8033172.11
2024-03-13,8039595.57
2024-03-14,8039869.5
2024-03-16,8053444.62
2024-03-17,8054157.19
2024-03-18,8069087.85
2024-03-22,8103026.53
2024-03-25,8132940.59
2024-03-26,8145871.33
2024-03-27,8155068.37
2024-03-28,8188159.11
2024-03-30,8216202.11
2024-04-05,8221845.45
2024-04-07,8225282.09
2024-04-08,8239255.42
2024-04-09,8249969.4
2024-04-10,8266596.96
2024-04-13,8290084.22
2024-04-14,8305852.59
2024-04-15,8325006.63
2024-04-16,8327089.93
2024-04-17,8330398.34
2024-04-23,8338450.95
2024-04-24,8346532.11
2024-04-25,8355458.74
2024-04-30,8360188.77
2024-05-01,8377289.15
2024-05-03,8384598.93
2024-05-07,8397302.26
2024-05-10,8412758.87
2024-05-17,8425040.18
2024-05-18,8429941.02
2024-05-20,8484588.29
2024-05-24,8503536.55
2024-05-27,8518687.73
2024-05-28,8549225.55
2024-05-31,8561269.71
2024-06-02,8573502.06
2024-06-03,8585798.55
2024-06-04,8607741.55
2024-06-05,8619990.7
2024-06-09,8650368.54
2024-06-12,8650491.25
2024-06-13,8660894.31
2024-06-18,8674591.23
2024-06-20,8697180.13
2024-06-22,8708396.1
2024-06-23,8725704.34
2024-06-27,8730268.9
2024-07-02,8756903.99
2024-07-04,8770156.14
2024-07-05,8773074.23
2024-07-10,8795235.43
2024-07-14,8808873.78
2024-07-29,8818237.16
2024-07-30,8836059.65
2024-07-31,8849108.79
2024-08-01,8852484.65
2024-08-02,8853193.91
2024-08-13,8868717.18
2024-08-19,8892947.45
2024-08-23,8914781.28
2024-08-24,8927787.66
2024-08-26,8931855.63
2024-08-30,8939492.42
2024-08-31,8941060.13
2024-09-03,8948551.68
2024-09-05,8956349.76
2024-09-07,8976582.53
2024-09-08,8980059.03
2024-09-10,8991136.94
2024-09-16,9003746.26
2024-09-17,9025903.69
2024-09-18,9045853.32
2024-09-19,9065287.06
2024-09-21,9076297.59
2024-09-23,9091356.31
2024-09-27,9107022.46
2024-09-28,9118023.7
2024-10-01,9119442.17
2024-10-02,9126717.88
2024-10-03,9126994.43
2024-10-05,9154707.6
2024-10-07,9161183.92
2024-10-08,9176587.55
2024-10-12,9180086.24
2024-10-14,9191891.73
2024-10-15,9202635.66
2024-10-16,9212460.39
2024-10-19,9229776.75
2024-10-20,9244140.57
2024-10-21,9254160.85
2024-10-23,9256974.85
2024-10-24,9273491.6
2024-10-26,9287741.5
2024-10-27,9300377.53
2024-10-29,9319471.04
2024-10-30,9328832.58
2024-11-03,9337410.84
2024-11-04,9340197.36
2024-11-12,9371058.03
2024-11-15,9405431.98
2024-11-16,9407463.16
2024-11-21,9420427.93
2024-11-24,9429369.16
2024-11-27,9476994.56
2024-11-28,9490399.56
2024-11-29,9491995.22
2024-12-02,9497153.07
2024-12-06,9510142.82
2024-12-09,9523861.73
2024-12-13,9539746.54
2024-12-14,9546011.58
2024-12-17,9553030.02
2024-12-20,9572059.8
2024-12-21,9583783.01
2024-12-23,9585065.5
2024-12-24,9597052.15
2024-12-26,9600283.04
2024-12-27,9601681.13
2024-12-28,9607386.06
2024-12-31,9612730.65
2025-01-01,9614423.81
2025-01-03,9620505.31
2025-01-07,9620858.96
2025-01-08,9624700.84
2025-01-13,9626515.58
2025-01-15,9630038.89
2025-01-19,9635825.29
2025-01-21,9648869.78
2025-01-24,9657991.84
2025-01-29,9659167.37
2025-01-31,9687480.97
2025-02-01,9702163.7
2025-02-04,9704880.14
2025-02-05,9738922.83
2025-02-06,9764833.15
2025-02-10,9767427.81
2025-02-12,9767817.22
2025-02-14,9784358.96
2025-02-16,9850314.41
2025-02-17,9865056.32
2025-02-19,9879223.96
2025-02-20,9880483.99
2025-02-21,9887606.14
2025-02-24,9897213.1
2025-02-25,9919337.7
2025-02-27,9921846.22
2025-03-01,9938944.9
2025-03-04,9949957.61
2025-03-05,9960090.34
2025-03-06,9969449.57
2025-03-09,9971116.55
2025-03-10,9986949.62
2025-03-14,10042935.58
2025-03-18,10044851.65
2025-03-19,10048405.91
2025-04-01,10079677.91
2025-04-03,10108034.99
2025-04-05,10111901.57
2025-04-07,10127875.35
2025-04-11,10148524.51
2025-04-12,10167466.15
2025-04-15,10177984.64
2025-04-16,10178524.96
2025-04-18,10211730.36
2025-04-19,10268146.76
2025-04-21,10277706.26
2025-04-22,10292496.87
2025-04-29,10302204.16
2025-04-30,10313076.18
2025-05-01,10326049.01
2025-05-03,10341279.16
2025-05-04,10345633.47
2025-05-06,10369883.7
2025-05-11,10370150.6
2025-05-13,10392424.0
2025-05-16,10433558.43
2025-05-17,10452331.5
2025-05-23,10462059.13
2025-05-25,10472044.06
2025-05-26,10480082.52
2025-05-29,10500564.46
2025-06-01,10507529.53
2025-06-02,10532454.74
2025-06-05,10552062.29
2025-06-06,10557765.82
2025-06-12,10574363.42
2025-06-20,10584680.52
2025-06-23,10586408.19
2025-06-24,10600383.64
2025-06-28,10602818.09
2025-07-01,10606201.86
2025-07-02,10625940.47
2025-07-05,10662951.41
2025-07-07,10690911.07
2025-07-12,10692841.1
2025-07-14,10714741.92
2025-07-18,10725675.02
2025-07-21,10753391.94
2025-07-22,10781156.1
2025-07-25,10791589.16
2025-07-26,10797421.85
2025-07-29,10807021.23
2025-07-31,10821023.71
2025-08-02,10826063.09
2025-08-03,10832041.03
2025-08-04,10856767.48
2025-08-08,10875758.0
2025-08-09,10913889.45
2025-08-11,10936068.32
2025-08-14,10962342.54
2025-08-15,10966778.16
2025-08-16,10970465.96
2025-08-18,10971045.23
2025-08-19,10980098.7
2025-08-20,10980625.7
2025-08-21,10994845.44
2025-08-23,11015163.54
2025-08-25,11029012.28
2025-08-26,11029556.85
2025-08-27,11034302.93
2025-08-28,11058106.25
2025-08-31,11095807.14
2025-09-01,11104620.19
2025-09-04,11118285.48
2025-09-05,11122798.79
2025-09-08,11134518.08
2025-09-12,11159595.38
2025-09-13,11183012.14
2025-09-20,11185155.58
2025-09-23,11186866.01
2025-09-25,11202667.25
2025-09-27,11210634.39
2025-09-30,11218096.06
2025-10-06,11225791.84
2025-10-09,11235078.42
2025-10-12,11241095.61
2025-10-27,11247102.06
2025-10-29,11254341.46
2025-11-02,11262738.78
2025-11-04,11291434.19
2025-11-05,11303231.06
2025-11-07,11331544.55
2025-11-09,11354082.69
2025-11-10,11377090.1
2025-11-11,11386959.1
2025-11-15,11396330.59
2025-11-16,11423239.5
2025-11-18,11457409.6
2025-11-26,11465232.37
2025-11-28,11505569.54
2025-11-30,11512617.34
2025-12-01,11549107.05
2025-12-02,11550911.24
2025-12-03,11561943.65
2025-12-08,11562346.1
2025-12-09,11582255.99
2025-12-11,11582736.98
2025-12-14,11598701.34
2025-12-16,11618573.95
2025-12-20,11640204.21
2025-12-22,11673372.32
2025-12-25,11675164.41
2025-12-29,11695329.87
2025-12-30,11732284.01
2025-12-31,11753147.74
2026-01-01,11761191.69
2026-01-02,11763817.27
2026-01-07,11772513.23
2026-01-10,11778538.09
2026-01-12,11784993.55
2026-01-14,11803123.5
2026-01-15,11808112.1
2026-01-16,11812275.22
2026-01-20,11828459.8
2026-01-21,11848242.65
2026-01-28,11864046.63
2026-01-30,11866338.27
2026-02-02,11877768.61
2026-02-04,11893226.74
2026-02-06,11902114.47
2026-02-10,11905154.17
2026-02-11,11915096.71
2026-02-13,11915470.53
2026-02-14,11916939.74
2026-02-15,11918904.46
2026-02-20,11921000.37
2026-02-21,11935577.45
2026-02-23,11943790.47
2026-02-24,11972195.31
2026-02-26,11980621.68
2026-03-01,11984645.31
2026-03-07,12018034.09
2026-03-12,12037087.03
2026-03-14,12046898.16
2026-03-15,12057595.27
2026-03-19,12057887.91
2026-03-21,12076599.16
2026-03-22,12080201.85
2026-03-23,12080950.32
2026-03-25,12101562.13
2026-03-26,12104061.83
2026-03-28,12118620.71
2026-03-29,12132086.47
2026-03-30,12137028.53
2026-04-01,12142529.31
2026-04-02,12163988.48
2026-04-04,12177955.52
2026-04-06,12187032.0
2026-04-13,12194786.4
2026-04-17,12205385.16
2026-04-23,12221620.98
2026-04-24,12240388.4
2026-04-26,12246671.02
2026-04-28,12303845.72
2026-05-04,12319020.74
2026-05-10,12334120.45
2026-05-11,12338065.41
2026-05-12,12357907.35
2026-05-14,12380542.6
2026-05-16,12394349.0
2026-05-26,12413887.98
2026-05-28,12416789.35
2026-06-02,12428748.32
2026-06-05,12436156.73
2026-06-07,12444971.0
2026-06-09,12445324.11
2026-06-10,12487368.29
2026-06-11,12487761.46
2026-06-12,12506634.46
2026-06-15,12510928.73
2026-06-16,12544350.43
2026-06-18,12553950.86
2026-06-20,12580088.27
2026-06-24,12592406.61
2026-06-25,12597404.38
2026-06-26,12601618.53
2026-07-03,12610154.68
2026-07-08,12618623.08
2026-07-15,12632050.02
2026-07-17,12655185.09
2026-07-24,12655484.32
2026-07-25,12661526.6
2026-07-26,12693522.31
2026-07-28,12703900.28
2026-08-02,12716545.29
2026-08-03,12719876.53
2026-08-06,12735888.85
2026-08-10,14165463.11
