sales_date,daily_revenue,running_revenue
2020-10-11,9060.49,1420070.95
2020-10-13,41281.2,1461352.15
2020-10-16,1708.76,1463060.91
2020-10-21,2798.0,1465858.91
2020-10-26,6481.71,1472340.61
2020-11-02,99.93,1472440.55
2020-11-06,751.38,1473191.93
2020-11-07,14870.31,1488062.24
2020-11-09,1625.49,1489687.72
2020-11-13,45285.94,1534973.67
2020-11-17,7034.39,1542008.06
2020-11-19,12427.76,1554435.82
2020-11-23,6178.83,1560614.65
2020-11-24,14596.45,1575211.1
2020-11-27,1925.78,1577136.88
2020-11-29,905.84,1578042.72
2020-11-30,23055.3,1601098.02
2020-12-01,470.02,1601568.05
2020-12-02,9073.7,1610641.75
2020-12-05,10926.74,1621568.49
2020-12-08,6464.23,1628032.72
2020-12-12,3543.33,1631576.05
2020-12-16,13366.91,1644942.96
2020-12-21,32041.7,1676984.66
2020-12-23,3128.61,1680113.27
2020-12-25,30636.79,1710750.06
2020-12-26,1439.36,1712189.42
2020-12-30,33595.85,1745785.26
2021-01-02,8313.06,1754098.32
2021-01-03,16356.86,1770455.18
2021-01-06,5090.47,1775545.66
2021-01-07,3335.9,1778881.56
2021-01-09,5174.08,1784055.64
2021-01-10,10786.05,1794841.69
2021-01-13,12579.26,1807420.95
2021-01-16,36813.28,1844234.23
2021-01-22,6119.78,1850354.01
2021-01-28,22861.53,1873215.54
2021-01-30,2649.57,1875865.11
2021-01-31,3484.78,1879349.88
2021-02-01,20618.78,1899968.67
2021-02-02,551.89,1900520.55
2021-02-03,3165.19,1903685.74
2021-02-06,2090.64,1905776.38
2021-02-10,12146.06,1917922.44
2021-02-11,7470.73,1925393.16
2021-02-12,6888.14,1932281.31
2021-02-17,20271.76,1952553.07
2021-02-19,15864.59,1968417.66
2021-02-21,39391.47,2007809.13
2021-02-24,6929.46,2014738.59
2021-02-25,3492.7,2018231.28
2021-02-26,19254.35,2037485.63
2021-03-03,17264.11,2054749.74
2021-03-05,13794.28,2068544.02
2021-03-06,21604.38,2090148.4
2021-03-09,43575.47,2133723.88
2021-03-10,2460.03,2136183.9
2021-03-16,9599.33,2145783.24
2021-03-19,31267.6,2177050.84
2021-03-20,7169.9,2184220.74
2021-03-21,15593.71,2199814.45
2021-03-25,27393.99,2227208.44
2021-03-28,34762.24,2261970.68
2021-03-31,12657.02,2274627.7
2021-04-02,15758.36,2290386.06
2021-04-08,22337.54,2312723.6
2021-04-13,6198.63,2318922.23
2021-04-14,17646.72,2336568.95
2021-04-17,12344.46,2348913.41
2021-04-21,2455.33,2351368.74
2021-04-22,6664.28,2358033.03
2021-04-29,4109.75,2362142.78
2021-04-30,461.1,2362603.88
2021-05-01,18902.09,2381505.97
2021-05-02,3910.62,2385416.59
2021-05-03,18836.38,2404252.97
2021-05-06,19569.72,2423822.7
2021-05-08,23605.18,2447427.88
2021-05-15,16058.44,2463486.32
2021-05-19,6469.57,2469955.89
2021-05-20,14925.74,2484881.63
2021-05-22,23732.94,2508614.57
2021-05-26,10533.33,2519147.9
2021-05-29,15243.53,2534391.43
2021-06-02,5599.16,2539990.59
2021-06-04,5782.15,2545772.73
2021-06-05,4850.51,2550623.24
2021-06-06,11758.76,2562382.0
2021-06-08,11959.55,2574341.55
2021-06-09,2070.17,2576411.72
2021-06-12,17120.89,2593532.6
2021-06-17,7196.27,2600728.87
2021-06-18,19279.66,2620008.53
2021-06-21,18108.99,2638117.51
2021-06-23,28278.03,2666395.54
2021-06-24,13148.67,2679544.21
2021-06-25,17049.83,2696594.04
2021-06-27,5674.4,2702268.43
2021-06-29,12903.79,2715172.22
2021-07-07,933.67,2716105.89
2021-07-08,14207.61,2730313.5
2021-07-12,10303.8,2740617.31
2021-07-13,2406.02,2743023.33
2021-07-14,6780.14,2749803.47
2021-07-15,10948.6,2760752.07
2021-07-17,9235.51,2769987.58
2021-07-18,6692.55,2776680.13
2021-07-21,8195.27,2784875.4
2021-07-22,10406.25,2795281.65
2021-07-23,24740.4,2820022.05
2021-07-24,21375.37,2841397.42
2021-07-29,12283.97,2853681.39
2021-07-30,11236.29,2864917.68
2021-08-03,5802.02,2870719.69
2021-08-04,2307.94,2873027.63
2021-08-05,2827.62,2875855.25
2021-08-07,20876.73,2896731.98
2021-08-08,11874.5,2908606.48
2021-08-09,16694.46,2925300.94
2021-08-12,20373.07,2945674.01
2021-08-13,2887.27,2948561.28
2021-08-17,933.2,2949494.49
2021-08-18,8119.7,2957614.19
2021-08-19,8921.04,2966535.23
2021-08-24,61872.91,3028408.15
2021-08-25,8461.63,3036869.78
2021-08-26,16616.17,3053485.95
2021-08-30,11714.62,3065200.56
2021-09-02,13331.44,3078532.0
2021-09-06,3683.3,3082215.31
2021-09-08,6512.28,3088727.58
2021-09-09,13048.4,3101775.98
2021-09-11,1915.18,3103691.15
2021-09-12,1088.09,3104779.24
2021-09-13,25865.8,3130645.04
2021-09-14,40487.82,3171132.86
2021-09-15,3324.81,3174457.68
2021-09-16,49065.31,3223522.99
2021-09-19,13340.15,3236863.14
2021-09-21,7757.27,3244620.4
2021-09-23,3946.76,3248567.17
2021-09-24,25843.39,3274410.56
2021-09-25,10032.2,3284442.76
2021-09-27,5407.48,3289850.24
2021-09-30,3870.12,3293720.37
2021-10-03,3898.17,3297618.54
2021-10-07,20512.27,3318130.8
2021-10-12,1934.84,3320065.64
2021-10-13,2530.05,3322595.69
2021-10-14,10149.82,3332745.51
2021-10-16,6760.0,3339505.51
2021-10-17,4962.99,3344468.49
2021-10-18,11185.15,3355653.64
2021-10-19,7343.6,3362997.25
2021-10-21,7801.37,3370798.62
2021-10-22,24007.53,3394806.15
2021-10-28,5751.99,3400558.14
2021-10-29,6319.27,3406877.42
2021-10-30,9414.61,3416292.03
2021-11-01,12770.91,3429062.93
2021-11-06,4022.08,3433085.02
2021-11-09,7125.72,3440210.74
2021-11-14,9985.6,3450196.34
2021-11-17,1662.94,3451859.27
2021-11-18,26690.39,3478549.66
2021-11-21,2644.73,3481194.39
2021-11-22,4554.9,3485749.3
2021-11-25,8318.0,3494067.29
2021-12-03,547.64,3494614.94
2021-12-10,5680.43,3500295.36
2021-12-11,8438.13,3508733.49
2021-12-12,10674.13,3519407.62
2021-12-13,31960.17,3551367.79
2021-12-14,11423.79,3562791.58
2021-12-15,22422.18,3585213.76
2021-12-18,10608.87,3595822.63
2021-12-21,4180.29,3600002.92
2021-12-23,14902.01,3614904.93
2021-12-24,17698.94,3632603.87
2021-12-25,46971.62,3679575.49
2021-12-30,18576.7,3698152.19
2022-01-05,2415.99,3700568.18
2022-01-06,4653.12,3705221.29
2022-01-09,5337.64,3710558.93
2022-01-12,28934.71,3739493.65
2022-01-13,2148.13,3741641.78
2022-01-19,6514.18,3748155.95
2022-01-23,2493.81,3750649.76
2022-01-24,13985.8,3764635.56
2022-01-25,9118.67,3773754.23
2022-02-02,28669.72,3802423.95
2022-02-05,7361.7,3809785.65
2022-02-06,11970.62,3821756.27
2022-02-22,32622.87,3854379.14
2022-03-01,5096.66,3859475.8
2022-03-03,15035.64,3874511.44
2022-03-04,5879.51,3880390.95
2022-03-10,7779.43,3888170.38
2022-03-11,39087.17,3927257.55
2022-03-13,1293.87,3928551.42
2022-03-19,23533.72,3952085.15
2022-03-22,13628.45,3965713.6
2022-03-29,11667.64,3977381.24
2022-03-31,13830.66,3991211.9
2022-04-01,23104.07,4014315.97
2022-04-06,1807.57,4016123.53
2022-04-09,11720.11,4027843.65
2022-04-11,3346.15,4031189.8
2022-04-12,16027.97,4047217.76
2022-04-23,33838.89,4081056.65
2022-04-25,6115.8,4087172.45
2022-04-26,2021.7,4089194.15
2022-04-27,15687.4,4104881.56
2022-05-06,12163.21,4117044.77
2022-05-08,6388.34,4123433.11
2022-05-09,3808.78,4127241.89
2022-05-11,40474.59,4167716.47
2022-05-12,26979.05,4194695.53
2022-05-16,31908.83,4226604.35
2022-05-19,14004.62,4240608.97
2022-05-20,9975.11,4250584.08
2022-05-21,23228.72,4273812.8
2022-05-22,11489.52,4285302.32
2022-05-23,15322.74,4300625.06
2022-05-25,8469.33,4309094.39
2022-05-29,9037.17,4318131.56
2022-06-02,13852.2,4331983.76
2022-06-03,1550.29,4333534.05
2022-06-06,4403.51,4337937.56
2022-06-10,24958.75,4362896.31
2022-06-15,24497.17,4387393.48
2022-06-21,12358.46,4399751.95
2022-06-22,12192.49,4411944.43
2022-06-23,5584.79,4417529.22
2022-06-24,5544.59,4423073.8
2022-06-26,15971.03,4439044.83
2022-06-30,475.81,4439520.65
2022-07-04,4282.11,4443802.75
2022-07-05,53677.72,4497480.47
2022-07-10,16723.63,4514204.1
2022-07-12,18148.82,4532352.93
2022-07-18,16076.1,4548429.02
2022-07-19,8535.44,4556964.46
2022-07-24,17682.88,4574647.34
2022-07-25,5865.42,4580512.77
2022-07-27,9981.62,4590494.39
2022-07-28,4724.34,4595218.72
2022-07-29,10609.43,4605828.16
2022-07-30,16265.18,4622093.33
2022-08-01,3284.63,4625377.96
2022-08-04,3295.66,4628673.63
2022-08-07,9745.5,4638419.12
2022-08-13,11502.84,4649921.97
2022-08-14,2011.55,4651933.52
2022-08-19,9356.44,4661289.96
2022-08-20,8065.57,4669355.53
2022-08-22,5434.5,4674790.03
2022-08-24,8760.54,4683550.57
2022-08-28,17710.35,4701260.92
2022-08-30,4583.44,4705844.36
2022-08-31,8220.16,4714064.52
2022-09-04,7131.57,4721196.09
2022-09-08,43315.42,4764511.51
2022-09-14,7032.04,4771543.54
2022-09-16,60653.47,4832197.01
2022-09-18,28777.59,4860974.6
2022-09-29,315.17,4861289.77
2022-09-30,14707.87,4875997.64
2022-10-06,15141.66,4891139.31
2022-10-07,869.84,4892009.14
2022-10-10,3017.05,4895026.19
2022-10-12,21751.26,4916777.45
2022-10-14,3902.18,4920679.62
2022-10-15,8485.42,4929165.04
2022-10-17,36475.41,4965640.44
2022-10-21,7364.51,4973004.96
2022-10-22,9861.0,4982865.95
2022-10-25,8089.27,4990955.23
2022-11-06,17304.48,5008259.71
2022-11-07,21939.51,5030199.22
2022-11-08,5188.07,5035387.29
2022-11-13,8362.52,5043749.81
2022-11-14,8951.25,5052701.06
2022-11-17,40766.12,5093467.18
2022-11-18,6587.15,5100054.33
2022-11-21,7883.04,5107937.37
2022-11-27,11090.08,5119027.45
2022-12-02,12999.38,5132026.83
2022-12-05,10761.64,5142788.47
2022-12-08,17248.84,5160037.31
2022-12-09,20097.78,5180135.09
2022-12-10,23775.65,5203910.74
2022-12-14,51628.88,5255539.62
2022-12-15,23320.56,5278860.18
2022-12-16,7479.93,5286340.1
2022-12-18,29918.45,5316258.55
2022-12-19,25181.8,5341440.36
2022-12-24,25801.86,5367242.22
2023-01-03,11594.85,5378837.07
2023-01-06,47365.98,5426203.04
2023-01-09,15641.87,5441844.92
2023-01-13,49225.53,5491070.45
2023-01-14,10154.54,5501224.99
2023-01-16,7277.28,5508502.28
2023-01-17,3563.46,5512065.74
2023-01-21,13885.42,5525951.16
2023-01-24,13814.72,5539765.88
2023-01-28,12361.3,5552127.18
2023-01-30,647.41,5552774.59
2023-02-02,3925.55,5556700.14
2023-02-04,237.48,5556937.62
2023-02-06,6399.01,5563336.63
2023-02-07,703.18,5564039.81
2023-02-08,7247.83,5571287.64
2023-02-12,18500.65,5589788.29
2023-02-14,4830.62,5594618.91
2023-02-16,27581.59,5622200.5
2023-02-17,10738.27,5632938.77
2023-02-19,8597.17,5641535.94
2023-02-20,6983.6,5648519.54
2023-02-22,19056.11,5667575.64
2023-02-23,31079.9,5698655.54
2023-02-24,12802.27,5711457.81
2023-03-01,35082.88,5746540.69
2023-03-03,20818.11,5767358.8
2023-03-08,13885.75,5781244.55
2023-03-09,2655.44,5783899.99
2023-03-11,25610.9,5809510.89
2023-03-12,8455.54,5817966.43
2023-03-15,13787.29,5831753.72
2023-03-19,25896.49,5857650.21
2023-03-20,17004.45,5874654.66
2023-03-21,14156.27,5888810.93
2023-03-22,1449.82,5890260.75
2023-03-24,6990.86,5897251.61
2023-03-25,3344.09,5900595.71
2023-03-27,4122.45,5904718.16
2023-03-29,246.83,5904964.98
2023-03-30,33956.69,5938921.67
2023-04-02,64584.2,6003505.87
2023-04-04,24379.47,6027885.34
2023-04-05,16310.31,6044195.65
2023-04-06,28274.16,6072469.81
2023-04-07,9688.95,6082158.76
2023-04-14,14836.03,6096994.79
2023-04-18,24119.81,6121114.6
2023-04-19,14572.43,6135687.02
2023-04-27,10823.28,6146510.31
2023-04-28,12561.47,6159071.77
2023-04-29,18240.08,6177311.86
2023-04-30,14769.03,6192080.89
2023-05-01,1287.65,6193368.54
2023-05-10,37741.68,6231110.22
2023-05-12,35031.73,6266141.95
2023-05-13,7696.16,6273838.11
2023-05-17,5956.92,6279795.03
2023-05-18,3405.2,6283200.23
2023-05-22,2917.15,6286117.37
2023-06-02,11226.06,6297343.44
2023-06-03,12877.68,6310221.12
2023-06-06,11601.82,6321822.93
2023-06-08,32003.08,6353826.02
2023-06-09,22032.88,6375858.9
2023-06-12,85.83,6375944.73
2023-06-13,3097.54,6379042.27
2023-06-16,7017.01,6386059.28
2023-06-17,11219.5,6397278.78
2023-06-18,12800.0,6410078.79
2023-06-19,10047.28,6420126.07
2023-06-25,14833.32,6434959.39
2023-07-03,11292.55,6446251.94
2023-07-04,21863.7,6468115.64
2023-07-05,42393.82,6510509.46
2023-07-09,23169.36,6533678.82
2023-07-14,12322.09,6546000.91
2023-07-16,1322.56,6547323.47
2023-07-17,34616.59,6581940.06
2023-07-18,46006.94,6627947.0
2023-07-19,14002.32,6641949.31
2023-07-23,3202.52,6645151.83
2023-07-24,16908.21,6662060.04
2023-07-28,59510.59,6721570.63
2023-08-01,29747.79,6751318.42
2023-08-02,8494.22,6759812.64
2023-08-05,9387.43,6769200.07
2023-08-06,9531.15,6778731.21
2023-08-07,9509.24,6788240.46
2023-08-11,25446.37,6813686.82
2023-08-14,9595.0,6823281.83
2023-08-16,10929.75,6834211.58
2023-08-18,26706.21,6860917.79
2023-08-23,7307.28,6868225.07
2023-08-24,13030.6,6881255.67
2023-08-30,12884.84,6894140.51
2023-09-06,160.21,6894300.72
2023-09-07,20571.77,6914872.48
2023-09-08,21127.96,6936000.44
2023-09-11,800.12,6936800.56
2023-09-15,22524.4,6959324.96
2023-09-22,7235.6,6966560.56
2023-09-24,216.96,6966777.51
2023-09-26,8316.87,6975094.38
2023-09-27,13893.33,6988987.71
2023-09-28,11780.72,7000768.43
2023-10-02,15244.77,7016013.2
2023-10-04,31636.18,7047649.38
2023-10-05,47345.83,7094995.21
2023-10-06,5487.38,7100482.59
2023-10-07,25174.88,7125657.47
2023-10-08,4067.77,7129725.24
2023-10-10,11552.05,7141277.29
2023-10-13,13945.27,7155222.57
2023-10-14,3228.05,7158450.62
2023-10-16,8193.71,7166644.33
2023-10-17,33893.86,7200538.19
2023-10-19,14739.04,7215277.23
2023-10-25,23114.75,7238391.99
2023-10-26,13397.19,7251789.17
2023-10-31,16968.4,7268757.57
2023-11-02,11763.16,7280520.72
2023-11-05,9062.29,7289583.01
2023-11-12,10123.11,7299706.12
2023-11-24,18393.84,7318099.96
2023-11-25,12286.36,7330386.32
2023-11-28,3923.87,7334310.19
2023-11-29,5149.59,7339459.79
2023-11-30,24165.65,7363625.44
2023-12-01,5769.35,7369394.79
2023-12-03,3896.76,7373291.55
2023-12-04,18664.36,7391955.91
2023-12-06,9983.73,7401939.64
2023-12-08,11646.37,7413586.01
2023-12-10,8850.94,7422436.95
2023-12-11,4576.12,7427013.07
2023-12-13,9736.15,7436749.22
2023-12-18,17530.45,7454279.67
2023-12-20,3887.33,7458167.0
2023-12-21,7038.88,7465205.88
2023-12-22,38244.54,7503450.42
2023-12-25,21405.55,7524855.97
2023-12-29,26894.43,7551750.4
2023-12-30,13462.87,7565213.27
2024-01-05,27027.78,7592241.05
2024-01-10,8081.44,7600322.49
2024-01-12,13449.62,7613772.1
2024-01-18,18982.91,7632755.01
2024-01-19,20808.27,7653563.28
2024-01-20,16637.67,7670200.95
2024-01-21,8779.14,7678980.1
2024-01-24,3976.61,7682956.71
2024-01-27,7202.49,7690159.2
2024-02-02,19290.91,7709450.1
2024-02-04,27460.3,7736910.41
2024-02-05,8538.27,7745448.67
2024-02-06,16351.61,7761800.28
2024-02-07,6782.68,7768582.97
2024-02-08,22902.89,7791485.86
2024-02-13,37998.06,7829483.91
2024-02-14,34334.41,7863818.33
2024-02-15,6758.6,7870576.93
2024-02-17,3466.65,7874043.58
2024-02-21,14394.56,7888438.15
2024-02-22,34572.98,7923011.13
2024-02-24,6976.85,7929987.98
2024-02-25,16876.36,7946864.34
2024-02-28,50319.68,7997184.02
2024-03-09,817.15,7998001.17
2024-03-10,18247.03,8016248.19
2024-03-11,16923.92,8033172.11
2024-03-13,6423.46,8039595.57
2024-03-14,273.93,8039869.5
2024-03-16,13575.13,8053444.62
2024-03-17,712.57,8054157.19
2024-03-18,14930.65,8069087.85
2024-03-22,33938.69,8103026.53
2024-03-25,29914.06,8132940.59
2024-03-26,12930.73,8145871.33
2024-03-27,9197.04,8155068.37
2024-03-28,33090.75,8188159.11
2024-03-30,28043.0,8216202.11
2024-04-05,5643.34,8221845.45
2024-04-07,3436.63,8225282.09
2024-04-08,13973.33,8239255.42
2024-04-09,10713.98,8249969.4
2024-04-10,16627.56,8266596.96
2024-04-13,23487.26,8290084.22
2024-04-14,15768.38,8305852.59
2024-04-15,19154.04,8325006.63
2024-04-16,2083.3,8327089.93
2024-04-17,3308.4,8330398.34
2024-04-23,8052.61,8338450.95
2024-04-24,8081.16,8346532.11
2024-04-25,8926.63,8355458.74
2024-04-30,4730.03,8360188.77
2024-05-01,17100.39,8377289.15
2024-05-03,7309.78,8384598.93
2024-05-07,12703.32,8397302.26
2024-05-10,15456.61,8412758.87
2024-05-17,12281.31,8425040.18
2024-05-18,4900.84,8429941.02
2024-05-20,54647.28,8484588.29
2024-05-24,18948.26,8503536.55
2024-05-27,15151.18,8518687.73
2024-05-28,30537.81,8549225.55
2024-05-31,12044.17,8561269.71
2024-06-02,12232.35,8573502.06
2024-06-03,12296.49,8585798.55
2024-06-04,21943.0,8607741.55
2024-06-05,12249.15,8619990.7
2024-06-09,30377.83,8650368.54
2024-06-12,122.72,8650491.25
2024-06-13,10403.06,8660894.31
2024-06-18,13696.92,8674591.23
2024-06-20,22588.9,8697180.13
2024-06-22,11215.97,8708396.1
2024-06-23,17308.24,8725704.34
2024-06-27,4564.56,8730268.9
2024-07-02,26635.09,8756903.99
2024-07-04,13252.14,8770156.14
2024-07-05,2918.1,8773074.23
2024-07-10,22161.2,8795235.43
2024-07-14,13638.35,8808873.78
2024-07-29,9363.38,8818237.16
2024-07-30,17822.48,8836059.65
2024-07-31,13049.14,8849108.79
2024-08-01,3375.86,8852484.65
2024-08-02,709.26,8853193.91
2024-08-13,15523.26,8868717.18
2024-08-19,24230.27,8892947.45
2024-08-23,21833.83,8914781.28
2024-08-24,13006.38,8927787.66
2024-08-26,4067.97,8931855.63
2024-08-30,7636.79,8939492.42
2024-08-31,1567.71,8941060.13
2024-09-03,7491.55,8948551.68
2024-09-05,7798.08,8956349.76
2024-09-07,20232.77,8976582.53
2024-09-08,3476.5,8980059.03
2024-09-10,11077.91,8991136.94
2024-09-16,12609.32,9003746.26
2024-09-17,22157.44,9025903.69
2024-09-18,19949.63,9045853.32
2024-09-19,19433.73,9065287.06
2024-09-21,11010.53,9076297.59
2024-09-23,15058.71,9091356.31
2024-09-27,15666.16,9107022.46
2024-09-28,11001.23,9118023.7
2024-10-01,1418.47,9119442.17
2024-10-02,7275.71,9126717.88
2024-10-03,276.55,9126994.43
2024-10-05,27713.17,9154707.6
2024-10-07,6476.32,9161183.92
2024-10-08,15403.63,9176587.55
2024-10-12,3498.69,9180086.24
2024-10-14,11805.49,9191891.73
2024-10-15,10743.92,9202635.66
2024-10-16,9824.73,9212460.39
2024-10-19,17316.36,9229776.75
2024-10-20,14363.82,9244140.57
2024-10-21,10020.28,9254160.85
2024-10-23,2814.0,9256974.85
2024-10-24,16516.75,9273491.6
2024-10-26,14249.9,9287741.5
2024-10-27,12636.04,9300377.53
2024-10-29,19093.51,9319471.04
2024-10-30,9361.54,9328832.58
2024-11-03,8578.26,9337410.84
2024-11-04,2786.53,9340197.36
2024-11-12,30860.66,9371058.03
2024-11-15,34373.95,9405431.98
2024-11-16,2031.18,9407463.16
2024-11-21,12964.77,9420427.93
2024-11-24,8941.23,9429369.16
2024-11-27,47625.39,9476994.56
2024-11-28,13405.0,9490399.56
2024-11-29,1595.66,9491995.22
2024-12-02,5157.85,9497153.07
2024-12-06,12989.75,9510142.82
2024-12-09,13718.92,9523861.73
2024-12-13,15884.8,9539746.54
2024-12-14,6265.04,9546011.58
2024-12-17,7018.45,9553030.02
2024-12-20,19029.78,9572059.8
2024-12-21,11723.21,9583783.01
2024-12-23,1282.49,9585065.5
2024-12-24,11986.65,9597052.15
2024-12-26,3230.89,9600283.04
2024-12-27,1398.09,9601681.13
2024-12-28,5704.93,9607386.06
2024-12-31,5344.59,9612730.65
2025-01-01,1693.16,9614423.81
2025-01-03,6081.5,9620505.31
2025-01-07,353.65,9620858.96
2025-01-08,3841.88,9624700.84
2025-01-13,1814.73,9626515.58
2025-01-15,3523.32,9630038.89
2025-01-19,5786.39,9635825.29
2025-01-21,13044.49,9648869.78
2025-01-24,9122.06,9657991.84
2025-01-29,1175.54,9659167.37
2025-01-31,28313.6,9687480.97
2025-02-01,14682.73,9702163.7
2025-02-04,2716.44,9704880.14
2025-02-05,34042.7,9738922.83
2025-02-06,25910.32,9764833.15
2025-02-10,2594.65,9767427.81
2025-02-12,389.42,9767817.22
2025-02-14,16541.74,9784358.96
2025-02-16,65955.45,9850314.41
2025-02-17,14741.91,9865056.32
2025-02-19,14167.63,9879223.96
2025-02-20,1260.04,9880483.99
2025-02-21,7122.14,9887606.14
2025-02-24,9606.96,9897213.1
2025-02-25,22124.6,9919337.7
2025-02-27,2508.52,9921846.22
2025-03-01,17098.68,9938944.9
2025-03-04,11012.71,9949957.61
2025-03-05,10132.73,9960090.34
2025-03-06,9359.23,9969449.57
2025-03-09,1666.98,9971116.55
2025-03-10,15833.08,9986949.62
2025-03-14,55985.96,10042935.58
2025-03-18,1916.06,10044851.65
2025-03-19,3554.26,10048405.91
2025-04-01,31272.0,10079677.91
2025-04-03,28357.08,10108034.99
2025-04-05,3866.58,10111901.57
2025-04-07,15973.78,10127875.35
2025-04-11,20649.15,10148524.51
2025-04-12,18941.64,10167466.15
2025-04-15,10518.5,10177984.64
2025-04-16,540.32,10178524.96
2025-04-18,33205.4,10211730.36
2025-04-19,56416.41,10268146.76
2025-04-21,9559.49,10277706.26
2025-04-22,14790.61,10292496.87
2025-04-29,9707.3,10302204.16
2025-04-30,10872.02,10313076.18
2025-05-01,12972.83,10326049.01
2025-05-03,15230.15,10341279.16
2025-05-04,4354.31,10345633.47
2025-05-06,24250.22,10369883.7
2025-05-11,266.9,10370150.6
2025-05-13,22273.4,10392424.0
2025-05-16,41134.43,10433558.43
2025-05-17,18773.06,10452331.5
2025-05-23,9727.64,10462059.13
2025-05-25,9984.93,10472044.06
2025-05-26,8038.45,10480082.52
2025-05-29,20481.94,10500564.46
2025-06-01,6965.07,10507529.53
2025-06-02,24925.21,10532454.74
2025-06-05,19607.55,10552062.29
2025-06-06,5703.53,10557765.82
2025-06-12,16597.59,10574363.42
2025-06-20,10317.1,10584680.52
2025-06-23,1727.67,10586408.19
2025-06-24,13975.45,10600383.64
2025-06-28,2434.44,10602818.09
2025-07-01,3383.77,10606201.86
2025-07-02,19738.61,10625940.47
2025-07-05,37010.94,10662951.41
2025-07-07,27959.66,10690911.07
2025-07-12,1930.03,10692841.1
2025-07-14,21900.81,10714741.92
2025-07-18,10933.1,10725675.02
2025-07-21,27716.92,10753391.94
2025-07-22,27764.16,10781156.1
2025-07-25,10433.06,10791589.16
2025-07-26,5832.7,10797421.85
2025-07-29,9599.37,10807021.23
2025-07-31,14002.48,10821023.71
2025-08-02,5039.38,10826063.09
2025-08-03,5977.93,10832041.03
2025-08-04,24726.45,10856767.48
2025-08-08,18990.52,10875758.0
2025-08-09,38131.45,10913889.45
2025-08-11,22178.87,10936068.32
2025-08-14,26274.22,10962342.54
2025-08-15,4435.62,10966778.16
2025-08-16,3687.8,10970465.96
2025-08-18,579.27,10971045.23
2025-08-19,9053.47,10980098.7
2025-08-20,527.0,10980625.7
