sales_date,daily_revenue,moving_average_7_day
2020-10-21,2798.0,14913.14
2020-10-26,6481.71,10245.46
2020-11-02,99.93,8962.24
2020-11-06,751.38,8883.07
2020-11-07,14870.31,9713.04
2020-11-09,1625.49,4047.94
2020-11-13,45285.94,10273.25
2020-11-17,7034.39,10878.45
2020-11-19,12427.76,11727.89
2020-11-23,6178.83,12596.3
2020-11-24,14596.45,14574.17
2020-11-27,1925.78,12724.95
2020-11-29,905.84,12622.14
2020-11-30,23055.3,9446.34
2020-12-01,470.02,8508.57
2020-12-02,9073.7,8029.42
2020-12-05,10926.74,8707.69
2020-12-08,6464.23,7545.95
2020-12-12,3543.33,7777.02
2020-12-16,13366.91,9557.18
2020-12-21,32041.7,10840.95
2020-12-23,3128.61,11220.75
2020-12-25,30636.79,14301.19
2020-12-26,1439.36,12945.85
2020-12-30,33595.85,16821.79
2021-01-02,8313.06,17503.18
2021-01-03,16356.86,17930.32
2021-01-06,5090.47,14080.14
2021-01-07,3335.9,14109.75
2021-01-09,5174.08,10472.23
2021-01-10,10786.05,11807.47
2021-01-13,12579.26,8805.1
2021-01-16,36813.28,12876.56
2021-01-22,6119.78,11414.12
2021-01-28,22861.53,13952.84
2021-01-30,2649.57,13854.79
2021-01-31,3484.78,13613.46
2021-02-01,20618.78,15018.14
2021-02-02,551.89,13299.94
2021-02-03,3165.19,8493.07
2021-02-06,2090.64,7917.48
2021-02-10,12146.06,6386.7
2021-02-11,7470.73,7075.44
2021-02-12,6888.14,7561.63
2021-02-17,20271.76,7512.06
2021-02-19,15864.59,9699.59
2021-02-21,39391.47,14874.77
2021-02-24,6929.46,15566.03
2021-02-25,3492.7,14329.84
2021-02-26,19254.35,16013.21
2021-03-03,17264.11,17495.49
2021-03-05,13794.28,16570.14
2021-03-06,21604.38,17390.11
2021-03-09,43575.47,17987.82
2021-03-10,2460.03,17349.33
2021-03-16,9599.33,18221.71
2021-03-19,31267.6,19937.89
2021-03-20,7169.9,18495.86
2021-03-21,15593.71,18752.92
2021-03-25,27393.99,19580.01
2021-03-28,34762.24,18320.97
2021-03-31,12657.02,19777.68
2021-04-02,15758.36,20657.55
2021-04-08,22337.54,19381.82
2021-04-13,6198.63,19243.07
2021-04-14,17646.72,19536.36
2021-04-17,12344.46,17386.42
2021-04-21,2455.33,12771.15
2021-04-22,6664.28,11915.05
2021-04-29,4109.75,10250.96
2021-04-30,461.1,7125.75
2021-05-01,18902.09,8940.54
2021-05-02,3910.62,6978.24
2021-05-03,18836.38,7905.65
2021-05-06,19569.72,10350.56
2021-05-08,23605.18,12770.69
2021-05-15,16058.44,14477.65
2021-05-19,6469.57,15336.0
2021-05-20,14925.74,14767.95
2021-05-22,23732.94,17599.71
2021-05-26,10533.33,16413.56
2021-05-29,15243.53,15795.53
2021-06-02,5599.16,13223.24
2021-06-04,5782.15,11755.2
2021-06-05,4850.51,11523.91
2021-06-06,11758.76,11071.48
2021-06-08,11959.55,9389.57
2021-06-09,2070.17,8180.55
2021-06-12,17120.89,8448.74
2021-06-17,7196.27,8676.9
2021-06-18,19279.66,10605.11
2021-06-21,18108.99,12499.18
2021-06-23,28278.03,14859.08
2021-06-24,13148.67,15028.95
2021-06-25,17049.83,17168.9
2021-06-27,5674.4,15533.69
2021-06-29,12903.79,16349.05
2021-07-07,933.67,13728.2
2021-07-08,14207.61,13170.86
2021-07-12,10303.8,10603.11
2021-07-13,2406.02,9068.45
2021-07-14,6780.14,7601.35
2021-07-15,10948.6,8354.81
2021-07-17,9235.51,7830.77
2021-07-18,6692.55,8653.46
2021-07-21,8195.27,7794.56
2021-07-22,10406.25,7809.19
2021-07-23,24740.4,10999.82
2021-07-24,21375.37,13084.85
2021-07-29,12283.97,13275.62
2021-07-30,11236.29,13561.44
2021-08-03,5802.02,13434.22
2021-08-04,2307.94,12593.18
2021-08-05,2827.62,11510.51
2021-08-07,20876.73,10958.56
2021-08-08,11874.5,9601.3
2021-08-09,16694.46,10231.36
2021-08-12,20373.07,11536.62
2021-08-13,2887.27,11120.23
2021-08-17,933.2,10923.84
2021-08-18,8119.7,11679.85
2021-08-19,8921.04,9971.89
2021-08-24,61872.91,17114.52
2021-08-25,8461.63,15938.4
2021-08-26,16616.17,15401.71
2021-08-30,11714.62,16662.75
2021-09-02,13331.44,18433.93
2021-09-06,3683.3,17800.16
2021-09-08,6512.28,17456.05
2021-09-09,13048.4,10481.12
2021-09-11,1915.18,9545.91
2021-09-12,1088.09,7327.61
2021-09-13,25865.8,9349.21
2021-09-14,40487.82,13228.69
2021-09-15,3324.81,13177.48
2021-09-16,49065.31,19256.49
2021-09-19,13340.15,19298.17
2021-09-21,7757.27,20132.75
2021-09-23,3946.76,20541.13
2021-09-24,25843.39,20537.93
2021-09-25,10032.2,16187.13
2021-09-27,5407.48,16484.65
2021-09-30,3870.12,10028.2
2021-10-03,3898.17,8679.34
2021-10-07,20512.27,10501.49
2021-10-12,1934.84,10214.07
2021-10-13,2530.05,6883.59
2021-10-14,10149.82,6900.39
2021-10-16,6760.0,7093.61
2021-10-17,4962.99,7249.73
2021-10-18,11185.15,8290.73
2021-10-19,7343.6,6409.49
2021-10-21,7801.37,7247.57
2021-10-22,24007.53,10315.78
2021-10-28,5751.99,9687.52
2021-10-29,6319.27,9624.56
2021-10-30,9414.61,10260.5
2021-11-01,12770.91,10487.04
2021-11-06,4022.08,10012.54
2021-11-09,7125.72,9916.02
2021-11-14,9985.6,7912.88
2021-11-17,1662.94,7328.73
2021-11-18,26690.39,10238.89
2021-11-21,2644.73,9271.77
2021-11-22,4554.9,8098.05
2021-11-25,8318.0,8711.75
2021-12-03,547.64,7772.03
2021-12-10,5680.43,7157.0
2021-12-11,8438.13,8124.89
2021-12-12,10674.13,5836.85
2021-12-13,31960.17,10024.77
2021-12-14,11423.79,11006.04
2021-12-15,22422.18,13020.92
2021-12-18,10608.87,14458.24
2021-12-21,4180.29,14243.94
2021-12-23,14902.01,15167.35
2021-12-24,17698.94,16170.89
2021-12-25,46971.62,18315.38
2021-12-30,18576.7,19337.23
2022-01-05,2415.99,16479.2
2022-01-06,4653.12,15628.38
2022-01-09,5337.64,15793.72
2022-01-12,28934.71,17798.39
2022-01-13,2148.13,15576.84
2022-01-19,6514.18,9797.21
2022-01-23,2493.81,7499.65
2022-01-24,13985.8,9152.48
2022-01-25,9118.67,9790.42
2022-02-02,28669.72,13123.57
2022-02-05,7361.7,10041.71
2022-02-06,11970.62,11444.93
2022-02-22,32622.87,15174.74
2022-03-01,5096.66,15546.58
2022-03-03,15035.64,15696.55
2022-03-04,5879.51,15233.82
2022-03-10,7779.43,12249.49
2022-03-11,39087.17,16781.7
2022-03-13,1293.87,15256.45
2022-03-19,23533.72,13958.0
2022-03-22,13628.45,15176.83
2022-03-29,11667.64,14695.69
2022-03-31,13830.66,15831.56
2022-04-01,23104.07,18020.8
2022-04-06,1807.57,12695.14
2022-04-09,11720.11,14184.6
2022-04-11,3346.15,11300.66
2022-04-12,16027.97,11643.45
2022-04-23,33838.89,14810.77
2022-04-25,6115.8,13708.65
2022-04-26,2021.7,10696.88
2022-04-27,15687.4,12679.72
2022-05-06,12163.21,12743.02
2022-05-08,6388.34,13177.62
2022-05-09,3808.78,11432.02
2022-05-11,40474.59,12379.97
2022-05-12,26979.05,15360.44
2022-05-16,31908.83,19630.03
2022-05-19,14004.62,19389.63
2022-05-20,9975.11,19077.04
2022-05-21,23228.72,21482.81
2022-05-22,11489.52,22580.06
2022-05-23,15322.74,18986.94
2022-05-25,8469.33,16342.7
2022-05-29,9037.17,13075.32
2022-06-02,13852.2,13053.54
2022-06-03,1550.29,11850.0
2022-06-06,4403.51,9160.68
2022-06-10,24958.75,11084.86
2022-06-15,24497.17,12395.49
2022-06-21,12358.46,12951.08
2022-06-22,12192.49,13401.84
2022-06-23,5584.79,12220.78
2022-06-24,5544.59,12791.39
2022-06-26,15971.03,14443.9
2022-06-30,475.81,10946.33
2022-07-04,4282.11,8058.47
2022-07-05,53677.72,13961.22
2022-07-10,16723.63,14608.52
2022-07-12,18148.82,16403.39
2022-07-18,16076.1,17907.89
2022-07-19,8535.44,16845.66
2022-07-24,17682.88,19303.81
2022-07-25,5865.42,19530.0
2022-07-27,9981.62,13287.7
2022-07-28,4724.34,11573.52
2022-07-29,10609.43,10496.46
2022-07-30,16265.18,10523.47
2022-08-01,3284.63,9773.36
2022-08-04,3295.66,7718.04
2022-08-07,9745.5,8272.34
2022-08-13,11502.84,8489.65
2022-08-14,2011.55,8102.11
2022-08-19,9356.44,7923.11
2022-08-20,8065.57,6751.74
2022-08-22,5434.5,7058.87
2022-08-24,8760.54,7839.56
2022-08-28,17710.35,8977.4
2022-08-30,4583.44,7988.91
2022-08-31,8220.16,8875.86
2022-09-04,7131.57,8558.02
2022-09-08,43315.42,13593.71
2022-09-14,7032.04,13821.93
2022-09-16,60653.47,21235.21
2022-09-18,28777.59,22816.24
2022-09-29,315.17,22206.49
2022-09-30,14707.87,23133.3
2022-10-06,15141.66,24277.6
2022-10-07,869.84,18213.95
2022-10-10,3017.05,17640.38
2022-10-12,21751.26,12082.92
2022-10-14,3902.18,8529.29
2022-10-15,8485.42,9696.47
2022-10-17,36475.41,12806.11
2022-10-21,7364.51,11695.09
2022-10-22,9861.0,12979.54
2022-10-25,8089.27,13704.15
2022-11-06,17304.48,13068.89
2022-11-07,21939.51,15645.66
2022-11-08,5188.07,15174.61
2022-11-13,8362.52,11158.48
2022-11-14,8951.25,11385.16
2022-11-17,40766.12,15800.17
2022-11-18,6587.15,15585.59
2022-11-21,7883.04,14239.67
2022-11-27,11090.08,12689.75
2022-12-02,12999.38,13805.65
2022-12-05,10761.64,14148.38
2022-12-08,17248.84,15333.75
2022-12-09,20097.78,12381.13
2022-12-10,23775.65,14836.63
2022-12-14,51628.88,21086.04
2022-12-15,23320.56,22833.25
2022-12-16,7479.93,22044.75
2022-12-18,29918.45,24781.44
2022-12-19,25181.8,25914.72
2022-12-24,25801.86,26729.59
2023-01-03,11594.85,24989.48
2023-01-06,47365.98,24380.49
2023-01-09,15641.87,23283.53
2023-01-13,49225.53,29247.19
2023-01-14,10154.54,26423.78
2023-01-16,7277.28,23865.99
2023-01-17,3563.46,20689.07
2023-01-21,13885.42,21016.3
2023-01-24,13814.72,16223.26
2023-01-28,12361.3,15754.61
2023-01-30,647.41,8814.88
2023-02-02,3925.55,7925.02
2023-02-04,237.48,6919.33
2023-02-06,6399.01,7324.41
2023-02-07,703.18,5441.24
2023-02-08,7247.83,4503.11
2023-02-12,18500.65,5380.16
2023-02-14,4830.62,5977.76
2023-02-16,27581.59,9357.19
2023-02-17,10738.27,10857.31
2023-02-19,8597.17,11171.33
2023-02-20,6983.6,12068.53
2023-02-22,19056.11,13755.43
2023-02-23,31079.9,15552.46
2023-02-24,12802.27,16691.27
2023-03-01,35082.88,17762.88
2023-03-03,20818.11,19202.86
2023-03-08,13885.75,19958.37
2023-03-09,2655.44,19340.06
2023-03-11,25610.9,20276.46
2023-03-12,8455.54,17044.41
2023-03-15,13787.29,17185.13
2023-03-19,25896.49,15872.79
2023-03-20,17004.45,15327.98
2023-03-21,14156.27,15366.63
2023-03-22,1449.82,15194.39
2023-03-24,6990.86,12534.39
2023-03-25,3344.09,11804.18
2023-03-27,4122.45,10423.49
2023-03-29,246.83,6759.25
2023-03-30,33956.69,9181.0
2023-04-02,64584.2,16384.99
2023-04-04,24379.47,19660.65
2023-04-05,16310.31,20992.0
2023-04-06,28274.16,24553.44
2023-04-07,9688.95,25348.66
2023-04-14,14836.03,27432.83
2023-04-18,24119.81,26027.56
2023-04-19,14572.43,18883.02
2023-04-27,10823.28,16946.42
2023-04-28,12561.47,16410.88
2023-04-29,18240.08,14977.44
2023-04-30,14769.03,15703.16
2023-05-01,1287.65,13767.68
2023-05-10,37741.68,15713.66
2023-05-12,35031.73,18636.42
2023-05-13,7696.16,18189.69
2023-05-17,5956.92,17246.18
2023-05-18,3405.2,15126.91
2023-05-22,2917.15,13433.78
2023-06-02,11226.06,14853.56
2023-06-03,12877.68,11301.56
2023-06-06,11601.82,7954.43
2023-06-08,32003.08,11426.84
2023-06-09,22032.88,13723.41
2023-06-12,85.83,13249.21
2023-06-13,3097.54,13274.98
2023-06-16,7017.01,12673.69
2023-06-17,11219.5,12436.81
2023-06-18,12800.0,12607.98
2023-06-19,10047.28,9471.44
2023-06-25,14833.32,8442.93
2023-07-03,11292.55,10043.89
2023-07-04,21863.7,12724.77
2023-07-05,42393.82,17778.6
2023-07-09,23169.36,19485.72
2023-07-14,12322.09,19417.45
2023-07-16,1322.56,18171.06
2023-07-17,34616.59,20997.24
2023-07-18,46006.94,25956.44
2023-07-19,14002.32,24833.38
2023-07-23,3202.52,19234.62
2023-07-24,16908.21,18340.17
2023-07-28,59510.59,25081.39
2023-08-01,29747.79,29142.14
2023-08-02,8494.22,25410.37
2023-08-05,9387.43,20179.01
2023-08-06,9531.15,19540.27
2023-08-07,9509.24,20441.23
2023-08-11,25446.37,21660.97
2023-08-14,9595.0,14530.17
2023-08-16,10929.75,11841.88
2023-08-18,26706.21,14443.59
2023-08-23,7307.28,14146.43
2023-08-24,13030.6,14646.35
2023-08-30,12884.84,15128.58
2023-09-06,160.21,11516.27
2023-09-07,20571.77,13084.38
2023-09-08,21127.96,14541.27
2023-09-11,800.12,10840.39
2023-09-15,22524.4,13014.27
2023-09-22,7235.6,12186.41
2023-09-24,216.96,10376.72
2023-09-26,8316.87,11541.95
2023-09-27,13893.33,10587.89
2023-09-28,11780.72,9252.57
2023-10-02,15244.77,11316.09
2023-10-04,31636.18,12617.77
2023-10-05,47345.83,18347.81
2023-10-06,5487.38,19100.72
2023-10-07,25174.88,21509.01
2023-10-08,4067.77,20105.36
2023-10-10,11552.05,20072.69
2023-10-13,13945.27,19887.05
2023-10-14,3228.05,15828.75
2023-10-16,8193.71,10235.59
2023-10-17,33893.86,14293.66
2023-10-19,14739.04,12802.82
2023-10-25,23114.75,15523.82
2023-10-26,13397.19,15787.41
2023-10-31,16968.4,16219.29
2023-11-02,11763.16,17438.59
2023-11-05,9062.29,17562.67
2023-11-12,10123.11,14166.85
2023-11-24,18393.84,14688.96
2023-11-25,12286.36,13142.05
2023-11-28,3923.87,11788.72
2023-11-29,5149.59,10100.32
2023-11-30,24165.65,11872.1
2023-12-01,5769.35,11401.68
2023-12-03,3896.76,10512.2
2023-12-04,18664.36,10550.85
2023-12-06,9983.73,10221.9
2023-12-08,11646.37,11325.12
2023-12-10,8850.94,11853.88
2023-12-11,4576.12,9055.38
2023-12-13,9736.15,9622.06
2023-12-18,17530.45,11569.73
2023-12-20,3887.33,9458.73
2023-12-21,7038.88,9038.03
2023-12-22,38244.54,12837.77
2023-12-25,21405.55,14631.29
2023-12-29,26894.43,17819.62
2023-12-30,13462.87,18352.01
2024-01-05,27027.78,19708.77
2024-01-10,8081.44,20307.93
2024-01-12,13449.62,21223.75
2024-01-18,18982.91,18472.09
2024-01-19,20808.27,18386.76
2024-01-20,16637.67,16921.51
2024-01-21,8779.14,16252.4
2024-01-24,3976.61,12959.38
2024-01-27,7202.49,12833.82
2024-02-02,19290.91,13668.29
2024-02-04,27460.3,14879.34
2024-02-05,8538.27,13126.48
2024-02-06,16351.61,13085.62
2024-02-07,6782.68,12800.41
2024-02-08,22902.89,15504.16
2024-02-13,37998.06,19903.53
2024-02-14,34334.41,22052.6
2024-02-15,6758.6,19095.22
2024-02-17,3466.65,18370.7
2024-02-21,14394.56,18091.12
2024-02-22,34572.98,22061.17
2024-02-24,6976.85,19786.02
2024-02-25,16876.36,16768.63
2024-02-28,50319.68,19052.24
2024-03-09,817.15,18203.46
2024-03-10,18247.03,20314.94
2024-03-11,16923.92,20676.28
2024-03-13,6423.46,16654.92
2024-03-14,273.93,15697.36
2024-03-16,13575.13,15225.76
2024-03-17,712.57,8139.02
2024-03-18,14930.65,10155.24
2024-03-22,33938.69,12396.91
2024-03-25,29914.06,14252.64
2024-03-26,12930.73,15182.25
2024-03-27,9197.04,16456.98
2024-03-28,33090.75,19244.93
2024-03-30,28043.0,23149.27
2024-04-05,5643.34,21822.52
2024-04-07,3436.63,17465.08
2024-04-08,13973.33,15187.83
2024-04-09,10713.98,14871.15
2024-04-10,16627.56,15932.66
2024-04-13,23487.26,14560.73
2024-04-14,15768.38,12807.21
2024-04-15,19154.04,14737.31
2024-04-16,2083.3,14543.98
2024-04-17,3308.4,13020.42
2024-04-23,8052.61,12640.22
2024-04-24,8081.16,11419.31
2024-04-25,8926.63,9339.22
2024-04-30,4730.03,7762.31
2024-05-01,17100.39,7468.93
2024-05-03,7309.78,8215.57
2024-05-07,12703.32,9557.7
2024-05-10,15456.61,10615.42
2024-05-17,12281.31,11215.44
2024-05-18,4900.84,10640.33
2024-05-20,54647.28,17771.36
2024-05-24,18948.26,18035.34
2024-05-27,15151.18,19155.54
2024-05-28,30537.81,21703.33
2024-05-31,12044.17,21215.83
2024-06-02,12232.35,21208.84
2024-06-03,12296.49,22265.36
2024-06-04,21943.0,17593.32
2024-06-05,12249.15,16636.31
2024-06-09,30377.83,18811.54
2024-06-12,122.72,14466.53
2024-06-13,10403.06,14232.09
2024-06-18,13696.92,14441.31
2024-06-20,22588.9,15911.65
2024-06-22,11215.97,14379.22
2024-06-23,17308.24,15101.95
2024-06-27,4564.56,11414.34
2024-07-02,26635.09,15201.82
2024-07-04,13252.14,15608.83
2024-07-05,2918.1,14069.0
2024-07-10,22161.2,14007.9
2024-07-14,13638.35,14353.95
2024-07-29,9363.38,13218.97
2024-07-30,17822.48,15112.96
2024-07-31,13049.14,13172.11
2024-08-01,3375.86,11761.22
2024-08-02,709.26,11445.67
2024-08-13,15523.26,10497.39
2024-08-19,24230.27,12010.52
2024-08-23,21833.83,13792.02
2024-08-24,13006.38,13104.0
2024-08-26,4067.97,11820.98
2024-08-30,7636.79,12429.68
2024-08-31,1567.71,12552.32
2024-09-03,7491.55,11404.93
2024-09-05,7798.08,9057.47
2024-09-07,20232.77,8828.75
2024-09-08,3476.5,7467.34
2024-09-10,11077.91,8468.76
2024-09-16,12609.32,9179.12
2024-09-17,22157.44,12120.51
2024-09-18,19949.63,13900.23
2024-09-19,19433.73,15562.47
2024-09-21,11010.53,14245.01
2024-09-23,15058.71,15899.61
2024-09-27,15666.16,16555.07
2024-09-28,11001.23,16325.35
2024-10-01,1418.47,13362.64
2024-10-02,7275.71,11552.08
2024-10-03,276.55,8815.34
2024-10-05,27713.17,11201.43
2024-10-07,6476.32,9975.37
2024-10-08,15403.63,9937.87
2024-10-12,3498.69,8866.08
2024-10-14,11805.49,10349.94
2024-10-15,10743.92,10845.4
2024-10-16,9824.73,12209.42
2024-10-19,17316.36,10724.16
2024-10-20,14363.82,11850.95
2024-10-21,10020.28,11081.9
2024-10-23,2814.0,10984.09
2024-10-24,16516.75,11657.12
2024-10-26,14249.9,12157.98
2024-10-27,12636.04,12559.59
2024-10-29,19093.51,12813.47
2024-10-30,9361.54,12098.86
2024-11-03,8578.26,11892.86
2024-11-04,2786.53,11888.93
2024-11-12,30860.66,13938.06
2024-11-15,34373.95,16812.93
2024-11-16,2031.18,15297.95
2024-11-21,12964.77,14422.41
2024-11-24,8941.23,14362.37
2024-11-27,47625.39,19940.53
2024-11-28,13405.0,21457.46
2024-11-29,1595.66,17276.74
2024-12-02,5157.85,13103.01
2024-12-06,12989.75,14668.52
2024-12-09,13718.92,14776.26
2024-12-13,15884.8,15768.2
2024-12-14,6265.04,9859.57
2024-12-17,7018.45,8947.21
2024-12-20,19029.78,11437.8
2024-12-21,11723.21,12375.71
2024-12-23,1282.49,10703.24
2024-12-24,11986.65,10455.77
2024-12-26,3230.89,8648.07
2024-12-27,1398.09,7952.79
2024-12-28,5704.93,7765.15
2024-12-31,5344.59,5810.12
2025-01-01,1693.16,4377.26
2025-01-03,6081.5,5062.83
2025-01-07,353.65,3400.97
2025-01-08,3841.88,3488.26
2025-01-13,1814.73,3547.78
2025-01-15,3523.32,3236.12
2025-01-19,5786.39,3299.23
2025-01-21,13044.49,4920.85
2025-01-24,9122.06,5355.22
2025-01-29,1175.54,5472.63
2025-01-31,28313.6,8968.59
2025-02-01,14682.73,10806.87
2025-02-04,2716.44,10691.61
2025-02-05,34042.7,14728.22
2025-02-06,25910.32,16566.2
2025-02-10,2594.65,15633.71
2025-02-12,389.42,15521.41
2025-02-14,16541.74,13839.71
2025-02-16,65955.45,21164.39
2025-02-17,14741.91,22882.31
2025-02-19,14167.63,20043.02
2025-02-20,1260.04,16521.55
2025-02-21,7122.14,17168.33
2025-02-24,9606.96,18485.12
2025-02-25,22124.6,19282.68
2025-02-27,2508.52,10218.83
2025-03-01,17098.68,10555.51
2025-03-04,11012.71,10104.81
2025-03-05,10132.73,11372.33
2025-03-06,9359.23,11691.92
2025-03-09,1666.98,10557.64
2025-03-10,15833.08,9658.85
2025-03-14,55985.96,17298.48
2025-03-18,1916.06,15129.54
2025-03-19,3554.26,14064.04
2025-04-01,31272.0,17083.94
2025-04-03,28357.08,19797.92
2025-04-05,3866.58,20112.15
2025-04-07,15973.78,20132.25
2025-04-11,20649.15,15084.13
2025-04-12,18941.64,17516.36
2025-04-15,10518.5,18511.25
2025-04-16,540.32,14121.01
2025-04-18,33205.4,14813.62
2025-04-19,56416.41,22320.74
2025-04-21,9559.49,21404.41
2025-04-22,14790.61,20567.48
2025-04-29,9707.3,19248.29
2025-04-30,10872.02,19298.79
2025-05-01,12972.83,21074.86
2025-05-03,15230.15,18506.97
2025-05-04,4354.31,11069.53
2025-05-06,24250.22,13168.21
2025-05-11,266.9,11093.39
2025-05-13,22273.4,12888.55
2025-05-16,41134.43,17211.75
2025-05-17,18773.06,18040.35
2025-05-23,9727.64,17254.28
2025-05-25,9984.93,18058.66
2025-05-26,8038.45,15742.69
2025-05-29,20481.94,18630.55
2025-06-01,6965.07,16443.65
2025-06-02,24925.21,14128.04
2025-06-05,19607.55,14247.26
2025-06-06,5703.53,13672.38
2025-06-12,16597.59,14617.05
2025-06-20,10317.1,14942.57
2025-06-23,1727.67,12263.39
2025-06-24,13975.45,13264.87
2025-06-28,2434.44,10051.91
2025-07-01,3383.77,7734.22
2025-07-02,19738.61,9739.24
2025-07-05,37010.94,12655.43
2025-07-07,27959.66,15175.79
2025-07-12,1930.03,15204.7
2025-07-14,21900.81,16336.9
2025-07-18,10933.1,17550.99
2025-07-21,27716.92,21027.15
2025-07-22,27764.16,22173.66
2025-07-25,10433.06,18376.82
2025-07-26,5832.7,15215.83
2025-07-29,9599.37,16311.45
2025-07-31,14002.48,15183.11
2025-08-02,5039.38,14341.15
2025-08-03,5977.93,11235.58
2025-08-04,24726.45,10801.63
2025-08-08,18990.52,12024.12
2025-08-09,38131.45,16638.23
2025-08-11,22178.87,18435.3
2025-08-14,26274.22,20188.4
2025-08-15,4435.62,20102.15
2025-08-16,3687.8,19774.99
2025-08-18,579.27,16325.39
2025-08-19,9053.47,14905.81
2025-08-20,527.0,9533.75
2025-08-21,14219.74,8396.73
2025-08-23,20318.11,7545.86
2025-08-25,13848.74,8890.59
2025-08-26,544.57,8441.56
2025-08-27,4746.08,9036.81
2025-08-28,23803.32,11143.94
2025-08-31,37700.89,16454.49
2025-09-01,8813.05,15682.11
2025-09-04,13665.3,14731.71
2025-09-05,4513.3,13398.07
2025-09-08,11719.29,14994.46
2025-09-12,25077.3,17898.92
2025-09-13,23416.76,17843.7
2025-09-20,2143.44,12764.06
2025-09-23,1710.43,11749.4
2025-09-25,15801.24,12054.54
2025-09-27,7967.14,12547.94
2025-09-30,7461.67,11939.71
2025-10-06,7695.78,9456.64
2025-10-09,9286.58,7438.04
2025-10-12,6017.19,7991.43
2025-10-27,6006.45,8605.15
2025-10-29,7239.4,7382.03
2025-11-02,8397.32,7443.49
2025-11-04,28695.41,10476.88
2025-11-05,11796.87,11062.75
2025-11-07,28313.48,13780.88
2025-11-09,22538.15,16141.01
2025-11-10,23007.41,18569.72
2025-11-11,9869.0,18945.38
2025-11-15,9371.5,19084.54
2025-11-16,26908.91,18829.33
2025-11-18,34170.09,22025.5
2025-11-26,7822.77,19098.26
2025-11-28,40337.17,21640.98
2025-11-30,7047.8,19361.03
2025-12-01,36489.71,23163.99
2025-12-02,1804.19,22082.95
2025-12-03,11032.41,19814.88
2025-12-08,402.45,14990.93
2025-12-09,19909.88,16717.66
2025-12-11,480.99,11023.92
