product_id,product_name,units_sold,lifetime_revenue
PROD-00015,River Fragrance Temporibus,52,50980.12
PROD-00191,Nexa Indoor Officiis,52,50887.75
PROD-00216,River Audio Eligendi,39,50704.0
PROD-00124,Summit  Accessories  Velit,43,50582.56
PROD-00088,Zenith Wellness Voluptatum,60,50545.74
PROD-00297,Nexa Men Sit,63,50239.29
PROD-00040,Urban Fiction Dignissimos,50,50056.08
PROD-00065,Mira Women Aperiam,57,50052.9
PROD-00097,Bright Fiction Necessitatibus,55,49995.25
PROD-00257,Apex Wearables Dolore,54,49981.04
PROD-00021,River Kitchen Architecto,47,49872.89
PROD-00109,Nexa Indoor Accusantium,55,49692.14
PROD-00056,Zenith Technology Nam,48,49634.55
PROD-00271,Orbit Audio In,50,49472.09
PROD-00008,Zenith Wearables Eaque,44,49466.89
PROD-00005,Orbit Wellness Fuga,40,49425.21
PROD-00240,Zenith Wellness Perspiciatis,42,49129.88
PROD-00002,Orbit Office Odio,58,49124.79
PROD-00134,Summit Haircare Ut,57,49053.11
PROD-00123,River Bedding Natus,50,48984.75
PROD-00012,Orbit Lighting Voluptate,41,48760.85
PROD-00192,Urban Living Room Modi,56,48733.27
PROD-00150,Summit Kids Beatae,49,48584.55
PROD-00092,Apex Footwear Doloribus,56,48554.39
PROD-00155,Mira Office Perspiciatis,46,48426.49
PROD-00246,Bright Haircare Consequuntur,63,48273.72
PROD-00063,Summit Men Fugit,40,48268.56
PROD-00096,Nova Office Suscipit,43,48153.24
PROD-00228,Zenith Lighting Corporis,46,48048.68
PROD-00050,Zenith Men Corporis,59,48008.56
PROD-00232,River Outdoor Omnis,47,47883.68
PROD-00084,Zenith Storage Blanditiis,52,47773.84
PROD-00210,Nova Fitness Nostrum,44,47468.93
PROD-00007,Bright Educational Deserunt,55,47231.76
PROD-00187,Nexa Stem Quisquam,43,47216.8
PROD-00143,Mira Stem Totam,52,47102.48
PROD-00267,Apex Storage Esse,53,47075.93
PROD-00093,Zenith Fitness Dignissimos,54,46702.53
PROD-00085,Apex Kitchen Odit,38,46694.94
PROD-00254,Summit Audio Quod,64,46687.94
PROD-00162,Mira Storage Maxime,55,46643.52
PROD-00277,Bright Footwear Sed,43,46566.17
PROD-00152,Bright Storage Sapiente,45,46482.96
PROD-00242,Nova Bedding Iusto,51,46322.83
PROD-00126,Orbit Cycling Doloribus,50,46317.27
PROD-00129,Bright Fragrance Et,53,46310.21
PROD-00107,River Fragrance Quam,56,46254.22
PROD-00275,River Bedding Repellendus,60,46238.03
PROD-00031,Nova Bedding Suscipit,39,46230.63
PROD-00074,Nexa Technology Optio,54,46142.28
PROD-00076,River Makeup Earum,44,46138.43
PROD-00164,River Outdoor Est,45,45947.78
PROD-00042,Apex  Outdoor  Temporibus,53,45895.71
PROD-00006,Nova Mobile Quisquam,47,45788.88
PROD-00069,Summit Fiction Autem,67,45713.52
PROD-00244,Nova Wearables Exercitationem,51,45673.35
PROD-00078,Zenith Lighting Excepturi,47,45372.76
PROD-00279,Nova Makeup Ullam,37,45231.33
PROD-00028,Orbit Technology Repellat,47,44998.65
PROD-00295,Summit Fragrance Quaerat,42,44822.43
PROD-00151,Summit Stem Recusandae,50,44697.57
PROD-00113,Apex Cycling Laboriosam,51,44541.03
PROD-00233,Apex Dining Recusandae,36,43908.12
PROD-00020,Apex Plush Perspiciatis,39,43885.88
PROD-00273,Mira Bedding Laudantium,49,43583.95
PROD-00153,Apex Living Room Dicta,46,43544.35
PROD-00061,Mira Accessories Rem,48,43230.73
PROD-00049,Summit Activity Cupiditate,47,43117.74
PROD-00105,Mira Fiction Facilis,40,42911.62
PROD-00009,River Accessories Velit,37,42903.13
PROD-00217,Zenith Comics Totam,48,42797.6
PROD-00237,Zenith Outdoor Inventore,46,42584.01
PROD-00066,Nova Haircare Blanditiis,52,42531.18
PROD-00294,Summit Technology Beatae,51,42231.34
PROD-00165,Nova  Accessories  Beatae,51,41966.41
PROD-00154,Nexa Fragrance Similique,49,41595.23
PROD-00276,River Bedding Repellendus,62,41470.66
PROD-00047,Mira Wearables Blanditiis,55,41438.34
PROD-00249,River Indoor Dolorum,46,41154.65
PROD-00011,River Women Magni,53,41092.4
PROD-00212,Nova Laptop Accusamus,38,40887.17
PROD-00196,Urban Indoor Ratione,50,40723.29
PROD-00077,Zenith Indoor Delectus,50,40383.74
PROD-00202,Mira Bedroom Porro,61,40177.04
PROD-00036,River Comics Iure,40,40011.0
PROD-00168,Bright Fiction Quis,57,39930.98
PROD-00190,Orbit Laptop Eaque,39,39705.25
PROD-00119,Nexa Makeup Quod,56,39612.06
PROD-00156,Zenith Storage Cum,41,39576.15
PROD-00178,Bright Wearables Quo,30,39554.88
PROD-00025,Nova Technology Iusto,41,39527.39
PROD-00174,Nova Kitchen Sunt,56,39449.87
PROD-00106,River Audio Quia,44,39146.93
PROD-00263,Bright Outdoor Voluptatem,36,38623.81
PROD-00137,Bright Kids Quasi,36,38426.87
PROD-00101,Urban Bedroom Minus,41,38173.87
PROD-00125,Orbit Fragrance Culpa,31,38143.97
PROD-00136,Zenith Wellness Consequuntur,41,38106.84
PROD-00179,Apex Audio Accusantium,53,38098.05
PROD-00080,Apex Wearables Velit,38,37991.53
PROD-00204,Bright Cycling Laudantium,34,37821.57
PROD-00184,Summit Accessories Amet,36,37438.85
PROD-00054,Orbit Outdoor Odit,29,37174.57
PROD-00122,Bright Mobile Labore,45,36437.24
PROD-00218,Summit Fitness Vero,24,36369.88
PROD-00284,Urban Self-Help Temporibus,42,35949.21
PROD-00163,Nova Self-Help Odit,36,35836.01
PROD-00070,Bright Living Room Odit,35,35629.7
PROD-00086,Summit Plush Deleniti,49,35620.84
PROD-00017,Urban Comics Quo,37,35217.12
PROD-00229,Nexa Women Omnis,32,35169.24
PROD-00139,Orbit Living Room Harum,32,35058.51
PROD-00055,Zenith Technology Nam,44,34815.08
PROD-00035,Nexa Fragrance Dolores,43,34460.71
PROD-00243,River Decor Sequi,39,34408.96
PROD-00148,Nova Mobile Rerum,44,34153.56
PROD-00132,Nexa Academic Culpa,29,33840.0
PROD-00039,Apex Living Room A,31,33779.12
PROD-00235,Nova Accessories Atque,34,33717.95
PROD-00268,Summit Fiction Praesentium,43,33661.23
PROD-00209,Mira Fragrance Deleniti,34,33630.81
PROD-00215,Summit Bedroom Quaerat,43,33219.04
PROD-00095,River Men Atque,38,33022.62
PROD-00052,Mira Fragrance Doloribus,33,32754.89
PROD-00108,Urban Skincare Sint,32,32724.35
PROD-00220,River Stem Aliquam,37,32167.06
PROD-00175,Orbit Accessories Necessitatibus,22,31914.74
PROD-00128,Nova Bedding Excepturi,32,31375.66
PROD-00285,Summit Audio Rerum,29,31034.81
PROD-00133,Urban Comics Dolore,38,30983.32
PROD-00140,Urban Laptop Voluptas,40,30827.97
PROD-00186,Orbit Indoor Cum,26,30248.2
PROD-00230,River Kids Eligendi,31,30059.31
PROD-00193,Nova Storage Voluptate,28,29853.98
PROD-00180,Nexa Women Ratione,34,29829.51
PROD-00046,Nexa Audio Officia,31,29467.57
PROD-00266,Nexa Stem Dolores,47,29231.51
PROD-00222,Nexa Bedding Nihil,47,29154.83
PROD-00037,River Storage Iure,31,28275.63
PROD-00253,Apex Skincare Voluptatibus,31,28242.43
PROD-00051,River Skincare Officiis,27,27918.2
PROD-00013,Mira Women Ipsam,23,27652.76
PROD-00205,Nova Fragrance Magnam,24,27648.58
PROD-00183,Urban Kids Architecto,29,27540.02
PROD-00098,Mira Plush Amet,44,27393.19
PROD-00283,Summit Bedding Sapiente,38,27368.14
PROD-00146,River Fiction Repellendus,35,27318.95
PROD-00188,Nova Wellness Nihil,27,27055.52
PROD-00127,Mira Makeup Quis,35,26928.22
PROD-00299,River Accessories Reprehenderit,24,26856.69
PROD-00255,Bright Lighting Earum,33,26374.67
PROD-00181,Bright Academic Quo,37,26270.33
PROD-00111,River Seasonal Officia,37,26184.9
PROD-00057,Mira Women Aut,26,25882.35
PROD-00029,Apex Plush Possimus,33,25777.73
PROD-00115,River Plush Accusamus,35,25201.84
PROD-00173,Zenith Accessories Quidem,41,24896.38
PROD-00102,Orbit Wearables Alias,40,24538.87
PROD-00023,Urban Outdoor Officia,35,24372.39
PROD-00227,Nova Stem Libero,30,24128.46
PROD-00300,River Academic Voluptatum,29,24043.4
PROD-00291,Mira Academic Minima,32,24000.1
PROD-00197,Bright Skincare Adipisci,39,23796.59
PROD-00172,Bright Wearables Neque,38,23063.85
PROD-00278,River Wearables Dolorum,35,22940.17
PROD-00068,Orbit Bedroom Ipsam,21,22869.94
PROD-00251,Urban Decor Vel,21,22855.06
PROD-00262,Orbit Activity Beatae,21,21626.32
PROD-00075,Bright Living Room Sequi,21,21431.76
PROD-00059,Orbit Outdoor Consequuntur,21,21383.07
PROD-00258,Zenith Women Quas,17,21205.54
PROD-00116,Nova Wellness Atque,34,21016.9
PROD-00118,River Skincare Maxime,30,20779.22
PROD-00198,Zenith Kids Unde,32,19965.34
PROD-00214,Nova Dining Velit,20,19906.42
PROD-00219,Zenith Wearables Molestiae,23,19515.98
PROD-00272,Nexa Accessories Quisquam,31,19199.57
PROD-00157,Urban Indoor Qui,31,18768.33
PROD-00064,Apex Men Natus,30,18489.13
PROD-00223,Summit Haircare Occaecati,15,17962.48
PROD-00147,Apex Indoor At,24,17253.68
PROD-00207,Zenith Laptop Minus,23,16550.66
PROD-00018,Zenith Haircare Eius,21,16149.69
PROD-00053,Bright Technology Molestiae,24,15764.21
PROD-00274,River Women Dolorem,26,13744.39
PROD-00239,Zenith Audio Explicabo,22,11202.68
PROD-00224,Nexa Decor Dolor,8,10846.54
PROD-00038,Bright Audio Beatae,12,10084.71
