customer_id,first_purchased_category,latest_purchased_category
CUST-00330,Beauty,Electronics
CUST-00331,Books,Sports
CUST-00332,Electronics,Sports
CUST-00333,Clothing,Electronics
CUST-00334,Clothing,Furniture
CUST-00335,Clothing,Home
CUST-00336,Books,Toys
CUST-00337,Beauty,Sports
CUST-00338,Books,Sports
CUST-00339,Beauty,Clothing
CUST-00340,Beauty,Sports
CUST-00342,Beauty,Furniture
CUST-00343,Toys,Toys
CUST-00344,Home,Sports
CUST-00345,Furniture,Toys
CUST-00347,Beauty,Electronics
CUST-00348,Books,Toys
CUST-00349,Beauty,Sports
CUST-00350,Beauty,Toys
CUST-00352,Electronics,Sports
CUST-00353,Beauty,Sports
CUST-00354,Beauty,Toys
CUST-00355,Clothing,Beauty
CUST-00356,Clothing,Furniture
CUST-00358,Books,Sports
CUST-00359,Beauty,Home
CUST-00360,Books,Sports
CUST-00362,Books,Furniture
CUST-00363,Beauty,Sports
CUST-00364,Books,Home
CUST-00365,Beauty,Sports
CUST-00367,Sports,Electronics
CUST-00368,Home,Toys
CUST-00369,Beauty,Clothing
CUST-00370,Books,Home
CUST-00371,Books,Home
CUST-00372,Books,Sports
CUST-00373,Beauty,Toys
CUST-00374,Beauty,Electronics
CUST-00375,Beauty,Electronics
CUST-00376,Books,Furniture
CUST-00377,Electronics,Toys
CUST-00378,Beauty,Toys
CUST-00379,Clothing,Toys
CUST-00380,Beauty,Sports
CUST-00381,Electronics,Electronics
CUST-00382,Electronics,Beauty
CUST-00383,Clothing,Toys
CUST-00384,Books,Furniture
CUST-00385,Beauty,Home
CUST-00386,Beauty,Electronics
CUST-00387,Beauty,Furniture
CUST-00388,Beauty,Sports
CUST-00389,Furniture,Sports
CUST-00390,Books,Sports
CUST-00391,Electronics,Sports
CUST-00392,Home,Furniture
CUST-00393,Electronics,Books
CUST-00394,Books,Toys
CUST-00395,Beauty,Sports
CUST-00396,Books,Clothing
CUST-00397,Beauty,Toys
CUST-00398,Clothing,Sports
CUST-00399,Toys,Toys
CUST-00400,Toys,Beauty
CUST-00402,Furniture,Toys
CUST-00403,Beauty,Books
CUST-00404,Books,Furniture
CUST-00405,Electronics,Toys
CUST-00406,Clothing,Sports
CUST-00407,Clothing,Sports
CUST-00408,Beauty,Books
CUST-00409,Beauty,Electronics
CUST-00410,Beauty,Beauty
CUST-00411,Beauty,Books
CUST-00412,Clothing,Sports
CUST-00413,Beauty,Toys
CUST-00414,Books,Toys
CUST-00415,Beauty,Home
CUST-00416,Beauty,Toys
CUST-00417,Beauty,Sports
CUST-00419,Furniture,Sports
CUST-00421,Clothing,Toys
CUST-00422,Books,Furniture
CUST-00423,Beauty,Toys
CUST-00424,Clothing,Furniture
CUST-00425,Furniture,Toys
CUST-00426,Electronics,Sports
CUST-00427,Sports,Toys
CUST-00428,Beauty,Furniture
CUST-00429,Beauty,Sports
CUST-00430,Beauty,Toys
CUST-00431,Furniture,Toys
CUST-00432,Beauty,Sports
CUST-00433,Furniture,Clothing
CUST-00434,Beauty,Toys
CUST-00435,Beauty,Sports
CUST-00436,Beauty,Home
CUST-00437,Furniture,Toys
CUST-00439,Beauty,Furniture
CUST-00440,Clothing,Home
CUST-00441,Beauty,Electronics
CUST-00442,Beauty,Books
CUST-00443,Beauty,Toys
CUST-00444,Beauty,Sports
CUST-00445,Sports,Toys
CUST-00446,Clothing,Books
CUST-00447,Books,Sports
CUST-00448,Electronics,Electronics
CUST-00449,Electronics,Clothing
CUST-00450,Beauty,Books
CUST-00452,Beauty,Home
CUST-00453,Beauty,Toys
CUST-00454,Beauty,Beauty
CUST-00455,Sports,Sports
CUST-00456,Beauty,Sports
CUST-00457,Beauty,Sports
CUST-00458,Books,Sports
CUST-00459,Electronics,Sports
CUST-00461,Beauty,Furniture
CUST-00462,Furniture,Toys
CUST-00463,Beauty,Sports
CUST-00464,Clothing,Sports
CUST-00465,Furniture,Furniture
CUST-00466,Beauty,Sports
CUST-00467,Toys,Toys
CUST-00468,Furniture,Furniture
CUST-00469,Books,Sports
CUST-00470,Beauty,Beauty
CUST-00471,Beauty,Toys
CUST-00472,Beauty,Toys
CUST-00473,Books,Toys
CUST-00474,Electronics,Books
CUST-00476,Sports,Sports
CUST-00477,Furniture,Electronics
CUST-00478,Clothing,Sports
CUST-00479,Books,Toys
CUST-00480,Electronics,Clothing
CUST-00482,Books,Toys
CUST-00483,Books,Sports
CUST-00485,Clothing,Home
CUST-00487,Clothing,Home
CUST-00488,Clothing,Furniture
CUST-00489,Clothing,Clothing
CUST-00490,Furniture,Furniture
CUST-00491,Books,Toys
CUST-00492,Sports,Furniture
CUST-00493,Books,Electronics
CUST-00494,Furniture,Home
CUST-00496,Beauty,Toys
CUST-00497,Beauty,Sports
CUST-00498,Clothing,Clothing
CUST-00499,Beauty,Books
CUST-00500,Furniture,Sports
