product_id,product_name,brand,units_sold,revenue
PROD-00092,Apex Footwear Doloribus,Apex,56,48554.39
PROD-00155,Mira Office Perspiciatis,Mira,46,48426.49
PROD-00246,Bright Haircare Consequuntur,Bright,63,48273.72
PROD-00063,Summit Men Fugit,Summit,40,48268.56
PROD-00096,Nova Office Suscipit,Nova,43,48153.24
PROD-00228,Zenith Lighting Corporis,Zenith,46,48048.68
PROD-00050,Zenith Men Corporis,Zenith,59,48008.56
PROD-00232,River Outdoor Omnis,River,47,47883.68
PROD-00084,Zenith Storage Blanditiis,Zenith,52,47773.84
PROD-00210,Nova Fitness Nostrum,Nova,44,47468.93
PROD-00007,Bright Educational Deserunt,Bright,55,47231.76
PROD-00187,Nexa Stem Quisquam,Nexa,43,47216.8
PROD-00143,Mira Stem Totam,Mira,52,47102.48
PROD-00267,Apex Storage Esse,Apex,53,47075.93
PROD-00093,Zenith Fitness Dignissimos,Zenith,54,46702.53
PROD-00085,Apex Kitchen Odit,Apex,38,46694.94
PROD-00254,Summit Audio Quod,Summit,64,46687.94
PROD-00162,Mira Storage Maxime,Mira,55,46643.52
PROD-00277,Bright Footwear Sed,Bright,43,46566.17
PROD-00152,Bright Storage Sapiente,Bright,45,46482.96
PROD-00242,Nova Bedding Iusto,Nova,51,46322.83
PROD-00126,Orbit Cycling Doloribus,Orbit,50,46317.27
PROD-00129,Bright Fragrance Et,Bright,53,46310.21
PROD-00107,River Fragrance Quam,River,56,46254.22
PROD-00275,River Bedding Repellendus,River,60,46238.03
PROD-00031,Nova Bedding Suscipit,Nova,39,46230.63
PROD-00074,Nexa Technology Optio,Nexa,54,46142.28
PROD-00076,River Makeup Earum,River,44,46138.43
PROD-00164,River Outdoor Est,River,45,45947.78
PROD-00042,Apex  Outdoor  Temporibus,Apex,53,45895.71
PROD-00006,Nova Mobile Quisquam,Nova,47,45788.88
PROD-00069,Summit Fiction Autem,Summit,67,45713.52
PROD-00244,Nova Wearables Exercitationem,Nova,51,45673.35
PROD-00078,Zenith Lighting Excepturi,Zenith,47,45372.76
PROD-00279,Nova Makeup Ullam,Nova,37,45231.33
PROD-00028,Orbit Technology Repellat,Orbit,47,44998.65
PROD-00295,Summit Fragrance Quaerat,Summit,42,44822.43
PROD-00151,Summit Stem Recusandae,Summit,50,44697.57
PROD-00113,Apex Cycling Laboriosam,Apex,51,44541.03
PROD-00233,Apex Dining Recusandae,Apex,36,43908.12
PROD-00020,Apex Plush Perspiciatis,Apex,39,43885.88
PROD-00273,Mira Bedding Laudantium,Mira,49,43583.95
PROD-00153,Apex Living Room Dicta,Apex,46,43544.35
PROD-00061,Mira Accessories Rem,Mira,48,43230.73
PROD-00049,Summit Activity Cupiditate,Summit,47,43117.74
PROD-00105,Mira Fiction Facilis,Mira,40,42911.62
PROD-00009,River Accessories Velit,River,37,42903.13
PROD-00217,Zenith Comics Totam,Zenith,48,42797.6
PROD-00237,Zenith Outdoor Inventore,Zenith,46,42584.01
PROD-00066,Nova Haircare Blanditiis,Nova,52,42531.18
PROD-00294,Summit Technology Beatae,Summit,51,42231.34
PROD-00165,Nova  Accessories  Beatae,Nova,51,41966.41
PROD-00154,Nexa Fragrance Similique,Nexa,49,41595.23
PROD-00276,River Bedding Repellendus,River,62,41470.66
PROD-00047,Mira Wearables Blanditiis,Mira,55,41438.34
PROD-00249,River Indoor Dolorum,River,46,41154.65
PROD-00011,River Women Magni,River,53,41092.4
PROD-00212,Nova Laptop Accusamus,Nova,38,40887.17
PROD-00196,Urban Indoor Ratione,Urban,50,40723.29
PROD-00077,Zenith Indoor Delectus,Zenith,50,40383.74
PROD-00202,Mira Bedroom Porro,Mira,61,40177.04
PROD-00036,River Comics Iure,River,40,40011.0
PROD-00168,Bright Fiction Quis,Bright,57,39930.98
PROD-00190,Orbit Laptop Eaque,Orbit,39,39705.25
PROD-00119,Nexa Makeup Quod,Nexa,56,39612.06
PROD-00156,Zenith Storage Cum,Zenith,41,39576.15
PROD-00178,Bright Wearables Quo,Bright,30,39554.88
PROD-00025,Nova Technology Iusto,Nova,41,39527.39
PROD-00174,Nova Kitchen Sunt,Nova,56,39449.87
PROD-00106,River Audio Quia,River,44,39146.93
PROD-00263,Bright Outdoor Voluptatem,Bright,36,38623.81
PROD-00137,Bright Kids Quasi,Bright,36,38426.87
PROD-00101,Urban Bedroom Minus,Urban,41,38173.87
PROD-00125,Orbit Fragrance Culpa,Orbit,31,38143.97
PROD-00136,Zenith Wellness Consequuntur,Zenith,41,38106.84
PROD-00179,Apex Audio Accusantium,Apex,53,38098.05
PROD-00080,Apex Wearables Velit,Apex,38,37991.53
PROD-00204,Bright Cycling Laudantium,Bright,34,37821.57
PROD-00184,Summit Accessories Amet,Summit,36,37438.85
PROD-00054,Orbit Outdoor Odit,Orbit,29,37174.57
PROD-00122,Bright Mobile Labore,Bright,45,36437.24
PROD-00218,Summit Fitness Vero,Summit,24,36369.88
PROD-00284,Urban Self-Help Temporibus,Urban,42,35949.21
PROD-00163,Nova Self-Help Odit,Nova,36,35836.01
PROD-00070,Bright Living Room Odit,Bright,35,35629.7
PROD-00086,Summit Plush Deleniti,Summit,49,35620.84
PROD-00017,Urban Comics Quo,Urban,37,35217.12
PROD-00229,Nexa Women Omnis,Nexa,32,35169.24
PROD-00139,Orbit Living Room Harum,Orbit,32,35058.51
PROD-00055,Zenith Technology Nam,Zenith,44,34815.08
PROD-00035,Nexa Fragrance Dolores,Nexa,43,34460.71
PROD-00243,River Decor Sequi,River,39,34408.96
PROD-00148,Nova Mobile Rerum,Nova,44,34153.56
PROD-00132,Nexa Academic Culpa,Nexa,29,33840.0
PROD-00039,Apex Living Room A,Apex,31,33779.12
PROD-00235,Nova Accessories Atque,Nova,34,33717.95
PROD-00268,Summit Fiction Praesentium,Summit,43,33661.23
PROD-00209,Mira Fragrance Deleniti,Mira,34,33630.81
PROD-00215,Summit Bedroom Quaerat,Summit,43,33219.04
PROD-00095,River Men Atque,River,38,33022.62
PROD-00052,Mira Fragrance Doloribus,Mira,33,32754.89
PROD-00108,Urban Skincare Sint,Urban,32,32724.35
PROD-00220,River Stem Aliquam,River,37,32167.06
PROD-00175,Orbit Accessories Necessitatibus,Orbit,22,31914.74
PROD-00128,Nova Bedding Excepturi,Nova,32,31375.66
PROD-00285,Summit Audio Rerum,Summit,29,31034.81
PROD-00133,Urban Comics Dolore,Urban,38,30983.32
PROD-00140,Urban Laptop Voluptas,Urban,40,30827.97
PROD-00186,Orbit Indoor Cum,Orbit,26,30248.2
PROD-00230,River Kids Eligendi,River,31,30059.31
PROD-00193,Nova Storage Voluptate,Nova,28,29853.98
PROD-00180,Nexa Women Ratione,Nexa,34,29829.51
PROD-00046,Nexa Audio Officia,Nexa,31,29467.57
PROD-00266,Nexa Stem Dolores,Nexa,47,29231.51
PROD-00222,Nexa Bedding Nihil,Nexa,47,29154.83
PROD-00037,River Storage Iure,River,31,28275.63
PROD-00253,Apex Skincare Voluptatibus,Apex,31,28242.43
PROD-00051,River Skincare Officiis,River,27,27918.2
PROD-00013,Mira Women Ipsam,Mira,23,27652.76
PROD-00205,Nova Fragrance Magnam,Nova,24,27648.58
PROD-00183,Urban Kids Architecto,Urban,29,27540.02
PROD-00098,Mira Plush Amet,Mira,44,27393.19
PROD-00283,Summit Bedding Sapiente,Summit,38,27368.14
PROD-00146,River Fiction Repellendus,River,35,27318.95
PROD-00188,Nova Wellness Nihil,Nova,27,27055.52
PROD-00127,Mira Makeup Quis,Mira,35,26928.22
PROD-00299,River Accessories Reprehenderit,River,24,26856.69
PROD-00255,Bright Lighting Earum,Bright,33,26374.67
PROD-00181,Bright Academic Quo,Bright,37,26270.33
PROD-00111,River Seasonal Officia,River,37,26184.9
PROD-00057,Mira Women Aut,Mira,26,25882.35
PROD-00029,Apex Plush Possimus,Apex,33,25777.73
PROD-00115,River Plush Accusamus,River,35,25201.84
PROD-00173,Zenith Accessories Quidem,Zenith,41,24896.38
PROD-00102,Orbit Wearables Alias,Orbit,40,24538.87
PROD-00023,Urban Outdoor Officia,Urban,35,24372.39
PROD-00227,Nova Stem Libero,Nova,30,24128.46
PROD-00300,River Academic Voluptatum,River,29,24043.4
PROD-00291,Mira Academic Minima,Mira,32,24000.1
PROD-00197,Bright Skincare Adipisci,Bright,39,23796.59
PROD-00172,Bright Wearables Neque,Bright,38,23063.85
PROD-00278,River Wearables Dolorum,River,35,22940.17
PROD-00068,Orbit Bedroom Ipsam,Orbit,21,22869.94
PROD-00251,Urban Decor Vel,Urban,21,22855.06
PROD-00262,Orbit Activity Beatae,Orbit,21,21626.32
PROD-00075,Bright Living Room Sequi,Bright,21,21431.76
PROD-00059,Orbit Outdoor Consequuntur,Orbit,21,21383.07
PROD-00258,Zenith Women Quas,Zenith,17,21205.54
PROD-00116,Nova Wellness Atque,Nova,34,21016.9
PROD-00118,River Skincare Maxime,River,30,20779.22
PROD-00198,Zenith Kids Unde,Zenith,32,19965.34
PROD-00214,Nova Dining Velit,Nova,20,19906.42
PROD-00219,Zenith Wearables Molestiae,Zenith,23,19515.98
PROD-00272,Nexa Accessories Quisquam,Nexa,31,19199.57
PROD-00157,Urban Indoor Qui,Urban,31,18768.33
PROD-00064,Apex Men Natus,Apex,30,18489.13
PROD-00223,Summit Haircare Occaecati,Summit,15,17962.48
PROD-00147,Apex Indoor At,Apex,24,17253.68
PROD-00207,Zenith Laptop Minus,Zenith,23,16550.66
PROD-00018,Zenith Haircare Eius,Zenith,21,16149.69
PROD-00053,Bright Technology Molestiae,Bright,24,15764.21
PROD-00274,River Women Dolorem,River,26,13744.39
PROD-00239,Zenith Audio Explicabo,Zenith,22,11202.68
PROD-00224,Nexa Decor Dolor,Nexa,8,10846.54
PROD-00038,Bright Audio Beatae,Bright,12,10084.71
