sales_week,revenue
2022-W32,13514.39
2022-W33,17422.01
2022-W34,31905.39
2022-W35,19935.17
2022-W36,43315.42
2022-W37,96463.1
2022-W39,15023.04
2022-W40,16011.5
2022-W41,37155.9
2022-W42,53700.92
2022-W43,8089.27
2022-W44,17304.48
2022-W45,35490.1
2022-W46,56304.52
2022-W47,18973.12
2022-W48,12999.38
2022-W49,71883.91
2022-W50,112347.82
2022-W51,50983.67
2023-W01,58960.82
2023-W02,75021.95
2023-W03,24726.17
2023-W04,26176.02
2023-W05,4810.43
2023-W06,32850.67
2023-W07,51747.65
2023-W08,69921.87
2023-W09,55900.99
2023-W10,50607.63
2023-W11,39683.78
2023-W12,42945.5
2023-W13,102910.16
2023-W14,78652.89
2023-W15,14836.03
2023-W16,38692.24
2023-W17,56393.86
2023-W18,1287.65
2023-W19,80469.57
2023-W20,9362.12
2023-W21,2917.15
2023-W22,24103.74
2023-W23,65637.78
2023-W24,34219.89
2023-W25,24880.6
2023-W27,98719.44
2023-W28,13644.65
2023-W29,97828.36
2023-W30,76418.79
2023-W31,57160.59
2023-W32,34955.61
2023-W33,47230.97
2023-W34,20337.88
2023-W35,12884.84
2023-W36,41859.93
2023-W37,23324.52
2023-W38,7452.55
2023-W39,33990.92
2023-W40,128956.81
2023-W41,28725.37
2023-W42,56826.62
2023-W43,36511.94
2023-W44,37793.84
2023-W45,10123.11
2023-W47,30680.2
2023-W48,42905.23
2023-W49,49145.4
2023-W50,14312.27
2023-W51,66701.19
2023-W52,61762.85
2024-W01,27027.78
2024-W02,21531.05
2024-W03,65208.0
2024-W04,11179.1
2024-W05,46751.21
2024-W06,54575.45
2024-W07,82557.72
2024-W08,72820.75
2024-W09,50319.68
2024-W10,19064.18
2024-W11,37909.0
2024-W12,48869.34
2024-W13,113175.58
2024-W14,9079.97
2024-W15,80570.51
2024-W16,24545.74
2024-W17,25060.4
2024-W18,29140.2
2024-W19,28159.94
2024-W20,17182.15
2024-W21,73595.53
2024-W22,69965.51
2024-W23,76866.48
2024-W24,10525.77
2024-W25,64810.03
2024-W26,4564.56
2024-W27,42805.33
2024-W28,35799.55
2024-W31,44320.13
2024-W33,15523.26
2024-W34,59070.48
2024-W35,13272.47
2024-W36,38998.9
2024-W37,11077.91
2024-W38,85160.65
2024-W39,41726.1
2024-W40,36683.9
2024-W41,25378.64
2024-W42,64054.33
2024-W43,56236.97
2024-W44,37033.3
2024-W45,2786.53
2024-W46,67265.79
2024-W47,21906.01
2024-W48,62626.05
2024-W49,18147.6
2024-W50,35868.76
2024-W51,37771.43
2024-W52,23603.05
2024-W53,5344.59
2025-W00,7774.67
2025-W01,4195.53
2025-W02,11124.44
2025-W03,22166.55
2025-W04,44171.86
2025-W05,62669.45
2025-W06,85481.26
2025-W07,37291.73
2025-W08,51338.76
2025-W09,32171.65
2025-W10,71819.04
2025-W11,5470.32
2025-W13,63495.66
2025-W14,55564.58
2025-W15,100680.62
2025-W16,24350.1
2025-W17,53136.61
2025-W18,24517.12
2025-W19,82180.9
2025-W20,19712.57
2025-W21,35485.47
2025-W22,50236.29
2025-W23,16597.59
2025-W24,10317.1
2025-W25,18137.57
2025-W26,60133.33
2025-W27,29889.69
2025-W28,32833.92
2025-W29,71746.83
2025-W30,34619.17
2025-W31,81848.43
2025-W32,56576.51
2025-W33,44697.58
2025-W34,80643.6
2025-W35,26991.64
2025-W36,60213.36
2025-W37,2143.44
2025-W38,25478.8
2025-W39,7461.67
2025-W40,22999.55
2025-W43,21643.17
2025-W44,91343.91
2025-W45,69156.81
2025-W46,34170.09
2025-W47,55207.74
2025-W48,49326.31
2025-W49,36757.68
2025-W50,41502.88
2025-W51,34960.2
2025-W52,77983.33
2026-W00,10669.54
2026-W01,14720.81
2026-W02,33737.14
2026-W03,35967.43
2026-W04,18095.62
2026-W05,35776.2
2026-W06,16789.98
2026-W07,16673.0
2026-W08,49067.86
2026-W09,33388.78
2026-W10,39561.18
2026-W11,22606.58
2026-W12,51884.62
2026-W13,45869.05
2026-W14,9076.48
2026-W15,18353.15
2026-W16,41285.86
2026-W17,57174.7
2026-W18,30274.73
2026-W19,60228.55
2026-W21,22440.36
2026-W22,28181.64
2026-W23,61663.47
2026-W24,73453.81
2026-W25,21530.26
2026-W26,8536.14
2026-W27,8468.41
2026-W28,36562.0
2026-W29,38337.23
2026-W30,23022.97
2026-W31,19343.56
2026-W32,1429574.25
