sales_day,revenue
2020-10-16,1708.76
2020-10-21,2798.0
2020-10-26,6481.71
2020-11-02,99.93
2020-11-06,751.38
2020-11-07,14870.31
2020-11-09,1625.49
2020-11-13,45285.94
2020-11-17,7034.39
2020-11-19,12427.76
2020-11-23,6178.83
2020-11-24,14596.45
2020-11-27,1925.78
2020-11-29,905.84
2020-11-30,23055.3
2020-12-01,470.02
2020-12-02,9073.7
2020-12-05,10926.74
2020-12-08,6464.23
2020-12-12,3543.33
2020-12-16,13366.91
2020-12-21,32041.7
2020-12-23,3128.61
2020-12-25,30636.79
2020-12-26,1439.36
2020-12-30,33595.85
2021-01-02,8313.06
2021-01-03,16356.86
2021-01-06,5090.47
2021-01-07,3335.9
2021-01-09,5174.08
2021-01-10,10786.05
2021-01-13,12579.26
2021-01-16,36813.28
2021-01-22,6119.78
2021-01-28,22861.53
2021-01-30,2649.57
2021-01-31,3484.78
2021-02-01,20618.78
2021-02-02,551.89
2021-02-03,3165.19
2021-02-06,2090.64
2021-02-10,12146.06
2021-02-11,7470.73
2021-02-12,6888.14
2021-02-17,20271.76
2021-02-19,15864.59
2021-02-21,39391.47
2021-02-24,6929.46
2021-02-25,3492.7
2021-02-26,19254.35
2021-03-03,17264.11
2021-03-05,13794.28
2021-03-06,21604.38
2021-03-09,43575.47
2021-03-10,2460.03
2021-03-16,9599.33
2021-03-19,31267.6
2021-03-20,7169.9
2021-03-21,15593.71
2021-03-25,27393.99
2021-03-28,34762.24
2021-03-31,12657.02
2021-04-02,15758.36
2021-04-08,22337.54
2021-04-13,6198.63
2021-04-14,17646.72
2021-04-17,12344.46
2021-04-21,2455.33
2021-04-22,6664.28
2021-04-29,4109.75
2021-04-30,461.1
2021-05-01,18902.09
2021-05-02,3910.62
2021-05-03,18836.38
2021-05-06,19569.72
2021-05-08,23605.18
2021-05-15,16058.44
2021-05-19,6469.57
2021-05-20,14925.74
2021-05-22,23732.94
2021-05-26,10533.33
2021-05-29,15243.53
2021-06-02,5599.16
2021-06-04,5782.15
2021-06-05,4850.51
2021-06-06,11758.76
2021-06-08,11959.55
2021-06-09,2070.17
2021-06-12,17120.89
2021-06-17,7196.27
2021-06-18,19279.66
2021-06-21,18108.99
2021-06-23,28278.03
2021-06-24,13148.67
2021-06-25,17049.83
2021-06-27,5674.4
2021-06-29,12903.79
2021-07-07,933.67
2021-07-08,14207.61
2021-07-12,10303.8
2021-07-13,2406.02
2021-07-14,6780.14
2021-07-15,10948.6
2021-07-17,9235.51
2021-07-18,6692.55
2021-07-21,8195.27
2021-07-22,10406.25
2021-07-23,24740.4
2021-07-24,21375.37
2021-07-29,12283.97
2021-07-30,11236.29
2021-08-03,5802.02
2021-08-04,2307.94
2021-08-05,2827.62
2021-08-07,20876.73
2021-08-08,11874.5
2021-08-09,16694.46
2021-08-12,20373.07
2021-08-13,2887.27
2021-08-17,933.2
2021-08-18,8119.7
2021-08-19,8921.04
2021-08-24,61872.91
2021-08-25,8461.63
2021-08-26,16616.17
2021-08-30,11714.62
2021-09-02,13331.44
2021-09-06,3683.3
2021-09-08,6512.28
2021-09-09,13048.4
2021-09-11,1915.18
2021-09-12,1088.09
2021-09-13,25865.8
2021-09-14,40487.82
2021-09-15,3324.81
2021-09-16,49065.31
2021-09-19,13340.15
2021-09-21,7757.27
2021-09-23,3946.76
2021-09-24,25843.39
2021-09-25,10032.2
2021-09-27,5407.48
2021-09-30,3870.12
2021-10-03,3898.17
2021-10-07,20512.27
2021-10-12,1934.84
2021-10-13,2530.05
2021-10-14,10149.82
2021-10-16,6760.0
2021-10-17,4962.99
2021-10-18,11185.15
2021-10-19,7343.6
2021-10-21,7801.37
2021-10-22,24007.53
2021-10-28,5751.99
2021-10-29,6319.27
2021-10-30,9414.61
2021-11-01,12770.91
2021-11-06,4022.08
2021-11-09,7125.72
2021-11-14,9985.6
2021-11-17,1662.94
2021-11-18,26690.39
2021-11-21,2644.73
2021-11-22,4554.9
2021-11-25,8318.0
2021-12-03,547.64
2021-12-10,5680.43
2021-12-11,8438.13
2021-12-12,10674.13
2021-12-13,31960.17
2021-12-14,11423.79
2021-12-15,22422.18
2021-12-18,10608.87
2021-12-21,4180.29
2021-12-23,14902.01
2021-12-24,17698.94
2021-12-25,46971.62
2021-12-30,18576.7
2022-01-05,2415.99
2022-01-06,4653.12
2022-01-09,5337.64
2022-01-12,28934.71
2022-01-13,2148.13
2022-01-19,6514.18
2022-01-23,2493.81
2022-01-24,13985.8
2022-01-25,9118.67
2022-02-02,28669.72
2022-02-05,7361.7
2022-02-06,11970.62
2022-02-22,32622.87
2022-03-01,5096.66
2022-03-03,15035.64
2022-03-04,5879.51
2022-03-10,7779.43
2022-03-11,39087.17
2022-03-13,1293.87
2022-03-19,23533.72
2022-03-22,13628.45
2022-03-29,11667.64
2022-03-31,13830.66
2022-04-01,23104.07
2022-04-06,1807.57
2022-04-09,11720.11
2022-04-11,3346.15
2022-04-12,16027.97
2022-04-23,33838.89
2022-04-25,6115.8
2022-04-26,2021.7
2022-04-27,15687.4
2022-05-06,12163.21
2022-05-08,6388.34
2022-05-09,3808.78
2022-05-11,40474.59
2022-05-12,26979.05
2022-05-16,31908.83
2022-05-19,14004.62
2022-05-20,9975.11
2022-05-21,23228.72
2022-05-22,11489.52
2022-05-23,15322.74
2022-05-25,8469.33
2022-05-29,9037.17
2022-06-02,13852.2
2022-06-03,1550.29
2022-06-06,4403.51
2022-06-10,24958.75
2022-06-15,24497.17
2022-06-21,12358.46
2022-06-22,12192.49
2022-06-23,5584.79
2022-06-24,5544.59
2022-06-26,15971.03
2022-06-30,475.81
2022-07-04,4282.11
2022-07-05,53677.72
2022-07-10,16723.63
2022-07-12,18148.82
2022-07-18,16076.1
2022-07-19,8535.44
2022-07-24,17682.88
2022-07-25,5865.42
2022-07-27,9981.62
2022-07-28,4724.34
2022-07-29,10609.43
2022-07-30,16265.18
2022-08-01,3284.63
2022-08-04,3295.66
2022-08-07,9745.5
2022-08-13,11502.84
2022-08-14,2011.55
2022-08-19,9356.44
2022-08-20,8065.57
2022-08-22,5434.5
2022-08-24,8760.54
2022-08-28,17710.35
2022-08-30,4583.44
2022-08-31,8220.16
2022-09-04,7131.57
2022-09-08,43315.42
2022-09-14,7032.04
2022-09-16,60653.47
2022-09-18,28777.59
2022-09-29,315.17
2022-09-30,14707.87
2022-10-06,15141.66
2022-10-07,869.84
2022-10-10,3017.05
2022-10-12,21751.26
2022-10-14,3902.18
2022-10-15,8485.42
2022-10-17,36475.41
2022-10-21,7364.51
2022-10-22,9861.0
2022-10-25,8089.27
2022-11-06,17304.48
2022-11-07,21939.51
2022-11-08,5188.07
2022-11-13,8362.52
2022-11-14,8951.25
2022-11-17,40766.12
2022-11-18,6587.15
2022-11-21,7883.04
2022-11-27,11090.08
2022-12-02,12999.38
2022-12-05,10761.64
2022-12-08,17248.84
2022-12-09,20097.78
2022-12-10,23775.65
2022-12-14,51628.88
2022-12-15,23320.56
2022-12-16,7479.93
2022-12-18,29918.45
2022-12-19,25181.8
2022-12-24,25801.86
2023-01-03,11594.85
2023-01-06,47365.98
2023-01-09,15641.87
2023-01-13,49225.53
2023-01-14,10154.54
2023-01-16,7277.28
2023-01-17,3563.46
2023-01-21,13885.42
2023-01-24,13814.72
2023-01-28,12361.3
2023-01-30,647.41
2023-02-02,3925.55
2023-02-04,237.48
2023-02-06,6399.01
2023-02-07,703.18
2023-02-08,7247.83
2023-02-12,18500.65
2023-02-14,4830.62
2023-02-16,27581.59
2023-02-17,10738.27
2023-02-19,8597.17
2023-02-20,6983.6
2023-02-22,19056.11
2023-02-23,31079.9
2023-02-24,12802.27
2023-03-01,35082.88
2023-03-03,20818.11
2023-03-08,13885.75
2023-03-09,2655.44
2023-03-11,25610.9
2023-03-12,8455.54
2023-03-15,13787.29
2023-03-19,25896.49
2023-03-20,17004.45
2023-03-21,14156.27
2023-03-22,1449.82
2023-03-24,6990.86
2023-03-25,3344.09
2023-03-27,4122.45
2023-03-29,246.83
2023-03-30,33956.69
2023-04-02,64584.2
2023-04-04,24379.47
2023-04-05,16310.31
2023-04-06,28274.16
2023-04-07,9688.95
2023-04-14,14836.03
2023-04-18,24119.81
2023-04-19,14572.43
2023-04-27,10823.28
2023-04-28,12561.47
2023-04-29,18240.08
2023-04-30,14769.03
2023-05-01,1287.65
2023-05-10,37741.68
2023-05-12,35031.73
2023-05-13,7696.16
2023-05-17,5956.92
2023-05-18,3405.2
2023-05-22,2917.15
2023-06-02,11226.06
2023-06-03,12877.68
2023-06-06,11601.82
2023-06-08,32003.08
2023-06-09,22032.88
2023-06-12,85.83
2023-06-13,3097.54
2023-06-16,7017.01
2023-06-17,11219.5
2023-06-18,12800.0
2023-06-19,10047.28
2023-06-25,14833.32
2023-07-03,11292.55
2023-07-04,21863.7
2023-07-05,42393.82
2023-07-09,23169.36
2023-07-14,12322.09
2023-07-16,1322.56
2023-07-17,34616.59
2023-07-18,46006.94
2023-07-19,14002.32
2023-07-23,3202.52
2023-07-24,16908.21
2023-07-28,59510.59
2023-08-01,29747.79
2023-08-02,8494.22
2023-08-05,9387.43
2023-08-06,9531.15
2023-08-07,9509.24
2023-08-11,25446.37
2023-08-14,9595.0
2023-08-16,10929.75
2023-08-18,26706.21
2023-08-23,7307.28
2023-08-24,13030.6
2023-08-30,12884.84
2023-09-06,160.21
2023-09-07,20571.77
2023-09-08,21127.96
2023-09-11,800.12
2023-09-15,22524.4
2023-09-22,7235.6
2023-09-24,216.96
2023-09-26,8316.87
2023-09-27,13893.33
2023-09-28,11780.72
2023-10-02,15244.77
2023-10-04,31636.18
2023-10-05,47345.83
2023-10-06,5487.38
2023-10-07,25174.88
2023-10-08,4067.77
2023-10-10,11552.05
2023-10-13,13945.27
2023-10-14,3228.05
2023-10-16,8193.71
2023-10-17,33893.86
2023-10-19,14739.04
2023-10-25,23114.75
2023-10-26,13397.19
2023-10-31,16968.4
2023-11-02,11763.16
2023-11-05,9062.29
2023-11-12,10123.11
2023-11-24,18393.84
2023-11-25,12286.36
2023-11-28,3923.87
2023-11-29,5149.59
2023-11-30,24165.65
2023-12-01,5769.35
2023-12-03,3896.76
2023-12-04,18664.36
2023-12-06,9983.73
2023-12-08,11646.37
2023-12-10,8850.94
2023-12-11,4576.12
2023-12-13,9736.15
2023-12-18,17530.45
2023-12-20,3887.33
2023-12-21,7038.88
2023-12-22,38244.54
2023-12-25,21405.55
2023-12-29,26894.43
2023-12-30,13462.87
2024-01-05,27027.78
2024-01-10,8081.44
2024-01-12,13449.62
2024-01-18,18982.91
2024-01-19,20808.27
2024-01-20,16637.67
2024-01-21,8779.14
2024-01-24,3976.61
2024-01-27,7202.49
2024-02-02,19290.91
2024-02-04,27460.3
2024-02-05,8538.27
2024-02-06,16351.61
2024-02-07,6782.68
2024-02-08,22902.89
2024-02-13,37998.06
2024-02-14,34334.41
2024-02-15,6758.6
2024-02-17,3466.65
2024-02-21,14394.56
2024-02-22,34572.98
2024-02-24,6976.85
2024-02-25,16876.36
2024-02-28,50319.68
2024-03-09,817.15
2024-03-10,18247.03
2024-03-11,16923.92
2024-03-13,6423.46
2024-03-14,273.93
2024-03-16,13575.13
2024-03-17,712.57
2024-03-18,14930.65
2024-03-22,33938.69
2024-03-25,29914.06
2024-03-26,12930.73
2024-03-27,9197.04
2024-03-28,33090.75
2024-03-30,28043.0
2024-04-05,5643.34
2024-04-07,3436.63
2024-04-08,13973.33
2024-04-09,10713.98
2024-04-10,16627.56
2024-04-13,23487.26
2024-04-14,15768.38
2024-04-15,19154.04
2024-04-16,2083.3
2024-04-17,3308.4
2024-04-23,8052.61
2024-04-24,8081.16
2024-04-25,8926.63
2024-04-30,4730.03
2024-05-01,17100.39
2024-05-03,7309.78
2024-05-07,12703.32
2024-05-10,15456.61
2024-05-17,12281.31
2024-05-18,4900.84
2024-05-20,54647.28
2024-05-24,18948.26
2024-05-27,15151.18
2024-05-28,30537.81
2024-05-31,12044.17
2024-06-02,12232.35
2024-06-03,12296.49
2024-06-04,21943.0
2024-06-05,12249.15
2024-06-09,30377.83
2024-06-12,122.72
2024-06-13,10403.06
2024-06-18,13696.92
2024-06-20,22588.9
2024-06-22,11215.97
2024-06-23,17308.24
2024-06-27,4564.56
2024-07-02,26635.09
2024-07-04,13252.14
2024-07-05,2918.1
2024-07-10,22161.2
2024-07-14,13638.35
2024-07-29,9363.38
2024-07-30,17822.48
2024-07-31,13049.14
2024-08-01,3375.86
2024-08-02,709.26
2024-08-13,15523.26
2024-08-19,24230.27
2024-08-23,21833.83
2024-08-24,13006.38
2024-08-26,4067.97
2024-08-30,7636.79
2024-08-31,1567.71
2024-09-03,7491.55
2024-09-05,7798.08
2024-09-07,20232.77
2024-09-08,3476.5
2024-09-10,11077.91
2024-09-16,12609.32
2024-09-17,22157.44
2024-09-18,19949.63
2024-09-19,19433.73
2024-09-21,11010.53
2024-09-23,15058.71
2024-09-27,15666.16
2024-09-28,11001.23
2024-10-01,1418.47
2024-10-02,7275.71
2024-10-03,276.55
2024-10-05,27713.17
2024-10-07,6476.32
2024-10-08,15403.63
2024-10-12,3498.69
2024-10-14,11805.49
2024-10-15,10743.92
2024-10-16,9824.73
2024-10-19,17316.36
2024-10-20,14363.82
2024-10-21,10020.28
2024-10-23,2814.0
2024-10-24,16516.75
2024-10-26,14249.9
2024-10-27,12636.04
2024-10-29,19093.51
2024-10-30,9361.54
2024-11-03,8578.26
2024-11-04,2786.53
2024-11-12,30860.66
2024-11-15,34373.95
2024-11-16,2031.18
2024-11-21,12964.77
2024-11-24,8941.23
2024-11-27,47625.39
2024-11-28,13405.0
2024-11-29,1595.66
2024-12-02,5157.85
2024-12-06,12989.75
2024-12-09,13718.92
2024-12-13,15884.8
2024-12-14,6265.04
2024-12-17,7018.45
2024-12-20,19029.78
2024-12-21,11723.21
2024-12-23,1282.49
2024-12-24,11986.65
2024-12-26,3230.89
2024-12-27,1398.09
2024-12-28,5704.93
2024-12-31,5344.59
2025-01-01,1693.16
2025-01-03,6081.5
2025-01-07,353.65
2025-01-08,3841.88
2025-01-13,1814.73
2025-01-15,3523.32
2025-01-19,5786.39
2025-01-21,13044.49
2025-01-24,9122.06
2025-01-29,1175.54
2025-01-31,28313.6
2025-02-01,14682.73
2025-02-04,2716.44
2025-02-05,34042.7
2025-02-06,25910.32
2025-02-10,2594.65
2025-02-12,389.42
2025-02-14,16541.74
2025-02-16,65955.45
2025-02-17,14741.91
2025-02-19,14167.63
2025-02-20,1260.04
2025-02-21,7122.14
2025-02-24,9606.96
2025-02-25,22124.6
2025-02-27,2508.52
2025-03-01,17098.68
2025-03-04,11012.71
2025-03-05,10132.73
2025-03-06,9359.23
2025-03-09,1666.98
2025-03-10,15833.08
2025-03-14,55985.96
2025-03-18,1916.06
2025-03-19,3554.26
2025-04-01,31272.0
2025-04-03,28357.08
2025-04-05,3866.58
2025-04-07,15973.78
2025-04-11,20649.15
2025-04-12,18941.64
2025-04-15,10518.5
2025-04-16,540.32
2025-04-18,33205.4
2025-04-19,56416.41
2025-04-21,9559.49
2025-04-22,14790.61
2025-04-29,9707.3
2025-04-30,10872.02
2025-05-01,12972.83
2025-05-03,15230.15
2025-05-04,4354.31
2025-05-06,24250.22
2025-05-11,266.9
2025-05-13,22273.4
2025-05-16,41134.43
2025-05-17,18773.06
2025-05-23,9727.64
2025-05-25,9984.93
2025-05-26,8038.45
2025-05-29,20481.94
2025-06-01,6965.07
2025-06-02,24925.21
2025-06-05,19607.55
2025-06-06,5703.53
2025-06-12,16597.59
2025-06-20,10317.1
2025-06-23,1727.67
2025-06-24,13975.45
2025-06-28,2434.44
2025-07-01,3383.77
2025-07-02,19738.61
2025-07-05,37010.94
2025-07-07,27959.66
2025-07-12,1930.03
2025-07-14,21900.81
2025-07-18,10933.1
2025-07-21,27716.92
2025-07-22,27764.16
2025-07-25,10433.06
2025-07-26,5832.7
2025-07-29,9599.37
2025-07-31,14002.48
2025-08-02,5039.38
2025-08-03,5977.93
2025-08-04,24726.45
2025-08-08,18990.52
2025-08-09,38131.45
2025-08-11,22178.87
2025-08-14,26274.22
2025-08-15,4435.62
2025-08-16,3687.8
2025-08-18,579.27
2025-08-19,9053.47
2025-08-20,527.0
2025-08-21,14219.74
2025-08-23,20318.11
2025-08-25,13848.74
2025-08-26,544.57
2025-08-27,4746.08
2025-08-28,23803.32
2025-08-31,37700.89
2025-09-01,8813.05
2025-09-04,13665.3
2025-09-05,4513.3
2025-09-08,11719.29
2025-09-12,25077.3
2025-09-13,23416.76
2025-09-20,2143.44
2025-09-23,1710.43
2025-09-25,15801.24
2025-09-27,7967.14
2025-09-30,7461.67
2025-10-06,7695.78
2025-10-09,9286.58
2025-10-12,6017.19
2025-10-27,6006.45
2025-10-29,7239.4
2025-11-02,8397.32
2025-11-04,28695.41
2025-11-05,11796.87
2025-11-07,28313.48
2025-11-09,22538.15
2025-11-10,23007.41
2025-11-11,9869.0
2025-11-15,9371.5
2025-11-16,26908.91
2025-11-18,34170.09
2025-11-26,7822.77
2025-11-28,40337.17
2025-11-30,7047.8
2025-12-01,36489.71
2025-12-02,1804.19
2025-12-03,11032.41
2025-12-08,402.45
2025-12-09,19909.88
2025-12-11,480.99
2025-12-14,15964.36
2025-12-16,19872.62
2025-12-20,21630.26
2025-12-22,33168.11
2025-12-25,1792.09
2025-12-29,20165.46
2025-12-30,36954.14
2025-12-31,20863.73
2026-01-01,8043.95
2026-01-02,2625.58
2026-01-07,8695.95
2026-01-10,6024.86
2026-01-12,6455.46
2026-01-14,18129.96
2026-01-15,4988.6
2026-01-16,4163.12
2026-01-20,16184.57
2026-01-21,19782.86
2026-01-28,15803.98
2026-01-30,2291.64
2026-02-02,11430.34
2026-02-04,15458.13
2026-02-06,8887.74
2026-02-10,3039.7
2026-02-11,9942.54
2026-02-13,373.82
2026-02-14,1469.21
2026-02-15,1964.72
2026-02-20,2095.92
2026-02-21,14577.08
2026-02-23,8213.02
2026-02-24,28404.84
2026-02-26,8426.37
2026-03-01,4023.63
2026-03-07,33388.78
2026-03-12,19052.94
2026-03-14,9811.13
2026-03-15,10697.11
2026-03-19,292.64
2026-03-21,18711.25
2026-03-22,3602.69
2026-03-23,748.47
2026-03-25,20611.81
2026-03-26,2499.7
2026-03-28,14558.88
2026-03-29,13465.76
2026-03-30,4942.05
2026-04-01,5500.78
2026-04-02,21459.17
2026-04-04,13967.04
2026-04-06,9076.48
2026-04-13,7754.39
2026-04-17,10598.76
2026-04-23,16235.83
2026-04-24,18767.42
2026-04-26,6282.61
2026-04-28,57174.7
2026-05-04,15175.03
2026-05-10,15099.7
2026-05-11,3944.96
2026-05-12,19841.94
2026-05-14,22635.25
2026-05-16,13806.4
2026-05-26,19538.98
2026-05-28,2901.37
2026-06-02,11958.97
2026-06-05,7408.41
2026-06-07,8814.27
2026-06-09,353.11
2026-06-10,42044.19
2026-06-11,393.16
2026-06-12,18873.0
2026-06-15,4294.26
2026-06-16,33421.7
2026-06-18,9600.43
2026-06-20,26137.41
2026-06-24,12318.34
2026-06-25,4997.76
2026-06-26,4214.16
2026-07-03,8536.14
2026-07-08,8468.41
2026-07-15,13426.94
2026-07-17,23135.07
2026-07-24,299.23
2026-07-25,6042.28
2026-07-26,31995.72
2026-07-28,10377.97
2026-08-02,12645.01
2026-08-03,3331.24
2026-08-06,16012.32
2026-08-10,1429574.25
