order_id,customer_id,order_value
ORD-00757,CUST-00431,22420.95
ORD-00052,CUST-00437,22337.54
ORD-00542,CUST-00124,22299.52
ORD-00833,CUST-00358,22157.44
ORD-00244,CUST-00363,22032.88
ORD-01295,CUST-00206,21953.18
ORD-01308,CUST-00326,21943.0
ORD-00278,CUST-00085,21939.51
ORD-00819,CUST-00409,21938.21
ORD-00748,CUST-00156,21900.81
ORD-01070,CUST-00436,21879.54
ORD-01419,CUST-00159,21863.7
ORD-00549,CUST-00127,21777.39
ORD-00027,CUST-00349,21776.7
ORD-00480,CUST-00022,21751.26
ORD-00371,CUST-00272,21663.89
ORD-00325,CUST-00150,21630.26
ORD-00648,CUST-00186,21604.38
ORD-00798,CUST-00005,21590.18
ORD-00891,CUST-00139,21539.98
ORD-01112,CUST-00180,21459.17
ORD-01352,CUST-00177,21436.85
ORD-01134,CUST-00073,21375.37
ORD-00145,CUST-00097,21322.38
ORD-01438,CUST-00080,21313.89
ORD-01372,CUST-00138,21299.22
ORD-00362,CUST-00277,21239.03
ORD-00882,CUST-00033,21166.12
ORD-01136,CUST-00242,21127.96
ORD-00530,CUST-00384,20981.54
ORD-01033,CUST-00124,20917.54
ORD-01038,CUST-00074,20876.73
ORD-00069,CUST-00350,20863.73
ORD-01337,CUST-00026,20818.11
ORD-00856,CUST-00459,20649.15
ORD-00312,CUST-00107,20628.02
ORD-01171,CUST-00145,20618.78
ORD-01086,CUST-00395,20611.81
ORD-00674,CUST-00162,20571.77
ORD-01360,CUST-00181,20542.33
ORD-00135,CUST-00025,20521.28
ORD-01316,CUST-00221,20512.27
ORD-01448,CUST-00302,20493.81
ORD-01396,CUST-00225,20490.4
ORD-01182,CUST-00143,20481.94
ORD-00098,CUST-00209,20318.11
ORD-01020,CUST-00499,20316.59
ORD-01247,CUST-00152,20249.7
ORD-00535,CUST-00192,20238.12
ORD-00230,CUST-00398,20232.77
ORD-00754,CUST-00255,20165.46
ORD-00449,CUST-00405,20155.07
ORD-01457,CUST-00443,20097.78
ORD-00897,CUST-00354,20062.87
ORD-00916,CUST-00300,20051.41
ORD-01024,CUST-00100,19949.63
ORD-00939,CUST-00078,19935.11
ORD-00229,CUST-00045,19909.88
ORD-00340,CUST-00405,19904.72
ORD-01431,CUST-00493,19859.76
ORD-01447,CUST-00046,19841.94
ORD-01427,CUST-00300,19814.32
ORD-00782,CUST-00036,19738.61
ORD-00893,CUST-00143,19607.55
ORD-00093,CUST-00172,19594.45
ORD-00948,CUST-00309,19569.72
ORD-00404,CUST-00402,19538.98
ORD-00258,CUST-00052,19493.13
ORD-00896,CUST-00079,19446.37
ORD-00539,CUST-00009,19433.73
ORD-00422,CUST-00136,19417.11
ORD-00222,CUST-00447,19370.77
ORD-00018,CUST-00295,19324.39
ORD-00502,CUST-00350,19317.82
ORD-01436,CUST-00194,19290.91
ORD-00926,CUST-00289,19279.66
ORD-00650,CUST-00436,19254.35
ORD-01410,CUST-00312,19187.69
ORD-00253,CUST-00411,19093.51
ORD-01230,CUST-00140,19056.11
ORD-00679,CUST-00277,19046.76
ORD-00310,CUST-00145,19029.78
ORD-00158,CUST-00226,19009.9
ORD-01459,CUST-00156,18990.52
ORD-00596,CUST-00050,18982.91
ORD-00626,CUST-00055,18981.59
ORD-01132,CUST-00092,18941.64
ORD-01131,CUST-00367,18902.09
ORD-01463,CUST-00108,18901.26
ORD-00368,CUST-00255,18873.0
ORD-00452,CUST-00182,18848.84
ORD-01257,CUST-00457,18835.29
ORD-00192,CUST-00119,18830.7
ORD-01238,CUST-00258,18802.62
ORD-00409,CUST-00444,18773.06
ORD-00242,CUST-00309,18767.42
ORD-01469,CUST-00153,18751.77
ORD-01243,CUST-00279,18715.93
ORD-01067,CUST-00234,18664.36
ORD-00524,CUST-00054,18623.1
ORD-00527,CUST-00005,18607.43
ORD-01184,CUST-00485,18576.7
ORD-00547,CUST-00350,18571.5
ORD-00346,CUST-00053,18519.72
ORD-00540,CUST-00293,18393.84
ORD-00279,CUST-00192,18375.28
ORD-00755,CUST-00435,18295.42
ORD-01119,CUST-00125,18295.31
ORD-00703,CUST-00070,18247.03
ORD-00208,CUST-00432,18240.08
ORD-01250,CUST-00388,18153.61
ORD-00516,CUST-00120,18148.82
ORD-00600,CUST-00312,18130.97
ORD-00576,CUST-00070,18065.19
ORD-01105,CUST-00177,18061.09
ORD-00846,CUST-00124,17986.62
ORD-00622,CUST-00249,17982.86
ORD-00180,CUST-00239,17963.0
ORD-00578,CUST-00325,17907.56
ORD-00608,CUST-00313,17907.33
ORD-00639,CUST-00347,17825.81
ORD-00744,CUST-00424,17822.48
ORD-01069,CUST-00293,17749.93
ORD-00656,CUST-00303,17748.22
ORD-01095,CUST-00289,17726.8
ORD-00220,CUST-00119,17710.35
ORD-00388,CUST-00350,17698.94
ORD-00372,CUST-00414,17682.88
ORD-00711,CUST-00359,17653.57
ORD-00955,CUST-00428,17646.72
ORD-00610,CUST-00313,17521.83
ORD-00125,CUST-00195,17507.54
ORD-00869,CUST-00184,17461.08
ORD-00775,CUST-00021,17453.25
ORD-00338,CUST-00352,17336.86
ORD-01005,CUST-00329,17336.57
ORD-01296,CUST-00017,17304.48
ORD-00189,CUST-00195,17264.11
ORD-00615,CUST-00158,17248.84
ORD-00684,CUST-00154,17120.89
ORD-00350,CUST-00356,17100.39
ORD-00762,CUST-00188,17098.68
ORD-01195,CUST-00500,17049.83
ORD-00800,CUST-00233,16968.4
ORD-01060,CUST-00225,16923.92
ORD-00460,CUST-00270,16910.31
ORD-00417,CUST-00380,16876.36
ORD-00469,CUST-00211,16834.02
ORD-00969,CUST-00135,16794.69
ORD-01307,CUST-00247,16778.38
ORD-01087,CUST-00447,16762.18
ORD-00390,CUST-00041,16723.63
ORD-00713,CUST-00415,16694.46
ORD-00450,CUST-00377,16668.06
ORD-01040,CUST-00396,16637.67
ORD-01057,CUST-00369,16627.56
ORD-00171,CUST-00389,16616.17
ORD-00724,CUST-00269,16577.04
ORD-00269,CUST-00365,16541.74
ORD-01493,CUST-00224,16516.75
ORD-00025,CUST-00009,16499.6
ORD-00613,CUST-00127,16484.86
ORD-00563,CUST-00307,16380.32
ORD-00764,CUST-00244,16356.86
ORD-01291,CUST-00166,16355.7
ORD-00026,CUST-00228,16310.31
ORD-01474,CUST-00306,16237.66
ORD-00927,CUST-00376,16204.86
ORD-01430,CUST-00166,16184.57
ORD-01091,CUST-00354,16160.53
ORD-00813,CUST-00493,16146.93
ORD-00614,CUST-00211,16135.03
ORD-00514,CUST-00452,16120.98
ORD-01074,CUST-00344,16076.1
ORD-00193,CUST-00298,16051.88
ORD-00123,CUST-00374,16027.97
ORD-01242,CUST-00014,16012.32
ORD-00629,CUST-00197,15973.78
ORD-01048,CUST-00023,15971.03
ORD-00324,CUST-00188,15964.36
ORD-00045,CUST-00375,15926.96
ORD-00407,CUST-00235,15884.8
ORD-01289,CUST-00160,15864.59
ORD-01010,CUST-00342,15801.24
ORD-00720,CUST-00067,15784.54
ORD-00116,CUST-00223,15776.45
ORD-00076,CUST-00370,15770.69
ORD-01039,CUST-00279,15687.4
ORD-00494,CUST-00062,15672.06
ORD-00146,CUST-00444,15666.16
ORD-01082,CUST-00163,15641.87
ORD-00190,CUST-00236,15613.29
ORD-00058,CUST-00222,15593.71
ORD-00557,CUST-00405,15533.39
ORD-00934,CUST-00490,15527.71
ORD-00912,CUST-00100,15523.26
ORD-01056,CUST-00326,15520.07
ORD-00322,CUST-00334,15514.38
ORD-01022,CUST-00228,15513.77
ORD-01100,CUST-00095,15458.13
ORD-01239,CUST-00334,15456.61
ORD-00991,CUST-00189,15450.92
ORD-00396,CUST-00488,15423.97
ORD-00517,CUST-00428,15403.63
ORD-01044,CUST-00149,15354.24
ORD-00259,CUST-00184,15322.74
ORD-00768,CUST-00419,15300.84
ORD-00095,CUST-00480,15287.04
ORD-00565,CUST-00159,15286.01
ORD-00382,CUST-00372,15254.63
ORD-00723,CUST-00038,15243.53
ORD-01034,CUST-00156,15175.03
ORD-00470,CUST-00061,15151.18
ORD-01428,CUST-00071,15141.66
ORD-00569,CUST-00221,15099.7
ORD-01015,CUST-00135,15099.61
ORD-01476,CUST-00009,15058.71
ORD-01168,CUST-00430,15035.64
ORD-00213,CUST-00045,14939.87
ORD-00035,CUST-00164,14930.65
ORD-00603,CUST-00074,14925.74
ORD-00493,CUST-00194,14920.48
ORD-00624,CUST-00004,14902.01
ORD-00736,CUST-00163,14870.31
ORD-00019,CUST-00064,14868.92
ORD-00487,CUST-00063,14862.49
ORD-00051,CUST-00045,14836.03
ORD-00039,CUST-00087,14790.61
ORD-01233,CUST-00333,14769.26
ORD-00763,CUST-00426,14769.03
ORD-00852,CUST-00029,14768.47
ORD-01299,CUST-00242,14765.2
ORD-00458,CUST-00320,14741.91
ORD-00967,CUST-00200,14739.04
ORD-01435,CUST-00442,14707.87
ORD-01198,CUST-00170,14687.35
ORD-01185,CUST-00218,14682.73
ORD-00722,CUST-00072,14619.82
ORD-00709,CUST-00258,14596.45
ORD-00445,CUST-00261,14582.54
ORD-00257,CUST-00354,14572.43
ORD-00060,CUST-00364,14564.76
ORD-00160,CUST-00009,14549.65
ORD-00408,CUST-00190,14520.09
ORD-00334,CUST-00497,14510.45
ORD-00231,CUST-00046,14394.56
ORD-01380,CUST-00043,14349.25
ORD-00929,CUST-00328,14322.55
ORD-01339,CUST-00226,14229.07
ORD-00034,CUST-00216,14219.74
ORD-00466,CUST-00171,14208.72
ORD-01368,CUST-00368,14207.61
ORD-00298,CUST-00381,14201.27
ORD-00842,CUST-00348,14191.34
ORD-00605,CUST-00185,14167.63
ORD-00665,CUST-00205,14156.27
ORD-01402,CUST-00147,14142.13
ORD-00947,CUST-00472,14131.78
ORD-01104,CUST-00129,14124.38
ORD-00149,CUST-00293,14107.59
ORD-01426,CUST-00413,14065.98
ORD-00411,CUST-00058,14045.59
ORD-00195,CUST-00387,14043.97
ORD-00182,CUST-00113,14024.66
ORD-00392,CUST-00291,14008.05
ORD-01379,CUST-00172,14006.48
ORD-00365,CUST-00443,14004.62
ORD-00286,CUST-00084,14002.48
ORD-00453,CUST-00492,14002.32
ORD-01403,CUST-00026,13985.8
ORD-00275,CUST-00143,13975.45
ORD-01089,CUST-00060,13973.33
ORD-00784,CUST-00029,13967.04
ORD-00067,CUST-00282,13956.45
ORD-00795,CUST-00471,13945.27
ORD-01079,CUST-00239,13893.33
ORD-00645,CUST-00069,13885.75
ORD-00707,CUST-00465,13867.31
ORD-00091,CUST-00387,13852.2
ORD-00591,CUST-00353,13848.74
ORD-01432,CUST-00189,13814.72
ORD-00811,CUST-00465,13813.96
ORD-01276,CUST-00081,13794.28
ORD-00647,CUST-00367,13787.29
ORD-00779,CUST-00269,13768.8
ORD-00545,CUST-00323,13728.31
ORD-00743,CUST-00298,13718.92
ORD-00418,CUST-00381,13696.92
ORD-00482,CUST-00352,13665.3
ORD-00574,CUST-00321,13660.01
ORD-00433,CUST-00437,13652.12
ORD-00697,CUST-00016,13638.35
ORD-00103,CUST-00148,13628.45
ORD-00358,CUST-00209,13604.8
ORD-00357,CUST-00359,13590.06
ORD-00406,CUST-00250,13575.13
ORD-00477,CUST-00342,13547.99
ORD-00364,CUST-00328,13527.73
ORD-01078,CUST-00368,13513.43
ORD-00402,CUST-00239,13465.76
ORD-00206,CUST-00423,13462.87
ORD-00002,CUST-00300,13449.62
ORD-01178,CUST-00270,13435.65
ORD-00413,CUST-00488,13426.94
ORD-00664,CUST-00340,13405.0
ORD-00634,CUST-00397,13397.19
ORD-00999,CUST-00473,13366.91
ORD-01189,CUST-00248,13366.36
ORD-01288,CUST-00498,13340.15
ORD-00311,CUST-00452,13332.24
ORD-00333,CUST-00415,13331.44
ORD-00265,CUST-00364,13283.47
ORD-00505,CUST-00386,13252.14
ORD-01305,CUST-00156,13221.73
ORD-00559,CUST-00189,13198.61
ORD-01130,CUST-00112,13177.99
ORD-00995,CUST-00114,13148.67
ORD-00872,CUST-00181,13116.16
ORD-01229,CUST-00165,13090.63
ORD-00139,CUST-00309,13075.32
ORD-01314,CUST-00119,13048.4
ORD-00890,CUST-00338,13044.49
ORD-00366,CUST-00033,13041.91
ORD-01485,CUST-00479,13013.04
ORD-00293,CUST-00309,13006.38
ORD-01369,CUST-00160,12999.38
ORD-00377,CUST-00359,12989.75
ORD-01068,CUST-00218,12972.83
ORD-01023,CUST-00333,12971.82
ORD-01348,CUST-00456,12967.01
ORD-00750,CUST-00226,12964.77
ORD-01155,CUST-00119,12960.19
ORD-01267,CUST-00024,12903.79
ORD-00611,CUST-00348,12884.84
ORD-00739,CUST-00353,12877.68
ORD-00504,CUST-00006,12836.9
ORD-01018,CUST-00434,12802.27
ORD-00473,CUST-00394,12800.0
ORD-00314,CUST-00168,12787.52
ORD-00512,CUST-00208,12770.91
ORD-01429,CUST-00296,12741.77
ORD-01120,CUST-00083,12740.47
ORD-01199,CUST-00465,12716.61
ORD-01063,CUST-00464,12703.32
ORD-00049,CUST-00229,12669.42
ORD-00993,CUST-00454,12657.02
ORD-00885,CUST-00306,12636.04
ORD-00529,CUST-00186,12625.12
ORD-00537,CUST-00190,12616.2
ORD-00046,CUST-00369,12612.53
ORD-00843,CUST-00127,12609.32
ORD-01437,CUST-00113,12589.7
ORD-01138,CUST-00121,12585.52
ORD-01006,CUST-00494,12583.54
ORD-01072,CUST-00098,12579.91
ORD-01219,CUST-00003,12579.26
ORD-00604,CUST-00417,12561.47
ORD-01246,CUST-00196,12472.68
ORD-00633,CUST-00015,12454.61
ORD-00865,CUST-00233,12429.17
ORD-00625,CUST-00044,12376.46
ORD-01327,CUST-00466,12361.3
ORD-01127,CUST-00045,12358.46
ORD-01404,CUST-00339,12345.78
ORD-00273,CUST-00022,12344.46
ORD-00704,CUST-00382,12322.09
ORD-00511,CUST-00118,12318.34
ORD-00349,CUST-00243,12296.49
ORD-01355,CUST-00392,12285.02
ORD-01157,CUST-00348,12283.97
ORD-00347,CUST-00404,12281.31
ORD-00552,CUST-00014,12232.35
ORD-01004,CUST-00244,12222.71
ORD-00144,CUST-00360,12192.49
ORD-00050,CUST-00285,12163.21
ORD-01357,CUST-00084,12146.06
ORD-00057,CUST-00369,12135.21
ORD-01075,CUST-00105,12128.14
ORD-01037,CUST-00463,12108.59
ORD-00291,CUST-00038,12105.33
ORD-00175,CUST-00393,12100.2
ORD-01365,CUST-00454,12044.17
ORD-01209,CUST-00028,11994.77
ORD-00013,CUST-00494,11986.65
ORD-00006,CUST-00344,11985.69
ORD-01210,CUST-00278,11970.62
ORD-01433,CUST-00049,11966.31
ORD-00746,CUST-00171,11959.55
ORD-00332,CUST-00395,11958.97
ORD-00187,CUST-00056,11874.5
ORD-00138,CUST-00338,11805.49
ORD-00835,CUST-00360,11782.36
ORD-00463,CUST-00257,11763.16
ORD-00726,CUST-00264,11758.76
ORD-01420,CUST-00374,11750.28
ORD-01203,CUST-00091,11730.55
ORD-00802,CUST-00461,11724.97
ORD-01266,CUST-00213,11723.21
ORD-00749,CUST-00178,11720.11
ORD-00536,CUST-00245,11719.29
ORD-00137,CUST-00245,11667.64
ORD-00194,CUST-00020,11659.64
ORD-00385,CUST-00360,11646.37
ORD-00500,CUST-00182,11601.82
ORD-01231,CUST-00449,11598.15
ORD-00878,CUST-00491,11582.66
ORD-00546,CUST-00282,11582.06
ORD-00918,CUST-00206,11559.64
ORD-00808,CUST-00345,11552.05
ORD-00432,CUST-00009,11505.31
ORD-00735,CUST-00454,11489.52
ORD-00851,CUST-00458,11444.7
ORD-01319,CUST-00452,11430.34
ORD-00114,CUST-00386,11426.57
ORD-00590,CUST-00348,11423.79
ORD-00598,CUST-00111,11385.97
ORD-01333,CUST-00298,11292.55
ORD-00756,CUST-00231,11265.58
ORD-00109,CUST-00173,11254.69
ORD-01347,CUST-00326,11226.06
ORD-01364,CUST-00275,11215.97
ORD-00566,CUST-00383,11195.52
ORD-00567,CUST-00441,11190.38
ORD-01152,CUST-00091,11185.7
ORD-01011,CUST-00203,11125.64
ORD-00403,CUST-00500,11073.3
ORD-01133,CUST-00019,11034.21
ORD-01354,CUST-00058,11032.41
