product_id,product_name,category,subcategory,brand,units_sold,revenue
PROD-00210,Nova Fitness Nostrum,Sports,Fitness,Nova,44,47468.93
PROD-00211,Urban Office Nulla,Furniture,Office,Urban,94,119834.07
PROD-00212,Nova Laptop Accusamus,Electronics,Laptop,Nova,38,40887.17
PROD-00213,Summit Outdoor Similique,Toys,Outdoor,Summit,69,71916.87
PROD-00214,Nova Dining Velit,Furniture,Dining,Nova,20,19906.42
PROD-00215,Summit Bedroom Quaerat,Furniture,Bedroom,Summit,43,33219.04
PROD-00216,River Audio Eligendi,Electronics,Audio,River,39,50704.0
PROD-00217,Zenith Comics Totam,Books,Comics,Zenith,48,42797.6
PROD-00218,Summit Fitness Vero,Sports,Fitness,Summit,24,36369.88
PROD-00219,Zenith Wearables Molestiae,Electronics,Wearables,Zenith,23,19515.98
PROD-00220,River Stem Aliquam,Toys,Stem,River,37,32167.06
PROD-00221,River Stem Aliquam,Toys,Stem,River,50,68174.2
PROD-00222,Nexa Bedding Nihil,Home,Bedding,Nexa,47,29154.83
PROD-00223,Summit Haircare Occaecati,Beauty,Haircare,Summit,15,17962.48
PROD-00224,Nexa Decor Dolor,Home,Decor,Nexa,8,10846.54
PROD-00225,Nexa Kitchen Illum,Home,Kitchen,Nexa,47,64028.14
PROD-00226,Mira Laptop Repellat,Electronics,Laptop,Mira,78,67999.75
PROD-00227,Nova Stem Libero,Toys,Stem,Nova,30,24128.46
PROD-00228,Zenith Lighting Corporis,Home,Lighting,Zenith,46,48048.68
PROD-00229,Nexa Women Omnis,Clothing,Women,Nexa,32,35169.24
PROD-00230,River Kids Eligendi,Clothing,Kids,River,31,30059.31
PROD-00231,Summit Men Repellendus,Clothing,Men,Summit,69,75895.21
PROD-00232,River Outdoor Omnis,Sports,Outdoor,River,47,47883.68
PROD-00233,Apex Dining Recusandae,Furniture,Dining,Apex,36,43908.12
PROD-00234,Bright Haircare Amet,Beauty,Haircare,Bright,64,75952.76
PROD-00235,Nova Accessories Atque,Sports,Accessories,Nova,34,33717.95
PROD-00236,Nexa Office Voluptatem,Furniture,Office,Nexa,95,99375.81
PROD-00237,Zenith Outdoor Inventore,Sports,Outdoor,Zenith,46,42584.01
PROD-00238,Mira Indoor Nihil,Sports,Indoor,Mira,49,67721.04
PROD-00239,Zenith Audio Explicabo,Electronics,Audio,Zenith,22,11202.68
PROD-00240,Zenith Wellness Perspiciatis,Beauty,Wellness,Zenith,42,49129.88
PROD-00241,River Audio Natus,Electronics,Audio,River,66,68969.43
PROD-00242,Nova Bedding Iusto,Home,Bedding,Nova,51,46322.83
PROD-00243,River Decor Sequi,Home,Decor,River,39,34408.96
PROD-00244,Nova Wearables Exercitationem,Electronics,Wearables,Nova,51,45673.35
PROD-00245,Zenith Technology Optio,Books,Technology,Zenith,54,67071.2
PROD-00246,Bright Haircare Consequuntur,Beauty,Haircare,Bright,63,48273.72
PROD-00247,Nexa  Women  Modi,Clothing,Women,Nexa,73,57839.61
PROD-00248,Orbit Women Nesciunt,Clothing,Women,Orbit,89,72359.01
PROD-00249,River Indoor Dolorum,Sports,Indoor,River,46,41154.65
PROD-00250,Nexa Plush Ipsum,Toys,Plush,Nexa,50,59763.08
PROD-00251,Urban Decor Vel,Home,Decor,Urban,21,22855.06
PROD-00252,Apex Academic Dolorum,Books,Academic,Apex,52,54252.22
PROD-00253,Apex Skincare Voluptatibus,Beauty,Skincare,Apex,31,28242.43
PROD-00254,Summit Audio Quod,Electronics,Audio,Summit,64,46687.94
PROD-00255,Bright Lighting Earum,Home,Lighting,Bright,33,26374.67
PROD-00256,Orbit Wellness Veniam,Beauty,Wellness,Orbit,70,64074.15
PROD-00257,Apex Wearables Dolore,Electronics,Wearables,Apex,54,49981.04
PROD-00258,Zenith Women Quas,Clothing,Women,Zenith,17,21205.54
PROD-00259,Apex Wellness Minima,Beauty,Wellness,Apex,71,69067.99
PROD-00260,Nova Storage Ad,Furniture,Storage,Nova,49,56237.54
PROD-00261,Bright Fitness Fuga,Sports,Fitness,Bright,70,64727.76
PROD-00262,Orbit Activity Beatae,Toys,Activity,Orbit,21,21626.32
PROD-00263,Bright Outdoor Voluptatem,Sports,Outdoor,Bright,36,38623.81
PROD-00264,River Lighting Cum,Home,Lighting,River,42,51054.1
PROD-00265,Bright Comics Itaque,Books,Comics,Bright,57,55240.71
PROD-00266,Nexa Stem Dolores,Toys,Stem,Nexa,47,29231.51
PROD-00267,Apex Storage Esse,Furniture,Storage,Apex,53,47075.93
PROD-00268,Summit Fiction Praesentium,Books,Fiction,Summit,43,33661.23
PROD-00269,Urban Bedroom Cum,Furniture,Bedroom,Urban,68,68683.38
PROD-00270,Urban Wearables Ab,Electronics,Wearables,Urban,75,73642.33
PROD-00271,Orbit Audio In,Electronics,Audio,Orbit,50,49472.09
PROD-00272,Nexa Accessories Quisquam,Sports,Accessories,Nexa,31,19199.57
PROD-00273,Mira Bedding Laudantium,Home,Bedding,Mira,49,43583.95
PROD-00274,River Women Dolorem,Clothing,Women,River,26,13744.39
PROD-00275,River Bedding Repellendus,Home,Bedding,River,60,46238.03
PROD-00276,River Bedding Repellendus,Home,Bedding,River,62,41470.66
PROD-00277,Bright Footwear Sed,Clothing,Footwear,Bright,43,46566.17
PROD-00278,River Wearables Dolorum,Electronics,Wearables,River,35,22940.17
PROD-00279,Nova Makeup Ullam,Beauty,Makeup,Nova,37,45231.33
PROD-00280,Apex Fiction Dolore,Books,Fiction,Apex,66,63229.53
PROD-00281,Mira Bedroom Porro,Furniture,Bedroom,Mira,57,54155.92
PROD-00282,Orbit Outdoor Minima,Toys,Outdoor,Orbit,54,52393.75
PROD-00283,Summit Bedding Sapiente,Home,Bedding,Summit,38,27368.14
PROD-00284,Urban Self-Help Temporibus,Books,Self-Help,Urban,42,35949.21
PROD-00285,Summit Audio Rerum,Electronics,Audio,Summit,29,31034.81
PROD-00286,Apex Educational Occaecati,Toys,Educational,Apex,60,53374.12
PROD-00287,Mira Kids Similique,Clothing,Kids,Mira,61,67899.05
PROD-00288,Urban  Makeup  Nisi,Beauty,Makeup,Urban,86,80736.43
PROD-00289,Apex Women Totam,Clothing,Women,Apex,43,61704.52
PROD-00290,Nova Office Sed,Furniture,Office,Nova,81,79743.69
PROD-00291,Mira Academic Minima,Books,Academic,Mira,32,24000.1
PROD-00292,River Audio Illo,Electronics,Audio,River,49,55102.94
PROD-00293,Apex Accessories Libero,Sports,Accessories,Apex,89,76974.47
PROD-00294,Summit Technology Beatae,Books,Technology,Summit,51,42231.34
PROD-00295,Summit Fragrance Quaerat,Beauty,Fragrance,Summit,42,44822.43
PROD-00296,Summit Decor Ad,Home,Decor,Summit,61,61009.37
PROD-00297,Nexa Men Sit,Clothing,Men,Nexa,63,50239.29
PROD-00298,Zenith Office A,Furniture,Office,Zenith,56,51440.53
PROD-00299,River Accessories Reprehenderit,Electronics,Accessories,River,24,26856.69
PROD-00300,River Academic Voluptatum,Books,Academic,River,29,24043.4
