product_id,product_name,return_rate_percent
PROD-00260,Nova Storage Ad,22.45
PROD-00273,Mira Bedding Laudantium,22.45
PROD-00164,River Outdoor Est,22.22
PROD-00012,Orbit Lighting Voluptate,21.95
PROD-00139,Orbit Living Room Harum,21.88
PROD-00166,Nova  Accessories  Beatae,21.67
PROD-00034,River Accessories Quas,21.43
PROD-00222,Nexa Bedding Nihil,21.28
PROD-00280,Apex Fiction Dolore,21.21
PROD-00015,River Fragrance Temporibus,21.15
PROD-00252,Apex Academic Dolorum,21.15
PROD-00130,Urban Educational Harum,20.97
PROD-00215,Summit Bedroom Quaerat,20.93
PROD-00089,Bright Footwear Minus,20.63
PROD-00204,Bright Cycling Laudantium,20.59
PROD-00190,Orbit Laptop Eaque,20.51
PROD-00245,Zenith Technology Optio,20.37
PROD-00073,Nova Decor Tenetur,20.34
PROD-00033,Apex Audio Sit,20.31
PROD-00112,Nova Seasonal Soluta,20.31
PROD-00077,Zenith Indoor Delectus,20.0
PROD-00102,Orbit Wearables Alias,20.0
PROD-00105,Mira Fiction Facilis,20.0
PROD-00151,Summit Stem Recusandae,20.0
PROD-00171,River Footwear Eius,20.0
PROD-00177,Zenith Fragrance Cum,19.67
PROD-00202,Mira Bedroom Porro,19.67
PROD-00287,Mira Kids Similique,19.67
PROD-00169,Nexa Comics Velit,19.61
PROD-00141,Apex Decor Possimus,19.23
PROD-00143,Mira Stem Totam,19.23
PROD-00111,River Seasonal Officia,18.92
PROD-00014,Orbit Plush Debitis,18.87
PROD-00081,Nexa Fitness Deleniti,18.64
PROD-00096,Nova Office Suscipit,18.6
PROD-00187,Nexa Stem Quisquam,18.6
PROD-00268,Summit Fiction Praesentium,18.6
PROD-00074,Nexa Technology Optio,18.52
PROD-00080,Apex Wearables Velit,18.42
PROD-00275,River Bedding Repellendus,18.33
PROD-00106,River Audio Quia,18.18
PROD-00210,Nova Fitness Nostrum,18.18
PROD-00145,River Haircare Tenetur,18.03
PROD-00072,Apex Educational Ad,17.72
PROD-00013,Mira Women Ipsam,17.39
PROD-00228,Zenith Lighting Corporis,17.39
PROD-00002,Orbit Office Odio,17.24
PROD-00121,Mira Skincare Doloribus,17.02
PROD-00236,Nexa Office Voluptatem,16.84
PROD-00138,Mira Stem Ipsa,16.67
PROD-00218,Summit Fitness Vero,16.67
PROD-00024,Summit Bedding Vel,16.44
PROD-00001,Orbit  Outdoor  Minima,16.42
PROD-00296,Summit Decor Ad,16.39
PROD-00110,River Seasonal Officia,16.36
PROD-00046,Nexa Audio Officia,16.13
PROD-00272,Nexa Accessories Quisquam,16.13
PROD-00126,Orbit Cycling Doloribus,16.0
PROD-00196,Urban Indoor Ratione,16.0
PROD-00087,Orbit Plush In,15.91
PROD-00212,Nova Laptop Accusamus,15.79
PROD-00256,Orbit Wellness Veniam,15.71
PROD-00261,Bright Fitness Fuga,15.71
PROD-00229,Nexa Women Omnis,15.63
PROD-00082,River Skincare Distinctio,15.09
PROD-00045,Urban Laptop Cumque,15.07
PROD-00116,Nova Wellness Atque,14.71
PROD-00235,Nova Accessories Atque,14.71
PROD-00248,Orbit Women Nesciunt,14.61
PROD-00022,Mira Academic Mollitia,14.47
PROD-00071,Summit Wellness Dolorem,14.29
PROD-00092,Apex Footwear Doloribus,14.29
PROD-00144,Urban Comics Fugiat,14.04
PROD-00288,Urban  Makeup  Nisi,13.95
PROD-00137,Bright Kids Quasi,13.89
PROD-00233,Apex Dining Recusandae,13.89
PROD-00211,Urban Office Nulla,13.83
PROD-00161,River Kitchen Quibusdam,13.79
PROD-00285,Summit Audio Rerum,13.79
PROD-00098,Mira Plush Amet,13.64
PROD-00241,River Audio Natus,13.64
PROD-00279,Nova Makeup Ullam,13.51
PROD-00011,River Women Magni,13.21
PROD-00176,Mira Wearables Quos,13.11
PROD-00043,Urban Accessories Aperiam,13.04
PROD-00155,Mira Office Perspiciatis,13.04
PROD-00249,River Indoor Dolorum,13.04
PROD-00167,Mira Office Facere,12.99
PROD-00216,River Audio Eligendi,12.82
PROD-00047,Mira Wearables Blanditiis,12.73
PROD-00297,Nexa Men Sit,12.7
PROD-00061,Mira Accessories Rem,12.5
PROD-00254,Summit Audio Quod,12.5
PROD-00159,Mira Fiction Dolore,12.07
PROD-00062,Nova Storage Quas,12.05
PROD-00040,Urban Fiction Dignissimos,12.0
PROD-00069,Summit Fiction Autem,11.94
PROD-00170,Mira Seasonal Facere,11.76
PROD-00258,Zenith Women Quas,11.76
PROD-00057,Mira Women Aut,11.54
PROD-00066,Nova Haircare Blanditiis,11.54
PROD-00191,Nexa Indoor Officiis,11.54
PROD-00114,River Outdoor Fugit,11.43
PROD-00293,Apex Accessories Libero,11.24
PROD-00060,Bright Dining Et,10.94
PROD-00109,Nexa Indoor Accusantium,10.91
PROD-00185,Orbit Educational Alias,10.91
PROD-00237,Zenith Outdoor Inventore,10.87
PROD-00182,River Audio Quos,10.71
PROD-00192,Urban Living Room Modi,10.71
PROD-00049,Summit Activity Cupiditate,10.64
PROD-00206,Apex  Fitness  Facilis,10.61
PROD-00134,Summit Haircare Ut,10.53
PROD-00271,Orbit Audio In,10.0
PROD-00149,Bright Plush Omnis,9.76
PROD-00039,Apex Living Room A,9.68
PROD-00125,Orbit Fragrance Culpa,9.68
PROD-00230,River Kids Eligendi,9.68
PROD-00264,River Lighting Cum,9.52
PROD-00091,Mira Living Room Eligendi,9.3
PROD-00153,Apex Living Room Dicta,8.7
PROD-00219,Zenith Wearables Molestiae,8.7
PROD-00205,Nova Fragrance Magnam,8.33
PROD-00026,Summit Technology Optio,8.06
PROD-00113,Apex Cycling Laboriosam,7.84
PROD-00244,Nova Wearables Exercitationem,7.84
PROD-00188,Nova Wellness Nihil,7.41
PROD-00025,Nova Technology Iusto,7.32
PROD-00101,Urban Bedroom Minus,7.32
PROD-00173,Zenith Accessories Quidem,7.32
PROD-00030,River Makeup Voluptatem,7.27
PROD-00201,River Storage Porro,7.25
PROD-00284,Urban Self-Help Temporibus,7.14
PROD-00281,Mira Bedroom Porro,7.02
PROD-00064,Apex Men Natus,6.67
PROD-00286,Apex Educational Occaecati,6.67
PROD-00021,River Kitchen Architecto,6.38
PROD-00086,Summit Plush Deleniti,6.12
PROD-00117,Zenith Wellness Ut,6.12
PROD-00042,Apex  Outdoor  Temporibus,5.66
PROD-00103,Zenith Footwear Recusandae,5.17
PROD-00214,Nova Dining Velit,5.0
PROD-00136,Zenith Wellness Consequuntur,4.88
PROD-00018,Zenith Haircare Eius,4.76
PROD-00234,Bright Haircare Amet,4.69
PROD-00148,Nova Mobile Rerum,4.55
PROD-00027,Apex Wellness Minima,4.41
PROD-00067,Nova Plush Molestiae,4.29
PROD-00094,Mira Storage Ea,4.26
PROD-00250,Nexa Plush Ipsum,4.0
PROD-00003,Bright Men Voluptate,3.7
PROD-00158,Summit Comics Ab,3.7
PROD-00007,Bright Educational Deserunt,3.64
PROD-00300,River Academic Voluptatum,3.45
PROD-00037,River Storage Iure,3.23
PROD-00157,Urban Indoor Qui,3.23
PROD-00198,Zenith Kids Unde,3.13
PROD-00031,Nova Bedding Suscipit,2.56
PROD-00036,River Comics Iure,2.5
PROD-00232,River Outdoor Omnis,2.13
PROD-00084,Zenith Storage Blanditiis,1.92
PROD-00246,Bright Haircare Consequuntur,1.59
PROD-00005,Orbit Wellness Fuga,0.0
PROD-00006,Nova Mobile Quisquam,0.0
PROD-00023,Urban Outdoor Officia,0.0
PROD-00054,Orbit Outdoor Odit,0.0
PROD-00075,Bright Living Room Sequi,0.0
PROD-00083,Urban  Makeup  Atque,0.0
PROD-00146,River Fiction Repellendus,0.0
PROD-00156,Zenith Storage Cum,0.0
PROD-00174,Nova Kitchen Sunt,0.0
PROD-00178,Bright Wearables Quo,0.0
PROD-00184,Summit Accessories Amet,0.0
PROD-00189,Apex Self-Help Nam,0.0
PROD-00203,Apex Bedroom Itaque,0.0
PROD-00255,Bright Lighting Earum,0.0
PROD-00276,River Bedding Repellendus,0.0
PROD-00278,River Wearables Dolorum,0.0
PROD-00282,Orbit Outdoor Minima,0.0
PROD-00290,Nova Office Sed,0.0
PROD-00291,Mira Academic Minima,0.0
PROD-00295,Summit Fragrance Quaerat,0.0
